-0.410258-0j 0.499525-0j -0.29614-0j -0.0509611-0j -0.0594546-0j 0.108057-0j 0.0511883-0j -0.0214583-0j -0.0320287-0j -0.00462295-0j -0.0361803-0j -0.00522218-0j 0.0290672-0j -0.0298472-0j 0.00419549-0j 0.0767161-0j -0.00430808-0j 0.0209818-0j 0.011073-0j -0.00681309-0j 0.00302847-0j -0.000983384-0j -0.0237233-0j -0.00419372-0j -0.000349477-0j -0.0262569-0j -0.0046416-0j 0.0204249-0j -0.0003868-0j -0.0138386-0j -0.020973-0j 0.00361065-0j 0.023829-0j -0.00244634-0j -0.00370754-0j 0.000300887-0j 0.0423989-0j -0.000203862-0j -0.0141269-0j -0.000308961-0j 0.0444708-0j 0.00421242-0j 0.00749514-0j 0.00860036-0j 0.000351035-0j -0.0024973-0j 0.00786139-0j 0.000624595-0j -0.00228019-0j -0.000208109-0j 0.000655116-0j 0.00152034-0j 0.000126695-0j -0.000403085-0j -3.35904e-05-0j 
-0.00808619-0j 0.00200549-0j 0.00116987-0j -0.00952275-0j 0.0554315-0j -0.00680338-0j -0.00972114-0j -0.00400977-0j 0.000126526-0j -0.00174598-0j 0.000142926-0j -0.0019723-0j -0.000582255-0j -0.000588289-0j 0.00803478-0j 0.000102111-0j 0.00811804-0j 8.42376e-05-0j -0.00140908-0j 2.69143e-05-0j -0.00116243-0j -0.000371401-0j -0.0136582-0j -0.000783653-0j -0.000198674-0j -0.0151168-0j -0.000867345-0j -0.0119509-0j -0.000219892-0j -0.0554333-0j -0.0120748-0j -0.000685696-0j 0.0695658-0j -0.00318054-0j -0.000692802-0j -0.00017384-0j -0.0049295-0j -0.000806342-0j 0.04058-0j -0.000175642-0j -0.00862663-0j 0.00399141-0j -0.000282835-0j -0.0050322-0j 0.00101192-0j 0.00232832-0j -0.000494962-0j -7.17053e-05-0j -0.00131277-0j 0.000590284-0j -0.000125484-0j -0.000288728-0j -7.31992e-05-0j -7.53217e-05-0j -1.90958e-05-0j 
0.00601646-0j -0.0368667-0j 0.00434291-0j 0.000747347-0j 0.000871905-0j 0.00678775-0j -0.00377787-0j 0.000314687-0j 0.000469703-0j 6.77958e-05-0j 0.000530586-0j 7.65835e-05-0j -0.00214526-0j 0.000437711-0j -0.000309642-0j 0.00481903-0j 6.31782e-05-0j -0.00154853-0j 0.000695567-0j 9.99143e-05-0j -0.000223511-0j 1.44214e-05-0j 0.000347903-0j 6.15012e-05-0j 5.1251e-06-0j 0.000385058-0j 6.80693e-05-0j -0.00150743-0j 5.67244e-06-0j 0.000202944-0j 0.00030757-0j -0.000266478-0j -0.00175866-0j 3.58757e-05-0j 5.43712e-05-0j -2.22065e-05-0j 0.000896504-0j 2.98964e-06-0j 0.000207172-0j 4.53093e-06-0j 0.00279349-0j -0.000310891-0j 0.000158481-0j -0.000634736-0j -2.59076e-05-0j 3.66231e-05-0j 0.000493825-0j 1.32067e-05-0j 3.34391e-05-0j 3.05192e-06-0j 4.1152e-05-0j -0.000112206-0j -9.35054e-06-0j 5.91126e-06-0j 4.92605e-07-0j 
0.00148869-0j -0.00181261-0j 0.00107459-0j -0.000558107-0j 0.00021574-0j -0.000392102-0j -0.000185745-0j 7.78648e-05-0j -0.0224805-0j 1.67751e-05-0j 0.0766427-0j -5.71914e-05-0j 0.0204018-0j -0.0209493-0j -1.5224e-05-0j 0.0538458-0j 1.56325e-05-0j 0.0147268-0j -4.01802e-05-0j -0.004782-0j -1.09893e-05-0j 3.56837e-06-0j 8.60837e-05-0j -0.00294351-0j 1.26813e-06-0j 9.52772e-05-0j -0.00325787-0j 0.000223686-0j 1.40357e-06-0j 5.02155e-05-0j -0.000229689-0j -0.00764862-0j -8.64675e-05-0j -0.00171705-0j 0.00785387-0j 3.29521e-06-0j -0.000153851-0j 7.39744e-07-0j 5.12617e-05-0j -3.38363e-06-0j -0.000161369-0j 0.00295663-0j 0.00526072-0j -3.12078e-05-0j -1.27379e-06-0j -0.00175282-0j 0.00551779-0j -2.26644e-06-0j 8.27404e-06-0j 7.55156e-07-0j -2.37719e-06-0j 0.0010671-0j -4.59734e-07-0j -0.000282919-0j 1.21888e-07-0j 
-0.00245621-0j 0.00295288-0j -0.00162372-0j -0.0435576-0j -0.0163582-0j 0.0103108-0j -0.0147269-0j 0.0290157-0j -0.000191755-0j 0.00264611-0j -0.000635141-0j 0.00876457-0j -0.000176862-0j 0.000178622-0j 0.00244059-0j 0.000150349-0j -0.00246488-0j -0.000116918-0j -0.00207472-0j -0.000431436-0j 0.0016134-0j 0.00595355-0j 0.0206996-0j 0.00118766-0j 0.0003011-0j -0.0222581-0j -0.00127708-0j -0.0546642-0j -0.000323769-0j 0.0120748-0j 0.0552083-0j -0.00313641-0j -0.0205293-0j 0.000692802-0j 0.00316763-0j -0.000795154-0j 0.00747088-0j 0.000175642-0j 0.0112886-0j 0.000803069-0j -0.0130687-0j -0.00117789-0j 0.000428649-0j 0.0364143-0j -0.000298622-0j 0.000647695-0j -0.000749832-0j 0.000108673-0j 0.0364545-0j 0.000164206-0j -0.0001901-0j 0.00208931-0j 0.000529688-0j 0.00209162-0j 0.000530274-0j 
0.0198006-0j 0.0240427-0j -0.0277439-0j -0.00123306-0j -0.00561648-0j -0.00088094-0j -0.00115278-0j -0.00060414-0j -0.000774971-0j -0.000111857-0j 0.00171346-0j 0.000247317-0j 0.00142577-0j 0.00131927-0j 0.000205792-0j 0.00122416-0j 0.00019042-0j -0.00199773-0j 0.000176692-0j 0.0021359-0j -0.000288348-0j 0.00030829-0j -0.000574011-0j -0.000101472-0j -8.45598e-06-0j 0.0012435-0j 0.000219822-0j -0.00050226-0j 1.83185e-05-0j 0.00167065-0j -0.000464742-0j -8.87878e-05-0j -0.00228775-0j 0.000295331-0j -8.21556e-05-0j -7.39898e-06-0j -0.000207172-0j 2.46109e-05-0j 0.00263994-0j -6.8463e-06-0j -0.000332028-0j -0.000404421-0j -3.66231e-05-0j -0.000246083-0j -3.37018e-05-0j 0.00046668-0j -5.86948e-05-0j -3.05192e-06-0j 0.00244058-0j 3.889e-05-0j -4.89123e-06-0j -4.35017e-05-0j -3.62515e-06-0j 0.000431438-0j 3.59531e-05-0j 
-0.00495176-0j 0.0012281-0j 0.000716394-0j 0.00012328-0j -0.000717609-0j 8.80757e-05-0j 0.000125849-0j 5.19099e-05-0j -0.014987-0j 1.11834e-05-0j -0.0169296-0j 1.2633e-05-0j 0.0689681-0j 0.0696828-0j -5.14646e-05-0j -0.0120951-0j -5.19979e-05-0j -0.00997794-0j 9.02545e-06-0j -0.003188-0j 7.44562e-06-0j 2.37891e-06-0j 5.73891e-05-0j -0.00196234-0j 8.45422e-07-0j 6.35181e-05-0j -0.00217191-0j 5.02155e-05-0j 9.35711e-07-0j 0.00023292-0j 5.07359e-05-0j -0.00171705-0j -0.000292302-0j -0.00796437-0j -0.00173484-0j 7.39744e-07-0j 2.07128e-05-0j 3.43124e-06-0j -0.00017051-0j 7.4741e-07-0j 3.62475e-05-0j 0.00999485-0j -0.000708246-0j 2.11444e-05-0j -4.30602e-06-0j 0.00583033-0j -0.00123943-0j 3.05129e-07-0j 5.51603e-06-0j -2.51184e-06-0j 5.33976e-07-0j -0.000723001-0j 3.11486e-07-0j -0.000188613-0j 8.12587e-08-0j 
-0.00150411-0j 0.00180826-0j -0.000994323-0j 0.000563891-0j 0.000211771-0j -0.000133483-0j 0.000190652-0j -0.000375633-0j 0.0227134-0j -1.6949e-05-0j 0.0752325-0j -5.61391e-05-0j 0.0209493-0j -0.0211578-0j -1.56325e-05-0j -0.0178088-0j 1.57881e-05-0j 0.0138489-0j 1.32891e-05-0j 0.0511035-0j -1.03342e-05-0j -3.81339e-05-0j -8.69758e-05-0j 0.00297401-0j -1.28127e-06-0j 9.35241e-05-0j -0.00319792-0j 0.000229689-0j 1.37774e-06-0j -5.07359e-05-0j -0.000231975-0j -0.00785387-0j 8.62602e-05-0j 0.00173484-0j 0.00793204-0j 3.38363e-06-0j -3.13912e-05-0j -7.4741e-07-0j -4.74326e-05-0j -3.41731e-06-0j 5.49124e-05-0j -0.00294954-0j 0.00107338-0j -0.000153006-0j 1.27073e-06-0j 0.00162189-0j -0.00187765-0j -4.62436e-07-0j -0.000153175-0j -6.98748e-07-0j 8.08936e-07-0j 0.00523182-0j -2.25399e-06-0j 0.0052376-0j -2.25648e-06-0j 
-0.000303877-0j 0.000369997-0j -0.00021935-0j -0.0108916-0j 0.00421024-0j -0.00765199-0j -0.00362487-0j 0.00151956-0j 0.00228254-0j -0.0153201-0j -0.00778187-0j 0.0522308-0j -0.00207149-0j 0.00212708-0j 0.0139035-0j -0.0054672-0j -0.0142766-0j -0.00149528-0j 0.0366951-0j 0.000485537-0j 0.0100361-0j -0.00325886-0j -1.75718e-05-0j -0.0285732-0j -0.00354892-0j -1.94484e-05-0j -0.0316248-0j -4.56597e-05-0j -0.00392794-0j -1.02502e-05-0j 4.6885e-05-0j -0.0742467-0j 1.76501e-05-0j -0.0166677-0j 0.0762391-0j -0.00922177-0j 3.14047e-05-0j -0.00207021-0j -1.04637e-05-0j 0.00946923-0j 3.29394e-05-0j 0.0287006-0j 0.0510669-0j 6.37026e-06-0j 0.00356474-0j -0.017015-0j 0.0535623-0j 0.00634273-0j -1.68893e-06-0j -0.00211333-0j 0.00665268-0j 0.0103586-0j 0.00128658-0j -0.00274635-0j -0.000341109-0j 
-0.0105288-0j -0.0375674-0j -0.00696026-0j -0.00130786-0j 0.0014824-0j -0.000874905-0j -0.00396087-0j -0.00262943-0j -0.00082198-0j -0.000118643-0j 0.000902093-0j 0.000130206-0j 0.00225009-0j 0.000765684-0j 0.000324773-0j 0.000603465-0j 0.000110517-0j 0.00148746-0j 8.71026e-05-0j -0.00184939-0j 0.000214697-0j -0.000266937-0j -0.000608831-0j -0.000107627-0j -8.96892e-06-0j 0.000654669-0j 0.00011573-0j 0.00158109-0j 9.64419e-06-0j -0.000355151-0j 0.000538029-0j 0.0002795-0j -0.00179209-0j -6.27825e-05-0j 9.5111e-05-0j 2.32916e-05-0j -0.00279349-0j -5.23187e-06-0j -0.000332028-0j 7.92592e-06-0j 0.00035992-0j -0.0003168-0j -0.000493825-0j 0.00317876-0j -2.64e-05-0j -5.86948e-05-0j 6.36256e-05-0j -4.1152e-05-0j -0.00107223-0j -4.89123e-06-0j 5.30213e-06-0j 0.000561931-0j 4.68276e-05-0j -0.000189544-0j -1.57954e-05-0j 
0.00101077-0j -0.000250686-0j -0.000146233-0j 0.00240585-0j -0.0140044-0j 0.00171882-0j 0.00245597-0j 0.00101304-0j 0.00152169-0j -0.0102134-0j 0.00171894-0j -0.0115373-0j -0.00700264-0j -0.00707521-0j 0.0470007-0j 0.00122807-0j 0.0474878-0j 0.0010131-0j -0.00824262-0j 0.000323692-0j -0.00679981-0j -0.00217257-0j -1.17145e-05-0j -0.0190488-0j -0.00236595-0j -1.29656e-05-0j -0.0210832-0j -1.02502e-05-0j -0.00261863-0j -4.75447e-05-0j -1.03564e-05-0j -0.0166677-0j 5.96659e-05-0j -0.0773118-0j -0.0168405-0j -0.00207021-0j -4.22799e-06-0j -0.00960247-0j 3.48051e-05-0j -0.00209166-0j -7.39898e-06-0j 0.0970221-0j -0.00687509-0j -4.31607e-06-0j 0.0120506-0j 0.0565962-0j -0.0120314-0j -0.000853916-0j -1.12595e-06-0j 0.0070295-0j -0.00149435-0j -0.00701832-0j -0.000871706-0j -0.0018309-0j -0.000227406-0j 
0.00565733-0j 4.91537e-05-0j 0.00400711-0j 0.0166648-0j -0.000552008-0j -0.0353358-0j 0.0162626-0j -0.0206518-0j -0.00022142-0j 0.00305547-0j -3.56018e-06-0j 4.91283e-05-0j -0.000400828-0j -0.000399867-0j 0.00553118-0j 7.54893e-06-0j 0.00551792-0j -0.000283908-0j -0.000104171-0j 0.000185048-0j 0.00391776-0j -0.00255355-0j 0.0239018-0j 0.00137139-0j 0.00034768-0j 0.000376549-0j 2.16049e-05-0j -0.0205786-0j 5.47734e-06-0j -0.0695658-0j -0.0205293-0j -0.00118072-0j 0.00068165-0j -0.00399141-0j -0.00117789-0j -0.00029934-0j -0.042718-0j -0.00101192-0j 0.0555695-0j -0.000298622-0j 0.04353-0j 3.91104e-05-0j -0.00245099-0j 0.0255019-0j 9.91539e-06-0j 0.00318836-0j 0.00249758-0j -0.000621383-0j -0.0112906-0j 0.000808323-0j 0.000633194-0j 0.0014632-0j 0.000370955-0j -0.000647808-0j -0.000164234-0j 
0.000307026-0j -0.00036911-0j 0.000202965-0j 0.0110045-0j 0.00413277-0j -0.00260495-0j 0.00372063-0j -0.0073306-0j -0.00230619-0j 0.0154789-0j -0.00763868-0j 0.0512698-0j -0.00212708-0j 0.00214825-0j 0.0142766-0j 0.00180821-0j -0.0144187-0j -0.00140614-0j -0.0121364-0j -0.00518877-0j 0.00943784-0j 0.0348263-0j 1.77539e-05-0j 0.0288694-0j 0.0035857-0j -1.90905e-05-0j -0.0310429-0j -4.6885e-05-0j -0.00385566-0j 1.03564e-05-0j 4.73517e-05-0j -0.0762391-0j -1.76078e-05-0j 0.0168405-0j 0.076998-0j -0.00946923-0j 6.40771e-06-0j 0.00209166-0j 9.68213e-06-0j 0.00956349-0j -1.12089e-05-0j -0.0286318-0j 0.0104195-0j 3.12322e-05-0j -0.0035562-0j 0.015744-0j -0.0182267-0j 0.00129415-0j 3.12667e-05-0j 0.00195547-0j -0.00226384-0j 0.0507863-0j 0.00630789-0j 0.0508425-0j 0.00631486-0j 
1.79061e-05-0j -2.18023e-05-0j 1.29253e-05-0j 0.0012903-0j -0.000498777-0j 0.000906512-0j 0.000429429-0j -0.000180018-0j 1.39793e-06-0j 0.0055714-0j -4.76595e-06-0j -0.0189946-0j -1.26867e-06-0j 1.30271e-06-0j -0.00505625-0j -3.34835e-06-0j 0.00519193-0j -9.15773e-07-0j -0.0133448-0j 2.97364e-07-0j -0.00364979-0j 0.00118514-0j 1.03543e-06-0j -3.5182e-05-0j -0.0399834-0j 1.14601e-06-0j -3.89393e-05-0j 2.69052e-06-0j -0.0442535-0j 6.03999e-07-0j -2.76272e-06-0j -9.14194e-05-0j -1.04004e-06-0j -2.05228e-05-0j 9.38726e-05-0j -0.103896-0j -1.85054e-06-0j -0.0233236-0j 6.16582e-07-0j 0.106684-0j -1.94097e-06-0j 3.53388e-05-0j 6.28782e-05-0j -3.75371e-07-0j 0.0401616-0j -2.09504e-05-0j 6.59508e-05-0j 0.0714594-0j 9.95212e-08-0j -0.0238095-0j 0.0749513-0j 1.27545e-05-0j 0.0144951-0j -3.38156e-06-0j -0.00384305-0j 
0.0061418-0j 0.0220088-0j 0.00515861-0j 0.000762917-0j -0.00261953-0j -0.00161768-0j -0.00365893-0j -0.00453069-0j 0.000479489-0j 6.92082e-05-0j -0.00159408-0j -0.000230086-0j -0.000435153-0j 0.00213348-0j -6.28089e-05-0j 0.00338006-0j 0.000307941-0j -0.000365493-0j 0.00048787-0j -0.00190647-0j -5.27543e-05-0j -0.000275176-0j 0.000355151-0j 6.27825e-05-0j 5.23187e-06-0j -0.00115686-0j -0.000204506-0j -0.000305772-0j -1.70422e-05-0j 0.000207172-0j 0.00149915-0j -5.40534e-05-0j 0.00104989-0j 3.66231e-05-0j 0.000265014-0j -4.50445e-06-0j -0.000634736-0j 3.05192e-06-0j 0.000246083-0j 2.20845e-05-0j -0.00317876-0j 0.000185597-0j -0.000112206-0j 0.00181587-0j 1.54664e-05-0j 4.35017e-05-0j -0.000561931-0j -9.35054e-06-0j 0.0011059-0j 3.62515e-06-0j -4.68276e-05-0j 0.000321004-0j 2.67503e-05-0j 0.000195497-0j 1.62914e-05-0j 
0.00346439-0j 3.01004e-05-0j 0.00245385-0j -0.00021574-0j 7.14623e-06-0j 0.000457452-0j -0.000210533-0j 0.000267355-0j 0.0262272-0j -1.9571e-05-0j 0.000421703-0j -3.14678e-07-0j 0.047478-0j 0.0473642-0j -3.54285e-05-0j -0.000894171-0j -3.53436e-05-0j 0.0336289-0j 6.67238e-07-0j -0.0219189-0j -2.50942e-05-0j 1.63561e-05-0j -0.000100431-0j 0.00343409-0j -1.47949e-06-0j -1.58219e-06-0j 5.41006e-05-0j 8.64675e-05-0j -2.33078e-08-0j 0.000292302-0j 8.62602e-05-0j -0.00295663-0j -2.86416e-06-0j -0.00999485-0j -0.00294954-0j 1.27379e-06-0j 0.000179493-0j 4.30602e-06-0j -0.000233493-0j 1.27073e-06-0j -0.000182905-0j 9.7936e-05-0j -0.0061375-0j -0.000107154-0j -4.21931e-08-0j 0.00798394-0j 0.00625416-0j 2.64418e-06-0j 4.74408e-05-0j -3.43967e-06-0j -2.69444e-06-0j 0.00366398-0j -1.57853e-06-0j -0.00162217-0j 6.98869e-07-0j 
-0.00100274-0j 0.00614444-0j -0.000723818-0j 0.0058919-0j 0.00687388-0j 0.053513-0j -0.0297838-0j 0.00248092-0j -7.82839e-05-0j 0.00108027-0j -8.8431e-05-0j 0.0012203-0j 0.000357543-0j -7.29519e-05-0j -0.00493389-0j -0.000803172-0j 0.00100669-0j 0.000258088-0j 0.0110833-0j -1.66524e-05-0j -0.00356147-0j 0.000229793-0j 0.00845057-0j 0.00048486-0j 0.000122923-0j 0.00935307-0j 0.000536642-0j -0.0366154-0j 0.000136051-0j 0.0049295-0j 0.00747088-0j -0.00210085-0j -0.042718-0j 0.000282835-0j 0.000428649-0j -0.000532614-0j 0.0217761-0j 7.17053e-05-0j 0.0050322-0j 0.000108673-0j 0.067854-0j -0.00245099-0j 0.00124943-0j -0.0154177-0j -0.000621383-0j 0.000288728-0j 0.00389319-0j 0.000316759-0j 0.000812237-0j 7.31992e-05-0j 0.000987016-0j -0.000884609-0j -0.000224269-0j 4.66029e-05-0j 1.18149e-05-0j 
-5.95604e-05-0j 1.47718e-05-0j 8.61688e-06-0j -0.000285015-0j 0.00165906-0j -0.000203625-0j -0.000290953-0j -0.000120012-0j 9.31951e-07-0j 0.00371427-0j 1.05275e-06-0j 0.00419571-0j -4.28872e-06-0j -4.33316e-06-0j -0.0170926-0j 7.52121e-07-0j -0.0172697-0j 6.20468e-07-0j 0.00299756-0j 1.98243e-07-0j 0.00247286-0j 0.000790092-0j 6.90284e-07-0j -2.34547e-05-0j -0.0266556-0j 7.64005e-07-0j -2.59596e-05-0j 6.03999e-07-0j -0.0295023-0j 2.8016e-06-0j 6.10258e-07-0j -2.05228e-05-0j -3.51585e-06-0j -9.51934e-05-0j -2.07355e-05-0j -0.0233236-0j 2.49137e-07-0j -0.108185-0j -2.05091e-06-0j -0.0235653-0j 4.35989e-07-0j 0.000119463-0j -8.46524e-06-0j 2.54327e-07-0j 0.135766-0j 6.96865e-05-0j -1.48142e-05-0j -0.00962051-0j 6.63475e-08-0j 0.0791968-0j -0.0168359-0j -8.6416e-06-0j -0.00982094-0j -2.25437e-06-0j -0.00256203-0j 
-0.00330011-0j -0.00400711-0j 0.00462399-0j -0.00972114-0j -0.044279-0j -0.00694512-0j -0.00908822-0j -0.00476289-0j 0.000129162-0j -0.00178236-0j -0.000285577-0j 0.00394079-0j -0.000237628-0j -0.000219878-0j 0.00327912-0j -0.000204026-0j 0.00303418-0j 0.000332955-0j 0.00281544-0j -0.000355983-0j -0.00459459-0j 0.00491235-0j -0.0139427-0j -0.000799979-0j -0.000202813-0j 0.0302046-0j 0.00173302-0j -0.0121999-0j 0.000439361-0j 0.04058-0j -0.0112886-0j -0.000699981-0j -0.0555695-0j 0.00232832-0j -0.000647695-0j -0.000177462-0j -0.0050322-0j 0.000590284-0j 0.0641242-0j -0.000164206-0j -0.00806497-0j -0.00318836-0j -0.000288728-0j -0.00597736-0j -0.000808323-0j 0.00367919-0j -0.000462736-0j -7.31992e-05-0j 0.0592817-0j 0.000932761-0j -0.000117314-0j -0.000342957-0j -8.69477e-05-0j 0.00340135-0j 0.000862322-0j 
-1.80917e-05-0j 2.175e-05-0j -1.19598e-05-0j -0.00130368-0j -0.000489599-0j 0.000308602-0j -0.000440774-0j 0.000868437-0j -1.41241e-06-0j -0.00562914-0j -4.67826e-06-0j -0.0186451-0j -1.30271e-06-0j 1.31568e-06-0j -0.00519193-0j 1.10742e-06-0j 0.00524361-0j -8.61182e-07-0j 0.00441361-0j -3.17782e-06-0j -0.00343222-0j -0.0126651-0j -1.04616e-06-0j 3.55466e-05-0j 0.0403977-0j 1.12492e-06-0j -3.82229e-05-0j 2.76272e-06-0j -0.0434392-0j -6.10258e-07-0j -2.79022e-06-0j -9.38726e-05-0j 1.03755e-06-0j 2.07355e-05-0j 9.4807e-05-0j -0.106684-0j -3.77578e-07-0j 0.0235653-0j -5.70525e-07-0j 0.107746-0j 6.60493e-07-0j -3.52541e-05-0j 1.28294e-05-0j -1.84038e-06-0j -0.0400654-0j 1.93855e-05-0j -2.24424e-05-0j 0.0145803-0j -1.84241e-06-0j 0.022031-0j -0.0255052-0j 6.25328e-05-0j 0.0710668-0j 6.26019e-05-0j 0.0711453-0j 
-0.00160224-0j 0.00974403-0j 0.0511616-0j -0.000199026-0j 0.00114115-0j -0.000142191-0j -0.00372269-0j -0.002715-0j -0.000125086-0j -1.80547e-05-0j 0.000694433-0j 0.000100233-0j -0.000115371-0j -0.00213583-0j -1.66524e-05-0j 0.000496127-0j -0.000308281-0j 0.00368394-0j 7.16098e-05-0j -0.00380365-0j 0.000531732-0j -0.00054901-0j -9.26499e-05-0j -1.63783e-05-0j -1.36486e-06-0j 0.000503966-0j 8.90894e-05-0j -8.10687e-05-0j 7.42412e-06-0j -5.40458e-05-0j -0.0015008-0j -1.43311e-05-0j 0.000464823-0j -9.55404e-06-0j -0.000265307-0j -1.19425e-06-0j -3.34391e-05-0j -7.9617e-07-0j 0.00244058-0j -2.21089e-05-0j -0.00107223-0j 8.21699e-05-0j -5.91126e-06-0j -0.0011059-0j 6.84749e-06-0j 0.000431438-0j -0.000189544-0j -4.92605e-07-0j 0.00140385-0j 3.59531e-05-0j -1.57954e-05-0j -0.000195497-0j -1.62914e-05-0j 0.000248168-0j 2.06807e-05-0j 
-0.000614052-0j 0.00376269-0j -0.000443246-0j -7.62758e-05-0j -8.89884e-05-0j -0.000692772-0j 0.000385577-0j -3.21176e-05-0j 0.00927272-0j -6.91938e-06-0j 0.0104746-0j -7.81627e-06-0j -0.042351-0j 0.00864115-0j 3.16027e-05-0j 0.0951356-0j -6.44809e-06-0j -0.0305706-0j -7.0991e-05-0j 0.00197247-0j 2.2812e-05-0j -1.47188e-06-0j -3.55077e-05-0j 0.00121414-0j -5.23078e-07-0j -3.92998e-05-0j 0.0013438-0j 0.000153851-0j -5.78941e-07-0j -2.07128e-05-0j -3.13912e-05-0j -0.00526072-0j 0.000179493-0j 0.000708246-0j 0.00107338-0j 2.26644e-06-0j -9.1499e-05-0j -3.05129e-07-0j -2.11444e-05-0j -4.62436e-07-0j -0.00028511-0j -0.0061375-0j 0.00312868-0j 6.47824e-05-0j 2.64418e-06-0j 0.000723001-0j 0.00974892-0j -1.34791e-06-0j -3.41287e-06-0j -3.11486e-07-0j -4.20006e-06-0j -0.00221514-0j 9.54335e-07-0j 0.000116698-0j -5.02763e-08-0j 
-0.00202089-0j -0.00245385-0j 0.0028316-0j 0.000125849-0j 0.00057323-0j 8.99106e-05-0j 0.000117655-0j 6.16598e-05-0j -0.0152992-0j 1.14164e-05-0j 0.0338266-0j -2.52417e-05-0j 0.028147-0j 0.0260445-0j -2.10035e-05-0j 0.0241669-0j -1.94346e-05-0j -0.0394386-0j -1.80335e-05-0j 0.0421662-0j 2.94294e-05-0j -3.14647e-05-0j 5.85848e-05-0j -0.00200322-0j 8.63035e-07-0j -0.000126914-0j 0.00433964-0j 5.12617e-05-0j -1.86962e-06-0j -0.00017051-0j 4.74326e-05-0j -0.00175282-0j 0.000233493-0j 0.00583033-0j -0.00162189-0j 7.55156e-07-0j 2.11444e-05-0j -2.51184e-06-0j -0.000269438-0j 6.98748e-07-0j 3.38875e-05-0j -0.00798394-0j -0.000723001-0j 2.51157e-05-0j 3.43967e-06-0j 0.00921303-0j -0.00115873-0j 3.11486e-07-0j -0.000249091-0j -3.96919e-06-0j 4.9921e-07-0j -0.000858797-0j 3.6999e-07-0j 0.0085173-0j -3.66945e-06-0j 
0.0017548-0j 0.00626123-0j 0.00116004-0j -0.0103108-0j 0.0116869-0j -0.00689754-0j -0.0312266-0j -0.0207298-0j 0.000136997-0j -0.00189047-0j -0.000150349-0j 0.00207472-0j -0.000375015-0j -0.000127614-0j 0.00517499-0j -0.000100577-0j 0.001761-0j -0.000247911-0j 0.00138791-0j 0.000308232-0j 0.00342102-0j -0.00425342-0j -0.0147885-0j -0.000848506-0j -0.000215116-0j 0.0159019-0j 0.000912389-0j 0.0384047-0j 0.000231312-0j -0.00862663-0j 0.0130687-0j 0.00220351-0j -0.04353-0j -0.000494962-0j 0.000749832-0j 0.000558641-0j -0.067854-0j -0.000125484-0j -0.00806497-0j 0.0001901-0j 0.00874247-0j -0.00249758-0j -0.00389319-0j 0.0772122-0j -0.000633194-0j -0.000462736-0j 0.000501608-0j -0.000987016-0j -0.0260444-0j -0.000117314-0j 0.000127169-0j 0.00443013-0j 0.00112314-0j -0.00149432-0j -0.000378846-0j 
-0.000707166-0j -6.14422e-06-0j -0.000500889-0j -0.00421024-0j 0.000139461-0j 0.00892732-0j -0.00410862-0j 0.00521751-0j -0.00266296-0j 0.0178735-0j -4.28173e-05-0j 0.000287384-0j -0.00482065-0j -0.0048091-0j 0.0323556-0j 9.07891e-05-0j 0.032278-0j -0.00341449-0j -0.000609364-0j 0.00222553-0j 0.0229176-0j -0.0149374-0j 2.05004e-05-0j 0.0333355-0j 0.00414041-0j 3.22962e-07-0j 0.000525165-0j -1.76501e-05-0j 6.52279e-05-0j -5.96659e-05-0j -1.76078e-05-0j -0.0287006-0j 5.84645e-07-0j -0.0970221-0j -0.0286318-0j -0.00356474-0j -3.66389e-05-0j -0.0120506-0j 4.76615e-05-0j -0.0035562-0j 3.73353e-05-0j 0.000950685-0j -0.059578-0j 2.18728e-05-0j 0.000118079-0j 0.0775018-0j 0.0607104-0j -0.00739985-0j -9.68382e-06-0j 0.00962606-0j 0.0075405-0j 0.035567-0j 0.00441758-0j -0.0157467-0j -0.00195581-0j 
0.00107459-0j 0.00383421-0j 0.000710379-0j 0.000133483-0j -0.000151296-0j 8.92946e-05-0j 0.000404255-0j 0.000268365-0j -0.0162273-0j 1.21089e-05-0j 0.0178088-0j -1.32891e-05-0j 0.0444205-0j 0.0151159-0j -3.3147e-05-0j 0.0119134-0j -1.12796e-05-0j 0.029365-0j -8.88987e-06-0j -0.0365101-0j -2.19124e-05-0j 2.72442e-05-0j 6.21385e-05-0j -0.00212474-0j 9.15387e-07-0j -6.68169e-05-0j 0.00228471-0j -0.000161369-0j -9.84306e-07-0j 3.62475e-05-0j -5.49124e-05-0j 0.00551779-0j 0.000182905-0j -0.00123943-0j 0.00187765-0j -2.37719e-06-0j 0.00028511-0j 5.33976e-07-0j 3.38875e-05-0j -8.08936e-07-0j -3.67342e-05-0j -0.00625416-0j -0.00974892-0j -0.000324431-0j 2.69444e-06-0j -0.00115873-0j 0.00125607-0j 4.20006e-06-0j 0.000109434-0j 4.9921e-07-0j -5.41146e-07-0j 0.0110935-0j -4.77932e-06-0j -0.00374192-0j 1.61211e-06-0j 
