-0.0831455-0j -0.00843285-0j -0.00852024-0j -0.00483821-0j -0.000698336-0j -0.00598698-0j -0.00349241-0j -0.000864146-0j -0.000504085-0j 0.495473-0j -0.000600989-0j 0.578052-0j -5.00824e-05-0j 0.353983-0j 0.505796-0j -0.000701153-0j -0.000429367-0j 0.20863-0j -5.84294e-05-0j -0.000613509-0j -3.57806e-05-0j -0.00025306-0j -5.11258e-05-0j -2.10883e-05-0j -0.00261691-0j 0.0635647-0j -0.00295611-0j -0.000267087-0j -5.45189e-05-0j -0.00241365-0j -3.21255e-06-0j 0.0718039-0j -0.00243867-0j -0.00211195-0j -0.000301707-0j 0.0586277-0j -0.00174227-0j -6.15856e-05-0j -0.000246342-0j 0.0592352-0j -0.000556663-0j -3.62897e-06-0j -0.000248895-0j 0.0512992-0j -5.02844e-05-0j -0.00021555-0j 0.0423197-0j -5.08055e-05-0j -2.96304e-06-0j -4.39989e-05-0j -0.000177819-0j 0.0135213-0j -2.99374e-06-0j -3.62972e-05-0j -5.68141e-05-0j -2.59266e-06-0j -1.15971e-05-0j -2.13883e-06-0j -6.83368e-07-0j 
5.16448e-06-0j -0.000100679-0j -0.000101722-0j 5.7675e-05-0j -0.00238908-0j -3.57795e-05-0j -2.08714e-05-0j 0.0014821-0j 0.000864556-0j 2.11169e-07-0j 0.000690349-0j -4.9142e-07-0j -0.00815435-0j 1.50866e-07-0j 2.15568e-07-0j -0.00160654-0j 0.000493209-0j 8.89172e-08-0j 0.0189764-0j 0.000704731-0j -0.00582575-0j 0.000290687-0j -0.00832424-0j -0.00343357-0j 1.62546e-07-0j -5.20716e-06-0j 1.83615e-07-0j -3.20893e-06-0j -0.00899651-0j -2.99047e-07-0j 0.0239439-0j -5.88212e-06-0j -3.02146e-07-0j 1.31181e-07-0j -3.62487e-06-0j 9.57998e-06-0j 1.08219e-07-0j -0.0101626-0j 5.90368e-06-0j 9.67926e-06-0j 3.45764e-08-0j 0.0270475-0j 5.96486e-06-0j -4.20239e-06-0j 0.0165515-0j -2.58973e-06-0j -3.46679e-06-0j 0.016723-0j -0.0440512-0j -0.00726054-0j -2.13642e-06-0j -1.10766e-06-0j -0.0445077-0j -0.00598964-0j -6.82596e-07-0j 0.0193236-0j -0.00191372-0j 0.0159412-0j 0.00509329-0j 
-0.000350239-0j 1.81486e-05-0j 1.6793e-05-0j -0.0030263-0j 1.50291e-06-0j 0.00732981-0j -0.0084582-0j -3.6401e-06-0j 4.20048e-06-0j 7.31662e-06-0j -0.000375918-0j -1.67076e-05-0j 1.07784e-07-0j 5.22724e-06-0j 6.84025e-06-0j 0.000858415-0j -0.000268569-0j 3.58479e-06-0j -2.46126e-07-0j -0.000351443-0j 7.70046e-08-0j -0.000184182-0j 1.00766e-07-0j 5.28089e-08-0j 5.63193e-06-0j 9.38655e-07-0j -1.24522e-05-0j 0.0322587-0j -3.41016e-05-0j 5.1945e-06-0j 6.91385e-09-0j -2.07537e-06-0j 4.80649e-06-0j -8.89629e-06-0j -0.0713242-0j 8.6575e-07-0j 1.45181e-05-0j 7.53987e-05-0j 0.0297532-0j 8.01082e-07-0j -1.55222e-05-0j -1.52865e-08-0j 0.0275308-0j -1.48272e-06-0j -3.14529e-05-0j -0.0509565-0j 2.41968e-06-0j -2.91035e-05-0j 6.37685e-09-0j 5.38674e-05-0j 0.0831572-0j -2.58703e-06-0j 5.90052e-09-0j -8.79076e-05-0j -0.0889084-0j -1.09212e-08-0j 9.39874e-05-0j 1.78226e-08-0j -1.90553e-08-0j 
1.09157e-06-0j 0.000731686-0j 0.000729932-0j -0.00086317-0j 0.00288177-0j 1.49595e-05-0j 0.00121953-0j -4.99437e-05-0j -0.00407151-0j 3.13569e-06-0j 0.0102508-0j 5.20717e-08-0j 0.000633308-0j -6.64887e-06-0j 3.06001e-06-0j 0.000170227-0j -0.0217357-0j -3.88589e-06-0j 1.05168e-05-0j 0.0100034-0j -0.00134285-0j -0.0127033-0j 0.000618022-0j -0.000784822-0j 2.41368e-06-0j -3.84601e-05-0j 3.88092e-08-0j 0.00456066-0j -0.0435171-0j -2.1905e-06-0j 8.18171e-05-0j -6.18393e-07-0j -2.18525e-06-0j -8.22903e-08-0j 7.333e-05-0j 3.49039e-05-0j 3.09486e-06-0j -0.000699704-0j -0.00413896-0j 3.48202e-05-0j -2.01719e-06-0j 1.31552e-06-0j -0.00412904-0j 1.31123e-06-0j 0.0394934-0j -0.000155488-0j -4.93141e-05-0j 0.0393987-0j -7.42519e-05-0j 0.00148364-0j 0.00584774-0j 3.21423e-05-0j -7.4074e-05-0j -0.0557983-0j -0.00381149-0j -2.78941e-06-0j 0.0363687-0j 0.000104907-0j -6.83772e-05-0j 
8.25522e-05-0j 0.000615589-0j 0.000569607-0j -2.45424e-06-0j -0.00485663-0j 5.94426e-06-0j -6.85935e-06-0j 0.0117629-0j -0.0135738-0j 0.000251335-0j 4.38715e-05-0j -0.000573927-0j 0.0161224-0j 0.000179562-0j 0.000234971-0j -0.000100181-0j 3.13433e-05-0j 0.000123142-0j -0.0368156-0j 4.10152e-05-0j 0.0115184-0j 2.14949e-05-0j 0.0150727-0j 0.00789918-0j -1.32746e-06-0j -0.00464016-0j 2.93502e-06-0j -1.35483e-07-0j -0.000379155-0j -1.22436e-06-0j 0.00427169-0j 0.0102594-0j -1.1329e-06-0j 2.09688e-06-0j 2.99554e-07-0j -0.00427976-0j -3.42195e-06-0j 0.000838314-0j -1.2496e-07-0j -0.00396007-0j 3.65861e-06-0j -0.00944473-0j -1.15626e-07-0j 0.00732967-0j -0.000349707-0j 2.14012e-07-0j -0.0119615-0j -0.000323585-0j 0.00393991-0j 0.00059892-0j -3.49251e-07-0j 0.0127887-0j 0.00364562-0j -0.000977393-0j 3.73405e-07-0j -0.00674764-0j 0.00104499-0j 0.0110116-0j -0.0117732-0j 
-1.92469e-07-0j 5.63789e-06-0j 5.69631e-06-0j 2.234e-08-0j 0.00022383-0j -1.38589e-08-0j -8.08438e-09-0j -0.000138856-0j -8.09994e-05-0j -7.86979e-09-0j 4.01798e-07-0j 1.83141e-08-0j 0.00154358-0j -5.62245e-09-0j -8.03374e-09-0j -9.35043e-07-0j 2.87059e-07-0j -3.31375e-09-0j -0.00359214-0j 4.10169e-07-0j 0.00110279-0j 1.69186e-07-0j 0.00157574-0j 0.00064996-0j -6.05773e-09-0j 2.91594e-07-0j -6.84293e-09-0j -6.18264e-10-0j -8.76042e-06-0j 1.11448e-08-0j -0.014174-0j 3.29391e-07-0j 1.12603e-08-0j -4.88883e-09-0j -6.98404e-10-0j -5.36466e-07-0j -4.03308e-09-0j -9.89594e-06-0j 1.13746e-09-0j -5.42025e-07-0j -1.28859e-09-0j -0.0160113-0j 1.14925e-09-0j 2.35328e-07-0j 1.61171e-05-0j -4.98964e-10-0j 1.94136e-07-0j 1.62842e-05-0j 0.026077-0j -7.07e-06-0j -4.11624e-10-0j 6.20273e-08-0j 0.0263472-0j -5.83245e-06-0j -1.31516e-10-0j -0.011439-0j -1.8635e-06-0j -0.0094367-0j -0.00301507-0j 
-9.09644e-08-0j -0.000122585-0j -0.000122292-0j 3.57795e-05-0j -0.0014821-0j -6.20092e-07-0j -5.05512e-05-0j 2.56861e-05-0j 0.00209398-0j -2.61308e-07-0j -0.000854264-0j -4.33931e-09-0j 0.0100905-0j 5.54072e-07-0j -2.55001e-07-0j -1.4186e-05-0j 0.00181137-0j 3.23824e-07-0j 0.000167564-0j -0.000833645-0j -0.0213957-0j 0.00105864-0j 0.00984695-0j -0.0125046-0j -2.0114e-07-0j 6.44354e-06-0j -3.2341e-09-0j 3.97084e-06-0j 0.0111326-0j 1.82542e-07-0j -0.029629-0j 1.03604e-07-0j 1.82104e-07-0j 6.85753e-09-0j 6.38465e-08-0j -5.84774e-06-0j -2.57905e-07-0j 0.000178999-0j -3.60368e-06-0j -5.83372e-06-0j 1.681e-07-0j -0.0004764-0j -3.59504e-06-0j -2.19681e-07-0j -0.0101032-0j -1.35379e-07-0j 8.26199e-06-0j -0.010079-0j 0.0268894-0j -0.000379547-0j 5.09147e-06-0j -5.38507e-06-0j 0.0268249-0j 0.0142744-0j -3.31856e-06-0j 0.00101015-0j -0.00930389-0j -0.0379907-0j 0.0247619-0j 
8.75598e-05-0j 0.000433775-0j 0.000401373-0j 0.000503516-0j -0.00168103-0j -0.00121953-0j 0.00140727-0j 0.00407151-0j -0.0046983-0j -1.82915e-06-0j -0.00597965-0j 4.1769e-06-0j -0.000369429-0j -1.30681e-06-0j -1.71006e-06-0j 0.0136546-0j -0.00427207-0j -8.96198e-07-0j 0.000843598-0j -0.00559033-0j -0.000263933-0j -0.00292974-0j -0.000345377-0j -0.000181003-0j -1.40798e-06-0j 2.2435e-05-0j 3.11305e-06-0j -0.00266039-0j 0.025385-0j -1.29863e-06-0j -4.77266e-05-0j -4.9604e-05-0j -1.20162e-06-0j 2.22407e-06-0j 0.00588212-0j 2.06925e-05-0j -3.62952e-06-0j -0.0561263-0j -0.00245376-0j 1.91469e-05-0j 3.88054e-06-0j 0.000105524-0j -0.00227047-0j -3.54388e-05-0j 0.0234134-0j 0.00420239-0j 5.78335e-05-0j 0.0216645-0j -4.40198e-05-0j -0.0400986-0j -0.00685799-0j -6.18333e-05-0j -4.07316e-05-0j 0.0654379-0j 0.00733229-0j 7.53898e-05-0j -0.0699636-0j -0.000123031-0j 0.000131539-0j 
3.39004e-09-0j 6.86462e-06-0j 6.84816e-06-0j 1.38589e-08-0j 0.000138856-0j -2.40188e-10-0j -1.95806e-08-0j -2.40651e-06-0j -0.000196183-0j 9.73836e-09-0j -4.972e-07-0j 1.61717e-10-0j -0.00191009-0j -2.06491e-08-0j 9.50331e-09-0j -8.25657e-09-0j 1.05425e-06-0j -1.20682e-08-0j -3.17192e-05-0j -4.85199e-07-0j 0.00405012-0j 6.16152e-07-0j -0.00186398-0j 0.00236706-0j 7.49606e-09-0j -3.60829e-07-0j 1.20528e-10-0j 7.65063e-10-0j 1.08405e-05-0j -6.80294e-09-0j 0.0175395-0j -5.80171e-09-0j -6.78663e-09-0j -2.55565e-10-0j 1.23013e-11-0j 3.27465e-07-0j 9.61155e-09-0j 1.74302e-07-0j -6.94322e-10-0j 3.26681e-07-0j -6.2647e-09-0j 0.000282014-0j -6.92658e-10-0j 1.23018e-08-0j -9.83811e-06-0j -2.60835e-11-0j -4.62661e-07-0j -9.81452e-06-0j -0.0159177-0j -3.69587e-07-0j 9.80975e-10-0j 3.01557e-07-0j -0.0158795-0j 1.38998e-05-0j -6.39388e-10-0j -0.000597978-0j -9.05973e-06-0j 0.0224894-0j -0.0146583-0j 
-7.29665e-06-0j -7.26739e-05-0j -6.72454e-05-0j -2.08714e-05-0j 0.000864556-0j 5.05512e-05-0j -5.83333e-05-0j -0.00209398-0j 0.00241634-0j 1.5243e-07-0j 0.00049832-0j -3.48075e-07-0j -0.00588612-0j 1.08901e-07-0j 1.42505e-07-0j -0.00113792-0j 0.000356017-0j 7.46831e-08-0j 0.0134411-0j 0.000465876-0j -0.00420525-0j 0.000244153-0j -0.00550289-0j -0.00288392-0j 1.17332e-07-0j -3.75873e-06-0j -2.59421e-07-0j -2.31633e-06-0j -0.00649403-0j 1.08219e-07-0j 0.0172836-0j 8.31057e-06-0j 1.00135e-07-0j -1.85339e-07-0j 5.1214e-06-0j -3.46679e-06-0j 3.0246e-07-0j 0.0143583-0j -2.13642e-06-0j -3.20783e-06-0j -3.23378e-07-0j -0.0382141-0j -1.97684e-06-0j 5.93735e-06-0j -0.00598964-0j 3.65891e-06-0j -9.68932e-06-0j -0.00554223-0j 0.0159412-0j 0.0102581-0j -5.97107e-06-0j 1.03594e-05-0j 0.0147504-0j -0.0167404-0j 6.38403e-06-0j -0.0273015-0j 0.0178982-0j 0.0445539-0j -0.0476353-0j 
2.7193e-07-0j 4.06964e-06-0j 3.76565e-06-0j -8.08438e-09-0j -8.09994e-05-0j 1.95806e-08-0j -2.2595e-08-0j 0.000196183-0j -0.000226385-0j -5.68071e-09-0j 2.90033e-07-0j 1.2972e-08-0j 0.00111422-0j -4.0585e-09-0j -5.31085e-09-0j -6.62296e-07-0j 2.0721e-07-0j -2.78328e-09-0j -0.00254433-0j 2.7115e-07-0j 0.000796035-0j 1.42102e-07-0j 0.00104167-0j 0.000545913-0j -4.3727e-09-0j 2.10484e-07-0j 9.66806e-09-0j -4.46287e-10-0j -6.3236e-06-0j -4.03308e-09-0j -0.0102314-0j -4.6538e-07-0j -3.73182e-09-0j 6.90719e-09-0j 9.86742e-10-0j 1.94136e-07-0j -1.1272e-08-0j 1.39815e-05-0j -4.11624e-10-0j 1.79634e-07-0j 1.20516e-08-0j 0.0226216-0j -3.80877e-10-0j -3.32484e-07-0j -5.83245e-06-0j 7.04962e-10-0j 5.42589e-07-0j -5.39679e-06-0j -0.0094367-0j 9.98887e-06-0j -1.15045e-09-0j -5.80115e-07-0j -0.00873181-0j -1.63011e-05-0j 1.23001e-09-0j 0.0161616-0j 1.74285e-05-0j -0.0263746-0j 0.0281987-0j 
