-0.319286-0j -0.360672-0j 0.286104-0j -0.297539-0j 0.758358-0j 0.206521-0j -0.0679178-0j -0.0419376-0j -0.0464165-0j 0.0356508-0j -0.0244636-0j -0.0370757-0j 0.0415926-0j 0.0743878-0j -0.0249733-0j 0.0779564-0j 0.0150116-0j -0.00403088-0j -0.0273685-0j -0.0039503-0j -0.0298677-0j -0.00431103-0j 0.0224768-0j 0.00324425-0j -0.0233752-0j -0.0211197-0j -0.00337392-0j -0.00304836-0j 0.0253903-0j -0.0174228-0j 0.00366477-0j -0.015245-0j 0.0444068-0j -0.00251477-0j -0.00220042-0j 0.00640957-0j 0.0209459-0j 0.0529785-0j 0.00302328-0j -0.0088929-0j 0.0320545-0j 0.00764679-0j -0.00128358-0j 0.00462667-0j 0.00478122-0j 0.00069011-0j -0.00108505-0j -0.000156613-0j 
-0.00223519-0j -4.37463e-05-0j -0.0039389-0j -0.00395439-0j 9.19821e-05-0j -0.00281639-0j 0.00186067-0j 0.013843-0j 0.000265456-0j -0.0117678-0j -0.039836-0j -0.0118141-0j 0.000467793-0j -0.0245543-0j 0.03158-0j 0.0248406-0j 0.0145219-0j -0.00651436-0j -0.000191596-0j 0.00263553-0j -3.62269e-06-0j 4.98325e-05-0j 0.000157351-0j -0.00216447-0j 0.00015797-0j 0.000290763-0j -0.00217298-0j -0.00399964-0j 3.07962e-06-0j 1.0425e-05-0j -4.23622e-05-0j 0.000207901-0j -0.000611365-0j -0.000143403-0j -0.00285981-0j 0.00840974-0j 0.000278378-0j 6.42583e-06-0j -0.00382927-0j -0.000358811-0j -0.000437137-0j -8.83915e-05-0j 0.00493569-0j 0.00601312-0j -0.000130986-0j 0.0018018-0j 4.46547e-05-0j -0.000614255-0j 
-0.000159656-0j -0.000180351-0j 0.000726445-0j 0.000733973-0j -0.000128849-0j -0.000106295-0j -3.39618e-05-0j 0.00199854-0j 0.00221198-0j 0.00174872-0j 0.00785184-0j 0.00176685-0j -0.0100646-0j 0.000721312-0j -0.00587103-0j 0.0012623-0j 0.000736339-0j 0.000192092-0j 0.0013084-0j -0.00878116-0j 0.00142787-0j -0.00958303-0j 0.00110603-0j -0.00742298-0j 0.00111749-0j -0.00498086-0j -0.00749991-0j 0.0334285-0j 0.00124939-0j 0.00560981-0j -0.00838515-0j 0.00072881-0j -0.0035585-0j -0.0376497-0j -0.00489134-0j 0.0238825-0j -0.00508463-0j 0.000515347-0j 0.034125-0j -0.0020973-0j 0.000520687-0j -0.0034587-0j 0.0140758-0j -0.00349454-0j 0.000235272-0j -0.001579-0j 5.18725e-05-0j -0.000348137-0j 
1.41118e-05-0j -4.73114e-05-0j -1.26452e-05-0j 1.31506e-05-0j -3.35178e-05-0j -9.12778e-06-0j 3.00183e-06-0j -0.000355149-0j -0.000393078-0j -0.000896041-0j -0.00020717-0j 0.000931854-0j 0.000352227-0j 0.000629953-0j -0.000211486-0j 0.000660174-0j 0.000127125-0j -3.41356e-05-0j 1.20963e-06-0j 0.00479055-0j 1.32009e-06-0j 0.00522801-0j -9.93429e-07-0j -0.00393432-0j 1.03313e-06-0j -2.77039e-06-0j 0.00409157-0j -0.0109717-0j 3.33059e-06-0j 7.70053e-07-0j 0.0131903-0j -1.99977e-06-0j -1.96269e-06-0j 0.00304967-0j -0.00791978-0j -0.00777291-0j -9.25765e-07-0j -2.34154e-06-0j -0.00366635-0j 3.93048e-07-0j -1.41674e-06-0j -0.0092733-0j 0.0015566-0j -0.00561078-0j -2.1132e-07-0j -0.0008369-0j 4.79569e-08-0j 0.000189926-0j 
0.000241966-0j 0.000783111-0j 0.000223173-0j -0.00022535-0j -0.00018851-0j 0.000144638-0j 0.000539732-0j -0.00302888-0j 0.00323619-0j 0.00786578-0j -0.00176685-0j -0.00794252-0j 0.00298484-0j -0.00109318-0j -0.0016194-0j 0.00191192-0j -0.00527443-0j -0.00529187-0j -0.00198293-0j 0.0133082-0j 0.00208902-0j -0.0140202-0j -0.00167623-0j 0.0112499-0j 0.00169259-0j 0.00454146-0j -0.0113596-0j -0.0304795-0j -0.00542503-0j 0.00121859-0j 0.0364096-0j 0.00294332-0j -0.00109322-0j -0.00817848-0j -0.0197538-0j 0.00733701-0j 0.00156112-0j 0.000753967-0j -0.0104773-0j -0.0030453-0j -0.000708513-0j -0.00506017-0j 0.0204382-0j 0.00475511-0j -0.00373902-0j 0.025094-0j -0.00218548-0j 0.0146677-0j 
0.00484034-0j -0.0160243-0j -0.0043373-0j 0.0213191-0j 0.0336931-0j -0.00374832-0j -0.0191703-0j 0.00063577-0j -0.00206224-0j -0.000540462-0j 0.000370866-0j 0.00265653-0j 0.00184792-0j -0.00112771-0j 0.000453261-0j -0.00558569-0j 0.00316618-0j 0.00192146-0j 0.000414903-0j 5.98862e-05-0j -0.00132699-0j -0.000191535-0j -0.000340746-0j -4.91825e-05-0j 0.00167487-0j 0.000320172-0j 0.000241746-0j 4.62128e-05-0j 0.00112806-0j -0.000774079-0j 0.000162822-0j 0.000276694-0j -0.000673202-0j -0.000111729-0j 3.99373e-05-0j -9.71683e-05-0j -0.00150081-0j 0.00235378-0j -0.000216623-0j -0.00187565-0j -0.000581784-0j 0.000339739-0j -0.000270727-0j -8.39733e-05-0j 0.00134954-0j 0.000194789-0j 0.00333949-0j 0.000482014-0j 
-0.000790259-0j -0.000892692-0j 0.00358215-0j -0.000736434-0j -0.00796731-0j 0.00258573-0j -0.000168102-0j 0.00489424-0j 0.00541693-0j -0.0210466-0j 0.00285497-0j 0.00432684-0j -0.0245543-0j 0.012792-0j 0.00291445-0j 0.0386172-0j -0.00886212-0j 0.000470415-0j -6.77393e-05-0j 0.0009318-0j -7.39251e-05-0j 0.00101689-0j 0.00028142-0j -0.00387112-0j -5.78555e-05-0j -5.22729e-05-0j 0.000795841-0j 0.000719049-0j 0.000317898-0j -4.3123e-05-0j -0.0043729-0j -3.77326e-05-0j -0.000466538-0j 0.000593185-0j 0.000519037-0j 0.00641754-0j 0.000262252-0j -0.000193217-0j -0.00360746-0j -2.20107e-05-0j -0.000336765-0j 0.00265783-0j 0.000302772-0j 0.00463242-0j 5.98631e-05-0j -0.000823457-0j -2.68559e-06-0j 3.6942e-05-0j 
-0.00136877-0j -2.6789e-05-0j -0.00241208-0j -0.00242156-0j 5.63273e-05-0j -0.00172468-0j 0.00113942-0j -0.000179785-0j -3.4476e-06-0j 0.000152834-0j 0.000517369-0j 0.000153435-0j -6.07544e-06-0j 0.000318898-0j -0.000410144-0j -0.000322616-0j -0.000188602-0j 8.4605e-05-0j 0.0225516-0j -1.69348e-05-0j 0.000426406-0j -3.20204e-07-0j -0.0185209-0j 1.3908e-05-0j -0.0185937-0j -0.034224-0j 1.39627e-05-0j 2.57e-05-0j -0.000362484-0j -0.00122707-0j 2.72202e-07-0j -0.0244708-0j 0.0719603-0j 9.21451e-07-0j 1.8376e-05-0j -5.40376e-05-0j -0.0327663-0j -0.000756347-0j 2.46054e-05-0j 0.0422336-0j 0.0514529-0j 5.67968e-07-0j -3.17147e-05-0j -3.86378e-05-0j 0.0154176-0j -1.15776e-05-0j -0.00525604-0j 3.94695e-06-0j 
0.00130386-0j -0.00286918-0j -0.00236502-0j -0.00214543-0j -0.00204984-0j 0.00333697-0j -0.00353246-0j -0.00807508-0j 0.0174104-0j -0.00706569-0j 0.0232377-0j -0.00640965-0j -0.03158-0j -0.00291445-0j 0.0363521-0j -0.00457927-0j -0.00356196-0j 0.0338787-0j 0.000111764-0j -0.00153739-0j -0.000237601-0j 0.00326836-0j 9.44777e-05-0j -0.0012996-0j 8.57055e-05-0j -0.000169612-0j -0.00117894-0j 0.00233312-0j -0.000207901-0j 0.000683744-0j 0.00285981-0j 0.000239317-0j -0.000121176-0j -0.00940536-0j -0.00329196-0j 0.00166686-0j -0.000155458-0j -8.57546e-05-0j 0.00213842-0j -8.55045e-05-0j 0.000170976-0j 0.00117961-0j 0.00117617-0j -0.00235189-0j -0.000255962-0j 0.00352093-0j -0.000430857-0j 0.00592673-0j 
9.40784e-06-0j 1.06273e-05-0j -4.28062e-05-0j -4.32498e-05-0j 7.5925e-06-0j 6.26349e-06-0j 2.00122e-06-0j -0.000236766-0j -0.000262052-0j -0.00020717-0j -0.000930203-0j -0.000209317-0j 0.00119235-0j -8.54534e-05-0j 0.000695537-0j -0.000149543-0j -8.72336e-05-0j -2.2757e-05-0j 8.06421e-07-0j 0.0031937-0j 8.8006e-07-0j 0.00348534-0j 6.81692e-07-0j 0.00269973-0j 6.88756e-07-0j -3.06992e-06-0j 0.00272771-0j -0.0121579-0j 7.70053e-07-0j 3.45757e-06-0j 0.00304967-0j 4.49198e-07-0j -2.19326e-06-0j 0.0136932-0j 0.00177898-0j -0.00868604-0j -3.13388e-06-0j 3.17631e-07-0j -0.0124112-0j -1.29266e-06-0j 3.20922e-07-0j 0.00125793-0j -0.00511937-0j 0.00127096-0j 1.45008e-07-0j 0.000574282-0j 3.19713e-08-0j 0.000126617-0j 
-1.4258e-05-0j -4.61453e-05-0j -1.31506e-05-0j 1.32789e-05-0j 1.1108e-05-0j -8.5229e-06-0j -3.1804e-05-0j 0.000358829-0j -0.000383389-0j -0.000931854-0j 0.000209317-0j 0.000940946-0j -0.000353612-0j 0.000129508-0j 0.00019185-0j -0.000226504-0j 0.000624859-0j 0.000626925-0j -1.22217e-06-0j -0.0048402-0j 1.28755e-06-0j 0.00509915-0j -1.03313e-06-0j -0.00409157-0j 1.04321e-06-0j 2.7991e-06-0j 0.00413148-0j 0.0110854-0j -3.34368e-06-0j 7.51073e-07-0j -0.0132421-0j 1.81409e-06-0j -6.73796e-07-0j 0.00297451-0j 0.00718443-0j -0.00266846-0j 9.62189e-07-0j 4.64703e-07-0j 0.0038106-0j -1.87695e-06-0j -4.36687e-07-0j 0.00184038-0j -0.00743336-0j -0.00172943-0j -2.30452e-06-0j -0.00912668-0j -1.34701e-06-0j -0.00533461-0j 
-0.00126272-0j 0.00698369-0j -0.00116465-0j -0.0213896-0j 0.00498939-0j 0.0366959-0j -0.0379323-0j -0.000165856-0j 0.000898763-0j -0.000145124-0j -9.67494e-05-0j -0.00266531-0j 0.000828957-0j -5.98607e-05-0j 0.00431109-0j -0.00190419-0j -0.00192146-0j 0.00242387-0j -0.000108238-0j -1.56228e-05-0j 0.000578329-0j 8.34746e-05-0j -9.14967e-05-0j -1.32064e-05-0j -0.0016804-0j -8.35247e-05-0j -0.000242545-0j -1.20557e-05-0j 0.000506038-0j 0.000337359-0j 7.30403e-05-0j 0.00263171-0j -5.96729e-05-0j 4.86935e-05-0j 0.000379854-0j -8.61304e-06-0j -0.00154989-0j 0.00020873-0j -0.000223707-0j -0.00110587-0j 0.00188018-0j 3.01276e-05-0j -0.000159619-0j 0.000271381-0j -0.00274857-0j -0.000396722-0j 0.00422549-0j 0.000609896-0j 
-0.000483933-0j -0.00054666-0j 0.00219361-0j -0.000450972-0j -0.00487896-0j 0.00158343-0j -0.000102941-0j -6.35637e-05-0j -7.03522e-05-0j 0.000273341-0j -3.70788e-05-0j -5.61946e-05-0j 0.000318898-0j -0.000166136-0j -3.78513e-05-0j -0.000501539-0j 0.000115096-0j -6.1095e-06-0j 0.00797321-0j -5.98737e-06-0j 0.00870129-0j -6.53412e-06-0j -0.0331243-0j 2.48743e-05-0j 0.00680984-0j 0.00615274-0j -5.11375e-06-0j -4.62032e-06-0j -0.0374179-0j 0.00507575-0j 2.80985e-05-0j 0.00444129-0j 0.0549134-0j -3.81157e-06-0j -3.33512e-06-0j -4.12365e-05-0j -0.0308682-0j 0.0227425-0j 2.31801e-05-0j 0.00259075-0j 0.0396386-0j -1.70781e-05-0j -1.94549e-06-0j -2.97661e-05-0j -0.00704614-0j 5.2912e-06-0j 0.000316105-0j -2.37375e-07-0j 
0.00138295-0j -0.00150808-0j -0.003754-0j -0.00128799-0j -0.000956483-0j -0.00243296-0j 0.00308483-0j -0.00856491-0j 0.00915114-0j 0.0220562-0j -0.0049962-0j 0.00756742-0j -0.0248406-0j -0.0386172-0j -0.00457927-0j 0.00479955-0j 0.0438952-0j -0.0149641-0j 0.000118544-0j -0.00163065-0j -0.000124886-0j 0.00171789-0j -0.000294921-0j 0.00405683-0j -0.000101186-0j 9.14776e-05-0j 0.00139189-0j -0.00125834-0j 0.000321604-0j -7.28502e-05-0j -0.00442388-0j 5.92866e-05-0j 5.80187e-05-0j 0.0010021-0j -0.000815527-0j -0.000798086-0j 0.000274668-0j -0.000563081-0j -0.00377825-0j 0.000182054-0j 3.76019e-05-0j 0.00774556-0j -0.00250428-0j -0.000517239-0j -0.000657853-0j 0.0090492-0j 0.000130653-0j -0.00179722-0j 
0.000279399-0j 5.46829e-06-0j 0.000492363-0j 0.000494299-0j -1.14978e-05-0j 0.000352048-0j -0.000232584-0j -0.00349745-0j -6.70677e-05-0j 0.00297315-0j 0.0100646-0j 0.00298484-0j -0.000118188-0j 0.00620367-0j -0.00797873-0j -0.006276-0j -0.00366897-0j 0.00164586-0j -0.00228969-0j 0.015367-0j -4.32935e-05-0j 0.00029056-0j 0.00188045-0j -0.0126204-0j 0.00188784-0j 0.0034748-0j -0.01267-0j -0.0233208-0j 3.68034e-05-0j 0.000124586-0j -0.000247002-0j 0.00248454-0j -0.00730621-0j -0.000836145-0j -0.0166748-0j 0.0490349-0j 0.00332679-0j 7.67927e-05-0j -0.0223274-0j -0.00428802-0j -0.00522407-0j -0.000515387-0j 0.0287786-0j 0.0350608-0j -0.00156537-0j 0.0105058-0j 0.000533652-0j -0.00358155-0j 
0.000798448-0j -0.00175701-0j -0.00144827-0j -0.0013138-0j -0.00125527-0j 0.00204347-0j -0.00216318-0j 0.000104875-0j -0.000226117-0j 9.17655e-05-0j -0.000301799-0j 8.32451e-05-0j 0.000410144-0j 3.78513e-05-0j -0.000472122-0j 5.94732e-05-0j 4.62608e-05-0j -0.000439998-0j -0.0131551-0j 9.87865e-06-0j 0.0279666-0j -2.10011e-05-0j -0.0111204-0j 8.35073e-06-0j -0.0100879-0j 0.019964-0j 7.57536e-06-0j -1.49917e-05-0j 0.0244708-0j -0.0804796-0j -1.8376e-05-0j -0.0281686-0j 0.014263-0j 6.0435e-05-0j 2.11528e-05-0j -1.07106e-05-0j 0.018298-0j 0.0100937-0j -1.37406e-05-0j 0.0100642-0j -0.0201246-0j -7.57971e-06-0j -7.5576e-06-0j 1.51123e-05-0j 0.0301278-0j -2.26241e-05-0j 0.0507137-0j -3.80828e-05-0j 
9.87824e-05-0j 0.000111587-0j -0.000447769-0j 9.20542e-05-0j 0.000995914-0j -0.000323217-0j 2.10128e-05-0j -0.00123653-0j -0.00136859-0j 0.00531743-0j -0.000721312-0j -0.00109318-0j 0.00620367-0j -0.00323192-0j -0.000736339-0j -0.00975667-0j 0.00223902-0j -0.000118851-0j -0.000809528-0j 0.00543307-0j -0.000883452-0j 0.0059292-0j 0.00336315-0j -0.0225715-0j -0.00069141-0j -0.000624695-0j 0.00464033-0j 0.00419258-0j 0.00379908-0j -0.000515347-0j -0.0254972-0j -0.000450928-0j -0.00557542-0j 0.0034587-0j 0.00302636-0j 0.0374189-0j 0.00313408-0j -0.00230907-0j -0.0210341-0j -0.000263042-0j -0.00402455-0j 0.0154971-0j 0.00176538-0j 0.0270104-0j 0.000715402-0j -0.00480135-0j -3.20945e-05-0j 0.000215399-0j 
0.000846882-0j -0.000923506-0j -0.00229884-0j -0.000788727-0j -0.000585724-0j -0.00148988-0j 0.00188906-0j 0.000111237-0j -0.00011885-0j -0.000286454-0j 6.4888e-05-0j -9.82816e-05-0j 0.000322616-0j 0.000501539-0j 5.94732e-05-0j -6.2334e-05-0j -0.000570087-0j 0.000194346-0j -0.0139531-0j 1.04779e-05-0j 0.0146996-0j -1.10385e-05-0j 0.0347134-0j -2.60676e-05-0j 0.0119101-0j -0.0107673-0j -8.9437e-06-0j 8.08556e-06-0j -0.0378542-0j 0.00857477-0j 2.84261e-05-0j -0.00697828-0j -0.00682905-0j -6.43911e-06-0j 5.24024e-06-0j 5.12818e-06-0j -0.0323296-0j 0.0662771-0j 2.42775e-05-0j -0.0214286-0j -0.0044259-0j -4.97698e-05-0j 1.60915e-05-0j 3.32357e-06-0j 0.077432-0j -5.81465e-05-0j -0.0153784-0j 1.15482e-05-0j 
-0.000806723-0j 0.00267071-0j 0.000722883-0j -0.00355319-0j -0.00561552-0j 0.00062472-0j 0.00319505-0j 0.0049962-0j -0.0162061-0j -0.00424722-0j 0.00291445-0j 0.0208764-0j 0.0145219-0j -0.00886212-0j 0.00356196-0j -0.0438952-0j 0.0248814-0j 0.0150998-0j -6.91506e-05-0j 0.000951212-0j 0.000221166-0j -0.00304228-0j 5.6791e-05-0j -0.000781198-0j -0.000279145-0j -5.33619e-05-0j 0.00383982-0j 0.000734029-0j -0.000188011-0j 0.000129013-0j 0.00258621-0j -4.61157e-05-0j 0.0001122-0j -0.00177466-0j 0.000634352-0j -0.00154339-0j 0.000250134-0j -0.000392297-0j -0.00344076-0j 0.000312609-0j 9.6964e-05-0j 0.00539631-0j -0.00430015-0j -0.00133381-0j -0.000224923-0j 0.00309396-0j -0.000556582-0j 0.00765616-0j 
-0.000162983-0j 0.000358647-0j 0.000295628-0j 0.000268179-0j 0.00025623-0j -0.000417121-0j 0.000441558-0j 0.00204018-0j -0.00439876-0j 0.00178516-0j -0.00587103-0j 0.0016194-0j 0.00797873-0j 0.000736339-0j -0.0091844-0j 0.00115696-0j 0.000899932-0j -0.00855949-0j 0.00133565-0j -0.0089641-0j -0.00283948-0j 0.0190569-0j 0.00112907-0j -0.00757763-0j 0.00102423-0j -0.00202697-0j -0.00687405-0j 0.0136038-0j -0.00248454-0j 0.00817118-0j 0.0166748-0j 0.00285999-0j -0.00144813-0j -0.0548401-0j -0.0191945-0j 0.00971901-0j -0.00185782-0j -0.00102482-0j 0.0124686-0j -0.00102183-0j 0.00204327-0j 0.00687799-0j 0.00685793-0j -0.0137132-0j -0.00305891-0j 0.0205296-0j -0.00514902-0j 0.0345571-0j 
-1.64637e-05-0j -3.22222e-07-0j -2.90128e-05-0j -2.91268e-05-0j 6.77512e-07-0j -2.07446e-05-0j 1.37051e-05-0j 0.000414341-0j 7.94548e-06-0j -0.000352227-0j -0.00119235-0j -0.000353612-0j 1.40017e-05-0j -0.000734946-0j 0.000945235-0j 0.000743514-0j 0.000434661-0j -0.000194984-0j -1.41124e-06-0j -0.00558898-0j -2.66836e-08-0j -0.000105676-0j 1.159e-06-0j 0.00459004-0j 1.16356e-06-0j 2.14167e-06-0j 0.00460808-0j 0.00848174-0j 2.26835e-08-0j 7.67876e-08-0j 8.98345e-05-0j 1.53133e-06-0j -4.50313e-06-0j 0.000304105-0j 0.0060646-0j -0.0178339-0j 2.05045e-06-0j 4.73307e-08-0j 0.00812047-0j -2.6429e-06-0j -3.21982e-06-0j 0.000187446-0j -0.0104668-0j -0.0127516-0j -9.64803e-07-0j -0.00382095-0j 3.28913e-07-0j 0.00130261-0j 
-0.000172869-0j 0.00018851-0j 0.00046925-0j 0.000160998-0j 0.00011956-0j 0.000304121-0j -0.000385603-0j 0.00216393-0j -0.00231204-0j -0.00557252-0j 0.0012623-0j -0.00191192-0j 0.006276-0j 0.00975667-0j 0.00115696-0j -0.00121261-0j -0.0110902-0j 0.00378069-0j 0.00141667-0j -0.00950787-0j -0.00149247-0j 0.0100165-0j -0.00352449-0j 0.0236543-0j -0.00120924-0j 0.00109322-0j 0.0081157-0j -0.00733701-0j 0.00384337-0j -0.000870606-0j -0.0257944-0j 0.000708513-0j 0.00069336-0j 0.00584299-0j -0.00475511-0j -0.00465342-0j 0.00328246-0j -0.00672918-0j -0.0220299-0j 0.00217566-0j 0.000449367-0j 0.0451622-0j -0.0146018-0j -0.00301588-0j -0.00786176-0j 0.0527634-0j 0.00156138-0j -0.0104791-0j 
-5.82081e-06-0j -6.5753e-06-0j 2.6385e-05-0j -5.42435e-06-0j -5.86848e-05-0j 1.90457e-05-0j -1.23819e-06-0j 0.000146491-0j 0.000162136-0j -0.000629953-0j 8.54534e-05-0j 0.000129508-0j -0.000734946-0j 0.000382883-0j 8.72336e-05-0j 0.00115587-0j -0.000265256-0j 1.40802e-05-0j -4.98947e-07-0j -0.001976-0j -5.4451e-07-0j -0.00215644-0j 2.07286e-06-0j 0.00820922-0j -4.26146e-07-0j -3.85026e-07-0j -0.00168768-0j -0.00152484-0j 2.34154e-06-0j -3.17631e-07-0j 0.0092733-0j -2.77927e-07-0j -3.43637e-06-0j -0.00125793-0j -0.00110069-0j -0.0136092-0j 1.93167e-06-0j -1.42318e-06-0j 0.00765008-0j -1.62124e-07-0j -2.48051e-06-0j -0.00563628-0j -0.000642066-0j -0.00982365-0j 4.40934e-07-0j 0.00174625-0j -1.97812e-08-0j -7.83404e-05-0j 
-0.000494015-0j 0.00163547-0j 0.000442674-0j -0.00217587-0j -0.00343879-0j 0.000382561-0j 0.00195656-0j -6.4888e-05-0j 0.000210476-0j 5.51607e-05-0j -3.78513e-05-0j -0.000271131-0j -0.000188602-0j 0.000115096-0j -4.62608e-05-0j 0.000570087-0j -0.000323146-0j -0.000196108-0j 0.00813931-0j -6.11211e-06-0j -0.0260321-0j 1.95485e-05-0j -0.00668454-0j 5.01966e-06-0j 0.0328565-0j 0.00628093-0j -2.46731e-05-0j -4.71657e-06-0j 0.0221297-0j -0.0151854-0j -1.6618e-05-0j 0.00542801-0j -0.0132064-0j 1.14033e-05-0j -4.07609e-06-0j 9.9172e-06-0j -0.0294419-0j 0.046175-0j 2.2109e-05-0j -0.0367954-0j -0.0114131-0j -3.46745e-05-0j 2.7631e-05-0j 8.57049e-06-0j 0.0264743-0j -1.98805e-05-0j 0.0655121-0j -4.91954e-05-0j 
0.000210453-0j -0.00116395-0j 0.000194108-0j 0.00356493-0j -0.000831565-0j -0.00611598-0j 0.00632204-0j -0.00130338-0j 0.00706293-0j -0.00114046-0j -0.000760306-0j -0.0209454-0j 0.00651436-0j -0.000470415-0j 0.0338787-0j -0.0149641-0j -0.0150998-0j 0.019048-0j 1.80396e-05-0j -0.000248147-0j -9.63882e-05-0j 0.00132588-0j 1.52494e-05-0j -0.000209766-0j 0.000280067-0j 1.39208e-05-0j -0.00385251-0j -0.00019149-0j -8.43397e-05-0j -5.62264e-05-0j 0.00116015-0j -0.000438618-0j 9.94548e-06-0j 0.000773432-0j 0.00603349-0j -0.000136807-0j 0.000258315-0j -3.47883e-05-0j -0.00355329-0j 0.000184312-0j -0.000313364-0j 0.000478537-0j -0.00253534-0j 0.00431053-0j 0.000458095-0j -0.0063014-0j -0.000704248-0j 0.0096874-0j 
9.60384e-06-0j -2.11335e-05-0j -1.742e-05-0j -1.58026e-05-0j -1.50985e-05-0j 2.45791e-05-0j -2.6019e-05-0j -0.000241699-0j 0.000521118-0j -0.000211486-0j 0.000695537-0j -0.00019185-0j -0.000945235-0j -8.72336e-05-0j 0.00108807-0j -0.000137064-0j -0.000106614-0j 0.00101404-0j 8.23221e-07-0j 0.00326024-0j -1.75009e-06-0j -0.00693097-0j 6.95894e-07-0j 0.00275598-0j 6.3128e-07-0j -1.24931e-06-0j 0.00250009-0j -0.00494768-0j -1.53133e-06-0j 5.03625e-06-0j -0.0060646-0j 1.76273e-06-0j -8.92548e-07-0j 0.0199453-0j 0.00698103-0j -0.0035348-0j -1.14505e-06-0j -6.31642e-07-0j -0.00453481-0j -6.298e-07-0j 1.25936e-06-0j -0.00250152-0j -0.00249422-0j 0.00498749-0j -1.88534e-06-0j -0.00746659-0j -3.17356e-06-0j -0.0125684-0j 
0.00010084-0j -0.000333839-0j -9.03604e-05-0j 0.000444148-0j 0.00070194-0j -7.80899e-05-0j -0.000399381-0j -0.0012623-0j 0.00409449-0j 0.00107307-0j -0.000736339-0j -0.00527443-0j -0.00366897-0j 0.00223902-0j -0.000899932-0j 0.0110902-0j -0.00628631-0j -0.00381497-0j -0.000826393-0j 0.00554626-0j 0.00264307-0j -0.0177387-0j 0.000678689-0j -0.00455495-0j -0.00333595-0j -0.000637709-0j 0.0223889-0j 0.00427992-0j -0.00224685-0j 0.00154179-0j 0.0150795-0j -0.000551112-0j 0.00134086-0j -0.0103476-0j 0.00369873-0j -0.00899908-0j 0.00298926-0j -0.0046882-0j -0.0200621-0j 0.00373588-0j 0.00115878-0j 0.0314644-0j -0.025073-0j -0.00777705-0j -0.00268797-0j 0.01804-0j -0.00665151-0j 0.0446409-0j 
1.01864e-05-0j -1.1108e-05-0j -2.76508e-05-0j -9.48691e-06-0j -7.04516e-06-0j -1.79205e-05-0j 2.27219e-05-0j -0.00025636-0j 0.000273907-0j 0.000660174-0j -0.000149543-0j 0.000226504-0j -0.000743514-0j -0.00115587-0j -0.000137064-0j 0.000143657-0j 0.00131385-0j -0.000447897-0j 8.73158e-07-0j 0.003458-0j -9.19873e-07-0j -0.00364301-0j -2.1723e-06-0j -0.00860304-0j -7.45308e-07-0j 6.73796e-07-0j -0.00295168-0j 0.00266846-0j 2.36884e-06-0j -5.36592e-07-0j 0.00938141-0j 4.36687e-07-0j 4.27348e-07-0j -0.00212509-0j 0.00172943-0j 0.00169244-0j 2.02312e-06-0j -4.14749e-06-0j 0.00801226-0j 1.34096e-06-0j 2.76964e-07-0j -0.0164255-0j 0.00531065-0j 0.00109687-0j -4.84554e-06-0j -0.01919-0j 9.62349e-07-0j 0.00381123-0j 
0.000128876-0j -0.00071277-0j 0.000118866-0j 0.00218307-0j -0.000509228-0j -0.00374526-0j 0.00387145-0j 1.69276e-05-0j -9.17296e-05-0j 1.48117e-05-0j 9.87445e-06-0j 0.000272027-0j -8.4605e-05-0j 6.1095e-06-0j -0.000439998-0j 0.000194346-0j 0.000196108-0j -0.000247385-0j -0.00212334-0j 1.59449e-06-0j 0.0113453-0j -8.51959e-06-0j -0.00179492-0j 1.34787e-06-0j -0.0329651-0j -0.00163853-0j 2.47547e-05-0j 1.23043e-06-0j 0.00992713-0j 0.00661809-0j -7.45464e-06-0j 0.0516272-0j -0.00117063-0j -4.96976e-06-0j -3.87687e-05-0j 8.79065e-07-0j -0.0304047-0j 0.00409473-0j 2.2832e-05-0j -0.0216943-0j 0.0368843-0j -3.07488e-06-0j 1.6291e-05-0j -2.76977e-05-0j -0.0539197-0j 4.04903e-05-0j 0.0828929-0j -6.22473e-05-0j 
-5.94207e-06-0j 1.96717e-05-0j 5.32454e-06-0j -2.61717e-05-0j -4.13622e-05-0j 4.60149e-06-0j 2.35338e-05-0j 0.000149543-0j -0.000485072-0j -0.000127125-0j 8.72336e-05-0j 0.000624859-0j 0.000434661-0j -0.000265256-0j 0.000106614-0j -0.00131385-0j 0.000744736-0j 0.000451958-0j -5.09342e-07-0j -0.00201717-0j 1.62904e-06-0j 0.00645155-0j 4.18305e-07-0j 0.00165663-0j -2.05609e-06-0j -3.93048e-07-0j -0.00814283-0j -0.0015566-0j -1.38483e-06-0j 9.50272e-07-0j -0.0054844-0j -3.39674e-07-0j 8.26433e-07-0j 0.0037634-0j -0.00134523-0j 0.00327296-0j 1.84241e-06-0j -2.88954e-06-0j 0.00729659-0j 2.30258e-06-0j 7.14208e-07-0j -0.0114436-0j 0.00911902-0j 0.00282851-0j -1.65671e-06-0j -0.00656114-0j -4.09961e-06-0j -0.0162359-0j 
