-0.000463795-0j 0.182716-0j 0.0960891-0j 0.0671724-0j -0.379626-0j 0.000762599-0j 0.000540667-0j -0.0022517-0j 0.000308727-0j -0.00111197-0j 0.000530334-0j -0.0015659-0j -0.00136855-0j 0.0949003-0j 0.0663413-0j 0.0374931-0j 0.0659965-0j -0.119056-0j 0.0836547-0j 0.0466166-0j -0.137643-0j -0.263455-0j -0.217355-0j 0.0382596-0j -0.151155-0j -0.0790746-0j -0.0308918-0j -0.112015-0j -0.0778989-0j -0.103014-0j -0.055685-0j 0.200567-0j 0.0348885-0j -0.0626106-0j 0.0822428-0j -0.000170334-0j 0.0570752-0j -0.0446009-0j 0.000177388-0j -0.0802397-0j 0.289008-0j -0.0287107-0j 0.0847733-0j 0.0878414-0j 0.0515241-0j -0.0160448-0j 0.0889418-0j 0.0252316-0j 0.0175468-0j 0.00796873-0j 0.0018529-0j -0.000304555-0j 
0.0251724-0j 0.0199005-0j 0.0217999-0j 0.0229791-0j -0.0968033-0j -0.00308373-0j -0.00329665-0j -0.00178039-0j 0.0344687-0j 0.0172343-0j -0.136901-0j -0.0790396-0j 0.307141-0j -0.00238865-0j -0.00251786-0j 0.0260559-0j -0.106043-0j 0.250779-0j -0.00159243-0j 0.0162487-0j 0.00938119-0j -0.0684503-0j -0.000890197-0j 0.00889978-0j -0.0395198-0j 0.00444989-0j 0.0020977-0j -0.00285498-0j -0.126745-0j -0.00159243-0j -0.00218053-0j -0.00109026-0j -0.00275818-0j 0.274715-0j -0.212723-0j -0.00213647-0j -0.150418-0j -0.00116554-0j -0.436918-0j -0.00308373-0j -0.00154187-0j -0.00056301-0j -0.000325054-0j -0.000839286-0j 0.056076-0j -0.000251786-0j 0.00765971-0j -0.000106399-0j -0.00472352-0j -4.34372e-05-0j 0.000161841-0j -2.31363e-05-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.225257-0j 0.0191092-0j -0.195078-0j 0.0220654-0j 0.0135122-0j 0.0270245-0j 0.0288904-0j 0.0156026-0j 0.0330981-0j 0.0165491-0j 0.0191092-0j 0.0110327-0j 0.0095546-0j -0.195078-0j 0.0220654-0j 0.0250198-0j -0.137941-0j 0.0078013-0j -0.130052-0j 0.0156026-0j 0.00900816-0j 0.0095546-0j 0.0078013-0j -0.0796404-0j 0.00551635-0j 0.00427295-0j 0.00201429-0j 0.0250198-0j 0.0176917-0j -0.130052-0j 0.0191092-0j 0.0095546-0j -0.225257-0j -0.0796404-0j 0.00390065-0j 0.629173-0j 0.00275818-0j 0.0102143-0j 0.00213647-0j 0.0270245-0j 0.0135122-0j 0.00493397-0j 0.00284863-0j 0.00735513-0j 0.00174442-0j -0.0205631-0j 0.00735513-0j 0.000932433-0j 0.00065933-0j 0.000380664-0j 0.000155406-0j 2.09549e-05-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.000813166-0j 0.005108-0j 7.77028e-05-0j 8.19059e-05-0j 5.01569e-05-0j -0.000909148-0j -0.00097192-0j -0.000524897-0j -0.00111347-0j -0.000556737-0j -0.000642864-0j -0.000371158-0j -0.000321432-0j 0.00559554-0j 0.00589821-0j 0.00668795-0j 0.00395664-0j 0.00208533-0j -0.0253557-0j -0.0283486-0j -0.016367-0j -0.0173599-0j 0.0793756-0j 0.0869516-0j 0.056127-0j -0.187773-0j 0.25372-0j 9.28726e-05-0j 6.56708e-05-0j 5.18019e-05-0j -0.0347198-0j -0.0173599-0j 8.97234e-05-0j 3.1722e-05-0j 1.44791e-05-0j -0.000629876-0j -0.00501136-0j 0.103927-0j -7.18744e-05-0j 0.000100314-0j 5.01569e-05-0j -0.216822-0j -0.125182-0j 0.00196607-0j -0.0766746-0j 0.277936-0j 2.7302e-05-0j -0.10788-0j -0.0763662-0j -0.248094-0j 0.246856-0j -0.225991-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
