-0.216755-0j -0.229691-0j 0.164635-0j -0.172976-0j -0.148265-0j 0.176432-0j -0.107023-0j -0.137267-0j -0.132612-0j -0.160144-0j 0.286681-0j 0.134752-0j -0.149801-0j -0.0577991-0j -0.103785-0j 0.117621-0j -0.12358-0j 0.111585-0j 0.31286-0j -0.077357-0j -0.117238-0j 0.0849035-0j -0.0749006-0j -0.028209-0j 0.130183-0j 0.0891301-0j 0.233804-0j -0.0789686-0j -0.0873841-0j -0.0540661-0j 0.244852-0j 0.221226-0j 0.0469855-0j 0.0396134-0j 0.103985-0j -0.0127462-0j -0.0416201-0j 0.26411-0j -0.0446023-0j 0.182502-0j 0.159689-0j 0.151121-0j 0.049527-0j 0.0237362-0j 0.21788-0j -0.0164552-0j -0.00544205-0j 0.107591-0j 0.093152-0j 0.109085-0j 0.0113053-0j 0.0497343-0j -0.00224473-0j 0.0113657-0j 0.000890394-0j -0.000126143-0j 
0.000875856-0j 0.000928125-0j 0.000691783-0j 0.000698952-0j -0.00292879-0j 0.000741351-0j 0.000432455-0j 0.000554661-0j 0.000535853-0j -0.00316346-0j 0.000396269-0j 0.000566216-0j 0.00060531-0j 0.000233552-0j 0.000419371-0j -0.00241613-0j -0.00244117-0j 0.000468871-0j 0.000432455-0j 0.00205077-0j 0.00047373-0j 0.000356757-0j -0.00147957-0j 0.000113986-0j -0.00267417-0j 0.000374517-0j 0.0001934-0j -0.00155993-0j 0.00231659-0j 0.000218468-0j 0.000338449-0j -0.00149491-0j 0.000197429-0j 0.00588378-0j -0.00213602-0j 5.15042e-05-0j 0.00594475-0j 0.000218468-0j -0.000881065-0j 0.00165505-0j 0.000220732-0j -0.000436014-0j 0.00136535-0j 9.97374e-05-0j -0.000881065-0j 0.000436235-0j 2.199e-05-0j 4.93572e-05-0j -0.000629463-0j 6.43802e-05-0j -0.000232229-0j 4.11396e-05-0j -4.4342e-05-0j 1.57104e-05-0j 3.74136e-06-0j 5.09713e-07-0j 
0.000804525-0j 0.000852537-0j -0.000611073-0j 0.000642029-0j 0.00055031-0j -0.000654857-0j 0.000397235-0j -0.0014919-0j 0.000492213-0j 0.000594403-0j -0.00106407-0j -0.000500155-0j -0.00162813-0j 0.000214531-0j 0.000385217-0j -0.000436571-0j 0.000458687-0j 0.00121278-0j -0.00116123-0j 0.000287124-0j -0.00127422-0j -0.000315134-0j -0.00190614-0j 0.000104702-0j -0.000483196-0j 0.00226826-0j -0.000867804-0j 0.000293106-0j -0.000949744-0j -0.00137592-0j -0.00090881-0j 0.00240442-0j -0.000174395-0j -0.000147032-0j 0.00113017-0j 4.73096e-05-0j 0.00015448-0j 0.00287051-0j -0.000484765-0j -0.000677387-0j 0.0017356-0j -0.00056091-0j -0.000183828-0j 0.00025798-0j -0.000808697-0j 6.10764e-05-0j -5.91476e-05-0j -0.000399343-0j -0.00034575-0j -0.000404887-0j -4.19616e-05-0j -0.000184598-0j 8.33171e-06-0j -4.21859e-05-0j -3.30485e-06-0j 4.68201e-07-0j 
0.00325145-0j 0.00344549-0j -0.0125451-0j 0.00259473-0j 0.00222405-0j -0.013444-0j 0.00160541-0j 0.00205907-0j 0.00198925-0j 0.00240225-0j 0.0181214-0j -0.010268-0j 0.0022471-0j 0.000867018-0j 0.00155684-0j -0.00896265-0j 0.00185376-0j -0.00850271-0j 0.0197762-0j 0.0011604-0j 0.00175863-0j -0.00646958-0j 0.00112355-0j 0.00042315-0j -0.00991983-0j -0.00679164-0j 0.00525477-0j 0.00118457-0j 0.00131081-0j 0.000811021-0j 0.0154773-0j 0.0139839-0j -0.00358026-0j -0.00301851-0j -0.00792358-0j 0.000191199-0j 0.000624325-0j 0.0059359-0j 0.000669059-0j 0.0115361-0j 0.0100941-0j -0.0215791-0j -0.00377392-0j -0.00180868-0j 0.00489686-0j 0.000246837-0j 8.16338e-05-0j -0.0458904-0j 0.00588821-0j -0.0155767-0j -0.000861455-0j 0.00111778-0j 3.36722e-05-0j 0.000718438-0j -6.78474e-05-0j 1.89221e-06-0j 
-0.00536462-0j 0.011032-0j -0.00423717-0j -0.00378275-0j 0.00713468-0j 0.00881193-0j -0.0101234-0j -0.0033973-0j -0.0032821-0j -0.0149551-0j -0.00242715-0j -0.00306437-0j 0.00719491-0j -0.00175036-0j 0.00498478-0j 0.00588581-0j 0.00525457-0j -0.00287184-0j 0.00514029-0j 0.00935959-0j -0.00256384-0j -0.0083514-0j 0.00360431-0j 0.00877038-0j -0.012642-0j 0.00445162-0j -0.00118457-0j 0.0145235-0j -0.0205178-0j -0.00511417-0j -0.0018317-0j 0.00364166-0j -0.00147963-0j 0.00798584-0j 0.00459775-0j 0.0136236-0j 0.00712938-0j 0.00259678-0j 0.00262622-0j -0.0146586-0j -0.00516717-0j 0.00106215-0j 0.0238158-0j 0.00767408-0j 0.00189648-0j -0.0250106-0j 0.0129704-0j 0.000586675-0j 0.00187626-0j -0.00150709-0j -0.0244312-0j 0.0031654-0j -0.0191789-0j 0.00926647-0j 0.00670502-0j 0.00201884-0j 
-0.0013274-0j 0.00135093-0j -0.00104843-0j 0.00105846-0j -0.000907966-0j 0.00107907-0j -0.000579112-0j 0.00246151-0j -0.000812109-0j 0.000941893-0j -0.000600563-0j 0.000857453-0j -0.00257995-0j -0.00165937-0j 0.000610417-0j -0.000749033-0j 0.000756203-0j 0.00208079-0j 0.00062946-0j -0.00047373-0j -0.0021007-0j -0.000477743-0j 0.00314497-0j -0.00179903-0j 0.000796211-0j -0.00373765-0j -0.000293106-0j -0.000427307-0j -0.00150497-0j 0.0020059-0j 0.000512533-0j 0.00135706-0j -0.00140271-0j -0.000252265-0j -0.00193754-0j -0.00140984-0j 0.00025468-0j -0.000931152-0j 0.00374958-0j 0.000367185-0j 0.000865551-0j -0.00013517-0j -0.000278684-0j 0.00460948-0j 0.000272928-0j -0.00104943-0j 0.00269647-0j 7.18419e-05-0j -0.00091483-0j -8.62133e-05-0j -0.00130034-0j -0.000649305-0j -0.000537794-0j -0.00065789-0j -0.00029788-0j -6.57577e-05-0j 
0.00053635-0j 0.000568358-0j 0.000423629-0j 0.000428019-0j -0.00179351-0j 0.000453983-0j 0.000264823-0j 0.000339659-0j 0.000328142-0j -0.00193722-0j 0.000242664-0j 0.000346735-0j 0.000370675-0j 0.000143021-0j 0.000256811-0j -0.00147957-0j -0.00149491-0j 0.000287124-0j 0.000264823-0j 0.00125583-0j 0.000290099-0j 0.000218468-0j -0.000906049-0j 6.98016e-05-0j -0.00163759-0j 0.000229344-0j 0.000118433-0j -0.000955259-0j 0.00141862-0j 0.000133784-0j 0.000207257-0j -0.000915439-0j 0.0001209-0j 0.00360306-0j -0.00130804-0j 3.15397e-05-0j 0.0036404-0j 0.000133784-0j -0.00053954-0j 0.00101351-0j 0.00013517-0j -0.000267003-0j 0.000836102-0j 6.10764e-05-0j -0.00053954-0j 0.000267139-0j 1.34661e-05-0j 3.0225e-05-0j -0.000385466-0j 3.94247e-05-0j -0.000142211-0j 2.51927e-05-0j -2.71538e-05-0j 9.62063e-06-0j 2.2911e-06-0j 3.12134e-07-0j 
-0.000164223-0j -0.000174023-0j 0.000124735-0j -0.000131054-0j -0.000112332-0j 0.000133672-0j -8.10853e-05-0j 0.000304532-0j -0.000100472-0j -0.000121332-0j 0.000217202-0j 0.000102094-0j 0.000332341-0j -4.3791e-05-0j -7.86321e-05-0j 8.91148e-05-0j -9.36292e-05-0j -0.000247557-0j 0.000237036-0j -5.86089e-05-0j 0.000260098-0j 6.43264e-05-0j 0.000389089-0j -2.13723e-05-0j 9.8632e-05-0j -0.000463007-0j 0.00017714-0j -5.983e-05-0j 0.000193866-0j 0.000280859-0j 0.00018551-0j -0.0004908-0j 3.55982e-05-0j 3.00127e-05-0j -0.000230696-0j -9.65703e-06-0j -3.15332e-05-0j -0.00058594-0j 9.89523e-05-0j 0.000138271-0j -0.000354278-0j 0.000114495-0j 3.75237e-05-0j -5.26599e-05-0j 0.000165075-0j -1.24672e-05-0j 1.20735e-05-0j 8.15156e-05-0j 7.05758e-05-0j 8.26471e-05-0j 8.56537e-06-0j 3.76808e-05-0j -1.7007e-06-0j 8.61116e-06-0j 6.746e-07-0j -9.55711e-08-0j 
-0.000812862-0j 0.000827275-0j -0.000642029-0j 0.000648174-0j -0.000556013-0j 0.000660796-0j -0.000354632-0j 0.00150736-0j -0.000497313-0j 0.00057679-0j -0.000367768-0j 0.000525081-0j -0.00157989-0j -0.00101615-0j 0.000373802-0j -0.000458687-0j 0.000463078-0j 0.00127422-0j 0.000385464-0j -0.000290099-0j -0.00128641-0j -0.000292557-0j 0.00192589-0j -0.00110168-0j 0.000487578-0j -0.00228883-0j -0.00017949-0j -0.000261671-0j -0.000921601-0j 0.00122836-0j 0.000313861-0j 0.000831026-0j -0.000858983-0j -0.00015448-0j -0.0011865-0j -0.000863347-0j 0.000155959-0j -0.000570212-0j 0.00229614-0j 0.000224854-0j 0.000530039-0j -8.27745e-05-0j -0.000170658-0j 0.00282272-0j 0.000167134-0j -0.000642645-0j 0.00165124-0j 4.3994e-05-0j -0.000560217-0j -5.27947e-05-0j -0.000796292-0j -0.000397616-0j -0.00032933-0j -0.000402873-0j -0.000182413-0j -4.02682e-05-0j 
-0.00569004-0j 0.00579092-0j 0.0131379-0j 0.00453722-0j -0.00389209-0j -0.0135219-0j -0.00248243-0j -0.00360338-0j -0.00348119-0j 0.00403753-0j -0.00218701-0j -0.0107448-0j 0.00377676-0j -0.00711305-0j 0.00261662-0j 0.00938615-0j 0.00324154-0j 0.00890448-0j 0.00229224-0j -0.0020307-0j 0.0030752-0j 0.00598661-0j -0.00196621-0j -0.00771174-0j -0.00997733-0j -0.00683101-0j -0.0154773-0j -0.0018317-0j 0.00220311-0j -0.00125408-0j 0.00186644-0j -0.00168767-0j 0.0175774-0j 0.00316114-0j -0.00829149-0j -0.00604343-0j 0.00109171-0j 0.0167914-0j -0.00548898-0j 0.00133714-0j -0.00107642-0j -0.0182422-0j 0.00349219-0j 0.0197257-0j 0.0144118-0j -0.00449851-0j -0.00394734-0j 0.0179677-0j -0.00333145-0j -0.0116351-0j 0.0162946-0j -0.0342862-0j -0.00230531-0j -0.00239577-0j 0.00373274-0j -0.000281878-0j 
-0.000109482-0j -0.000116016-0j -8.64729e-05-0j -8.7369e-05-0j 0.000366099-0j -9.26689e-05-0j -5.40568e-05-0j -6.93326e-05-0j -6.69816e-05-0j 0.000395432-0j -4.95336e-05-0j -7.0777e-05-0j -7.56638e-05-0j -2.9194e-05-0j -5.24214e-05-0j 0.000302016-0j 0.000305146-0j -5.86089e-05-0j -5.40568e-05-0j -0.000256346-0j -5.92163e-05-0j -4.45946e-05-0j 0.000184947-0j -1.42482e-05-0j 0.000334271-0j -4.68146e-05-0j -2.4175e-05-0j 0.000194991-0j -0.000289574-0j -2.73085e-05-0j -4.23062e-05-0j 0.000186863-0j -2.46786e-05-0j -0.000735472-0j 0.000267003-0j -6.43802e-06-0j -0.000743094-0j -2.73085e-05-0j 0.000110133-0j -0.000206882-0j -2.75915e-05-0j 5.45018e-05-0j -0.000170669-0j -1.24672e-05-0j 0.000110133-0j -5.45294e-05-0j -2.74875e-06-0j -6.16965e-06-0j 7.86829e-05-0j -8.04752e-06-0j 2.90287e-05-0j -5.14245e-06-0j 5.54275e-06-0j -1.9638e-06-0j -4.6767e-07-0j -6.37141e-08-0j 
-0.00153275-0j -3.21473e-05-0j 0.00116419-0j 0.00117475-0j 0.00203848-0j 2.46932e-05-0j 0.00146865-0j -0.000970656-0j -0.000937743-0j 4.35793e-05-0j 0.00202722-0j -0.000915156-0j -2.0966e-05-0j 0.00119379-0j -1.45257e-05-0j -0.00161716-0j -0.00163183-0j 0.000789056-0j 4.37876e-05-0j 0.00267417-0j 0.000796211-0j -0.00116511-0j 0.0010298-0j 0.000778158-0j -3.5426e-05-0j 1.24746e-05-0j 0.00165331-0j -0.002107-0j 5.9789e-05-0j 0.000741937-0j -0.00166289-0j -0.00304161-0j -0.000970444-0j -0.00219416-0j 0.00137309-0j 0.000439958-0j -0.00221406-0j 3.69646e-05-0j -0.00179115-0j -0.000124869-0j -0.00219138-0j -0.00207775-0j 0.00332256-0j -0.000654775-0j 0.00287703-0j -0.00221908-0j 0.000225564-0j 1.50584e-05-0j 0.00374082-0j -0.00149694-0j 0.00075872-0j -0.00137195-0j -0.000211152-0j -0.00047109-0j -4.92486e-05-0j 8.72577e-06-0j 
9.67693e-06-0j 1.02544e-05-0j -7.35006e-06-0j 7.72241e-06-0j 6.6192e-06-0j -7.87671e-06-0j 4.77799e-06-0j -1.79447e-05-0j 5.9204e-06-0j 7.14956e-06-0j -1.27987e-05-0j -6.01593e-06-0j -1.95834e-05-0j 2.58041e-06-0j 4.63344e-06-0j -5.25114e-06-0j 5.51715e-06-0j 1.45875e-05-0j -1.39675e-05-0j 3.45356e-06-0j -1.53264e-05-0j -3.79047e-06-0j -2.29273e-05-0j 1.25937e-06-0j -5.81194e-06-0j 2.7283e-05-0j -1.04381e-05-0j 3.52551e-06-0j -1.14236e-05-0j -1.65498e-05-0j -1.09313e-05-0j 2.89206e-05-0j -2.09764e-06-0j -1.76852e-06-0j 1.35939e-05-0j 5.69046e-07-0j 1.85811e-06-0j 3.45269e-05-0j -5.83082e-06-0j -8.1477e-06-0j 2.0876e-05-0j -6.7467e-06-0j -2.21111e-06-0j 3.10301e-06-0j -9.72712e-06-0j 7.34635e-07-0j -7.11435e-07-0j -4.80335e-06-0j -4.15872e-06-0j -4.87003e-06-0j -5.04719e-07-0j -2.22036e-06-0j 1.00215e-07-0j -5.07418e-07-0j -3.97512e-08-0j 5.63158e-09-0j 
0.000165925-0j -0.000168867-0j 0.000131054-0j -0.000132308-0j 0.000113496-0j -0.000134884-0j 7.2389e-05-0j -0.000307688-0j 0.000101514-0j -0.000117737-0j 7.50704e-05-0j -0.000107182-0j 0.000322493-0j 0.000207421-0j -7.63021e-05-0j 9.36292e-05-0j -9.45253e-05-0j -0.000260098-0j -7.86825e-05-0j 5.92163e-05-0j 0.000262588-0j 5.97179e-05-0j -0.000393121-0j 0.000224879-0j -9.95264e-05-0j 0.000467206-0j 3.66382e-05-0j 5.34133e-05-0j 0.000188121-0j -0.000250738-0j -6.40666e-05-0j -0.000169633-0j 0.000175339-0j 3.15332e-05-0j 0.000242193-0j 0.00017623-0j -3.1835e-05-0j 0.000116394-0j -0.000468698-0j -4.58981e-05-0j -0.000108194-0j 1.68963e-05-0j 3.48355e-05-0j -0.000576184-0j -3.4116e-05-0j 0.000131179-0j -0.000337059-0j -8.98024e-06-0j 0.000114354-0j 1.07767e-05-0j 0.000162542-0j 8.11631e-05-0j 6.72242e-05-0j 8.22362e-05-0j 3.7235e-05-0j 8.21972e-06-0j 
0.00331919-0j -0.0102733-0j -0.00252107-0j 0.0124176-0j 0.00227039-0j 0.00789124-0j 0.00200529-0j 0.00210197-0j 0.0020307-0j -0.00716275-0j -0.00438997-0j -0.00967357-0j -0.00670014-0j -0.01218-0j -0.00464199-0j -0.00180114-0j 0.00887153-0j -0.00170871-0j 0.0139933-0j 0.00118457-0j 0.00841628-0j -0.00159083-0j 0.00114696-0j -0.00801684-0j 0.00582267-0j 0.00398651-0j -0.00358026-0j 0.00147963-0j -0.00390841-0j 0.00101303-0j -0.0175774-0j -0.00338764-0j 0.00990126-0j -0.000606602-0j -0.00746487-0j 0.00599112-0j 0.00298782-0j 0.0118128-0j -0.00939906-0j 0.00816273-0j -0.00299209-0j -0.00231412-0j -0.000927985-0j 0.0067457-0j -0.0156411-0j -0.00467649-0j 0.0166685-0j 0.00481221-0j 0.01963-0j -0.00204391-0j -0.00531386-0j 0.0141342-0j 0.0198539-0j -0.0348123-0j -0.017367-0j 0.00806236-0j 
-0.000938612-0j -1.96861e-05-0j 0.000712918-0j 0.000719383-0j 0.00124831-0j 1.51214e-05-0j 0.000899364-0j -0.000594403-0j -0.000574248-0j 2.66868e-05-0j 0.00124141-0j -0.000560416-0j -1.2839e-05-0j 0.000731045-0j -8.89514e-06-0j -0.000990307-0j -0.000999287-0j 0.000483196-0j 2.68143e-05-0j 0.00163759-0j 0.000487578-0j -0.000713482-0j 0.000630623-0j 0.000476523-0j -2.16939e-05-0j 7.63908e-06-0j 0.00101244-0j -0.00129027-0j 3.66131e-05-0j 0.000454342-0j -0.00101831-0j -0.0018626-0j -0.000594273-0j -0.00134364-0j 0.000840842-0j 0.000269418-0j -0.00135583-0j 2.26361e-05-0j -0.00109685-0j -7.64666e-05-0j -0.00134194-0j -0.00127235-0j 0.00203464-0j -0.000400966-0j 0.00176181-0j -0.0013589-0j 0.000138129-0j 9.22132e-06-0j 0.00229078-0j -0.000916687-0j 0.000464619-0j -0.000840142-0j -0.000129304-0j -0.000288483-0j -3.01585e-05-0j 5.34342e-06-0j 
-0.000541908-0j -0.000574248-0j 0.00209085-0j -0.000432455-0j -0.000370675-0j 0.00224066-0j -0.000267568-0j -0.000343179-0j -0.000331542-0j -0.000400375-0j -0.00302023-0j 0.00171133-0j -0.000374517-0j -0.000144503-0j -0.000259473-0j 0.00149377-0j -0.000308961-0j 0.00141712-0j -0.00329603-0j -0.0001934-0j -0.000293106-0j 0.00107826-0j -0.000187258-0j -7.0525e-05-0j 0.00165331-0j 0.00113194-0j -0.000875795-0j -0.000197429-0j -0.000218468-0j -0.00013517-0j -0.00257955-0j -0.00233064-0j 0.000596709-0j 0.000503085-0j 0.0013206-0j -3.18666e-05-0j -0.000104054-0j -0.000989316-0j -0.00011151-0j -0.00192268-0j -0.00168235-0j 0.00359652-0j 0.000628987-0j 0.000301447-0j -0.000816144-0j -4.11396e-05-0j -1.36056e-05-0j 0.00764839-0j -0.000981369-0j 0.00259611-0j 0.000143576-0j -0.000186297-0j -5.61204e-06-0j -0.00011974-0j 1.13079e-05-0j -3.15369e-07-0j 
6.45129e-06-0j 6.83628e-06-0j 5.09547e-06-0j 5.14827e-06-0j -2.15726e-05-0j 5.46056e-06-0j 3.18533e-06-0j 4.08546e-06-0j 3.94693e-06-0j -2.33011e-05-0j 2.91879e-06-0j 4.17058e-06-0j 4.45853e-06-0j 1.72027e-06-0j 3.08896e-06-0j -1.77965e-05-0j -1.79809e-05-0j 3.45356e-06-0j 3.18533e-06-0j 1.51053e-05-0j 3.48935e-06-0j 2.62776e-06-0j -1.08981e-05-0j 8.39583e-07-0j -1.96971e-05-0j 2.75858e-06-0j 1.42452e-06-0j -1.149e-05-0j 1.70633e-05-0j 1.60917e-06-0j 2.49291e-06-0j -1.1011e-05-0j 1.4542e-06-0j 4.33381e-05-0j -1.57333e-05-0j 3.79364e-07-0j 4.37872e-05-0j 1.60917e-06-0j -6.48966e-06-0j 1.21906e-05-0j 1.62585e-06-0j -3.21155e-06-0j 1.00567e-05-0j 7.34635e-07-0j -6.48966e-06-0j 3.21318e-06-0j 1.61972e-07-0j 3.6355e-07-0j -4.63643e-06-0j 4.74205e-07-0j -1.71053e-06-0j 3.03021e-07-0j -3.2661e-07-0j 1.15718e-07-0j 2.75577e-08-0j 3.75439e-09-0j 
0.000894103-0j -0.00183866-0j 0.000706196-0j 0.000630458-0j -0.00118911-0j -0.00146865-0j 0.00168724-0j 0.000566216-0j 0.000547017-0j 0.00249252-0j 0.000404524-0j 0.000510729-0j -0.00119915-0j 0.000291726-0j -0.000830797-0j -0.000980969-0j -0.000875762-0j 0.00047864-0j -0.000856715-0j -0.00155993-0j 0.000427307-0j 0.0013919-0j -0.000600718-0j -0.00146173-0j 0.002107-0j -0.000741937-0j 0.000197429-0j -0.00242059-0j 0.00341963-0j 0.000852361-0j 0.000305283-0j -0.000606943-0j 0.000246605-0j -0.00133097-0j -0.000766292-0j -0.00227059-0j -0.00118823-0j -0.000432797-0j -0.000437703-0j 0.0024431-0j 0.000861194-0j -0.000177025-0j -0.00396929-0j -0.00127901-0j -0.000316079-0j 0.00416843-0j -0.00216173-0j -9.77792e-05-0j -0.00031271-0j 0.000251182-0j 0.00407187-0j -0.000527566-0j 0.00319649-0j -0.00154441-0j -0.0011175-0j -0.000336474-0j 
-9.77721e-06-0j 9.95057e-06-0j -7.72241e-06-0j 7.79632e-06-0j -6.6878e-06-0j 7.94813e-06-0j -4.26557e-06-0j 1.81307e-05-0j -5.98175e-06-0j 6.9377e-06-0j -4.42356e-06-0j 6.31574e-06-0j -1.90031e-05-0j -1.22224e-05-0j 4.49614e-06-0j -5.51715e-06-0j 5.56996e-06-0j 1.53264e-05-0j 4.63641e-06-0j -3.48935e-06-0j -1.54731e-05-0j -3.51891e-06-0j 2.31649e-05-0j -1.32511e-05-0j 5.86465e-06-0j -2.75304e-05-0j -2.15893e-06-0j -3.14741e-06-0j -1.10851e-05-0j 1.47749e-05-0j 3.77516e-06-0j 9.99569e-06-0j -1.0332e-05-0j -1.85811e-06-0j -1.42713e-05-0j -1.03845e-05-0j 1.87589e-06-0j -6.85858e-06-0j 2.76183e-05-0j 2.70457e-06-0j 6.37538e-06-0j -9.95623e-07-0j -2.0527e-06-0j 3.3952e-05-0j 2.0103e-06-0j -7.72982e-06-0j 1.98614e-05-0j 5.29166e-07-0j -6.73836e-06-0j -6.35021e-07-0j -9.5779e-06-0j -4.78258e-06-0j -3.96122e-06-0j -4.84581e-06-0j -2.19409e-06-0j -4.84352e-07-0j 
-0.000865892-0j 0.00447886-0j -0.000683913-0j -0.0124807-0j -0.000592286-0j 0.00357755-0j 0.0184635-0j -0.000548351-0j -0.000529757-0j 0.00312274-0j -0.000391761-0j -0.0101105-0j 0.00292106-0j -0.00708731-0j 0.00202377-0j -0.000488611-0j -0.00891661-0j -0.000463537-0j 0.0020869-0j -0.000309025-0j -0.00845904-0j 0.0152316-0j -0.000299212-0j -0.0157589-0j 0.00263975-0j 0.00180731-0j -0.000191199-0j 0.0136236-0j 0.00170395-0j 0.00932741-0j -0.00604343-0j -0.000302313-0j -0.00599112-0j -0.000164558-0j -0.00780204-0j 0.00751904-0j -0.003003-0j 0.00105426-0j -0.00546912-0j 0.00121736-0j 0.00942407-0j -8.81746e-05-0j 0.0088851-0j -0.0137891-0j -0.00321818-0j -0.00919272-0j 0.0210905-0j 0.000238184-0j -0.00390732-0j 0.00274869-0j 0.00693505-0j -0.0056877-0j 0.00814078-0j 0.0150678-0j -0.0181976-0j -0.0436209-0j 
-0.00033185-0j -0.000351654-0j 0.00128038-0j -0.000264823-0j -0.000226991-0j 0.00137212-0j -0.000163851-0j -0.000210153-0j -0.000203027-0j -0.000245179-0j -0.0018495-0j 0.00104797-0j -0.000229344-0j -8.84897e-05-0j -0.000158894-0j 0.000914746-0j -0.000189199-0j 0.000867804-0j -0.0020184-0j -0.000118433-0j -0.00017949-0j 0.000660299-0j -0.000114672-0j -4.31875e-05-0j 0.00101244-0j 0.000693169-0j -0.000536313-0j -0.0001209-0j -0.000133784-0j -8.27745e-05-0j -0.00157964-0j -0.00142722-0j 0.000365408-0j 0.000308075-0j 0.000808697-0j -1.95142e-05-0j -6.37199e-05-0j -0.00060583-0j -6.82855e-05-0j -0.0011774-0j -0.00103022-0j 0.00220241-0j 0.000385174-0j 0.000184598-0j -0.000499784-0j -2.51927e-05-0j -8.33171e-06-0j 0.00468367-0j -0.000600963-0j 0.00158979-0j 8.79219e-05-0j -0.000114083-0j -3.43666e-06-0j -7.33253e-05-0j 6.92464e-06-0j -1.93123e-07-0j 
0.000948339-0j -0.000965154-0j -0.00218965-0j -0.000756203-0j 0.000648682-0j 0.00225365-0j 0.000413738-0j 0.000600563-0j 0.000580199-0j -0.000672921-0j 0.000364502-0j 0.00179079-0j -0.00062946-0j 0.00118551-0j -0.000436103-0j -0.00156436-0j -0.000540257-0j -0.00148408-0j -0.000382041-0j 0.000338449-0j -0.000512533-0j -0.000997768-0j 0.000327702-0j 0.00128529-0j 0.00166289-0j 0.0011385-0j 0.00257955-0j 0.000305283-0j -0.000367185-0j 0.000209013-0j -0.000311074-0j 0.000281278-0j -0.00292957-0j -0.000526857-0j 0.00138191-0j 0.00100724-0j -0.000181952-0j -0.00279856-0j 0.00091483-0j -0.000222857-0j 0.000179403-0j 0.00304037-0j -0.000582031-0j -0.00328762-0j -0.00240197-0j 0.000749752-0j 0.00065789-0j -0.00299462-0j 0.000555242-0j 0.00193919-0j -0.00271576-0j 0.00571436-0j 0.000384218-0j 0.000399296-0j -0.000622123-0j 4.69796e-05-0j 
0.000191593-0j 4.01841e-06-0j -0.000145524-0j -0.000146843-0j -0.00025481-0j -3.08665e-06-0j -0.000183582-0j 0.000121332-0j 0.000117218-0j -5.44741e-06-0j -0.000253402-0j 0.000114394-0j 2.62075e-06-0j -0.000149224-0j 1.81571e-06-0j 0.000202146-0j 0.000203979-0j -9.8632e-05-0j -5.47345e-06-0j -0.000334271-0j -9.95264e-05-0j 0.000145639-0j -0.000128725-0j -9.72698e-05-0j 4.42825e-06-0j -1.55932e-06-0j -0.000206663-0j 0.000263375-0j -7.47362e-06-0j -9.27422e-05-0j 0.000207861-0j 0.000380202-0j 0.000121306-0j 0.00027427-0j -0.000171636-0j -5.49947e-05-0j 0.000276757-0j -4.62057e-06-0j 0.000223894-0j 1.56087e-05-0j 0.000273922-0j 0.000259718-0j -0.000415319-0j 8.18468e-05-0j -0.000359628-0j 0.000277385-0j -2.81954e-05-0j -1.88229e-06-0j -0.000467603-0j 0.000187118-0j -9.48399e-05-0j 0.000171493-0j 2.6394e-05-0j 5.88863e-05-0j 6.15607e-06-0j -1.09072e-06-0j 
0.000547524-0j -0.00112595-0j 0.000432455-0j 0.000386075-0j -0.00072818-0j -0.000899364-0j 0.00103322-0j 0.000346735-0j 0.000334978-0j 0.00152635-0j 0.00024772-0j 0.000312756-0j -0.000734327-0j 0.000178645-0j -0.000508757-0j -0.000600718-0j -0.000536293-0j 0.000293106-0j -0.000524629-0j -0.000955259-0j 0.000261671-0j 0.000852361-0j -0.000367863-0j -0.000895123-0j 0.00129027-0j -0.000454342-0j 0.0001209-0j -0.0014823-0j 0.00209409-0j 0.000521963-0j 0.000186947-0j -0.000371675-0j 0.000151014-0j -0.000815052-0j -0.000469256-0j -0.00139045-0j -0.000727639-0j -0.000265033-0j -0.000268037-0j 0.00149609-0j 0.000527372-0j -0.000108405-0j -0.00243069-0j -0.000783233-0j -0.000193558-0j 0.00255263-0j -0.00132378-0j -5.98773e-05-0j -0.000191495-0j 0.000153817-0j 0.0024935-0j -0.000323067-0j 0.00195744-0j -0.000945755-0j -0.000684328-0j -0.000206047-0j 
6.77385e-05-0j 7.1781e-05-0j -0.000261356-0j 5.40568e-05-0j 4.63344e-05-0j -0.000280083-0j 3.3446e-05-0j 4.28973e-05-0j 4.14428e-05-0j 5.00469e-05-0j 0.000377529-0j -0.000213917-0j 4.68146e-05-0j 1.80629e-05-0j 3.24341e-05-0j -0.000186722-0j 3.86201e-05-0j -0.00017714-0j 0.000412003-0j 2.4175e-05-0j 3.66382e-05-0j -0.000134783-0j 2.34073e-05-0j 8.81562e-06-0j -0.000206663-0j -0.000141493-0j 0.000109474-0j 2.46786e-05-0j 2.73085e-05-0j 1.68963e-05-0j 0.000322444-0j 0.00029133-0j -7.45887e-05-0j -6.28856e-05-0j -0.000165075-0j 3.98332e-06-0j 1.30068e-05-0j 0.000123664-0j 1.39387e-05-0j 0.000240335-0j 0.000210293-0j -0.000449566-0j -7.86234e-05-0j -3.76808e-05-0j 0.000102018-0j 5.14245e-06-0j 1.7007e-06-0j -0.000956049-0j 0.000122671-0j -0.000324514-0j -1.7947e-05-0j 2.32872e-05-0j 7.01505e-07-0j 1.49675e-05-0j -1.41349e-06-0j 3.94211e-08-0j 
