-0.506424-0j -0.0515245-0j -0.0520585-0j -0.0296544-0j -0.00428024-0j -0.0366954-0j -0.0214057-0j -0.00529653-0j -0.00308964-0j 0.0620385-0j 0.010967-0j -0.0243869-0j 0.000913914-0j -0.0149339-0j -0.0213385-0j -0.00431103-0j -0.00263996-0j -0.00880169-0j -0.000359253-0j -0.00377215-0j -0.000219996-0j -0.00155593-0j -0.000314346-0j -0.000129661-0j -0.0161406-0j -0.00269011-0j 0.0541134-0j -0.00164735-0j -0.000336263-0j -0.014887-0j -1.98145e-05-0j -0.0150413-0j 0.00901891-0j -0.0130261-0j 0.00552293-0j -0.00248117-0j -0.010746-0j 0.00112736-0j -0.0015194-0j -0.00250688-0j 6.64305e-05-0j -0.0034334-0j -0.000310146-0j -0.00153514-0j -0.00217102-0j -0.00132947-0j -1.82755e-05-0j -0.001791-0j -0.00031336-0j -0.000271378-0j -0.00109676-0j -1.84649e-05-0j -0.000572234-0j -0.000223875-0j -0.00035042-0j -1.59911e-05-0j -7.15292e-05-0j -1.3192e-05-0j -4.2149e-06-0j 
0.00431103-0j -0.020681-0j -0.0208954-0j 0.0474629-0j 0.00682897-0j -0.0298649-0j -0.0174212-0j -0.00429696-0j -0.00250656-0j -0.000528115-0j -0.420849-0j -0.000408264-0j 0.00111605-0j 0.000127127-0j 0.000181648-0j -0.32534-0j 0.101306-0j 7.49262e-05-0j 0.000862769-0j 0.144753-0j -0.000268654-0j 0.0597078-0j -0.000383871-0j -0.000158339-0j 0.0001374-0j -0.00107976-0j -0.000460652-0j -0.00269544-0j 0.0260814-0j -0.000249225-0j -3.23188e-05-0j -0.000251808-0j 0.00362003-0j 0.000110888-0j 0.00903677-0j 0.00195854-0j 9.14776e-05-0j -0.0874409-0j 0.00488914-0j 0.00197883-0j 0.000108353-0j 2.92275e-05-0j -0.0473079-0j 0.00493981-0j -0.000871411-0j -0.00217532-0j 5.86218e-05-0j -0.000718877-0j -0.0477982-0j 0.0210487-0j -0.00179455-0j 5.92293e-05-0j -0.000229685-0j 0.0173643-0j -0.000573367-0j -2.60826e-05-0j 0.00554797-0j -2.1517e-05-0j -6.87479e-06-0j 
-0.000383842-0j -0.00580334-0j 0.00585996-0j 2.32832e-05-0j 0.0457828-0j -2.78132e-05-0j 1.50898e-05-0j -0.0546902-0j 0.0296718-0j 1.64121e-05-0j -0.000416197-0j -1.84839e-05-0j -0.151963-0j 1.17254e-05-0j -1.67439e-05-0j 0.000468737-0j -0.000297345-0j 3.26625e-05-0j 0.171146-0j 0.000424612-0j -0.108567-0j -0.000828295-0j 0.155035-0j -0.302428-0j -5.0381e-05-0j 0.00120455-0j -1.38195e-05-0j -5.14199e-06-0j -0.014299-0j 1.16886e-05-0j 0.160587-0j -1.18026e-05-0j 0.000330408-0j -9.87311e-06-0j -1.41044e-06-0j -0.000279461-0j 7.57536e-06-0j -0.0039222-0j 1.19296e-06-0j 0.000282187-0j 0.0440488-0j 2.82682e-05-0j 0.00331742-0j -1.2046e-06-0j 0.000236055-0j -1.00767e-06-0j -0.0372567-0j -0.000181118-0j -0.00334979-0j -0.00280216-0j 7.73157e-07-0j 0.0376202-0j -0.000675861-0j 0.00215002-0j 2.88511e-06-0j 0.03147-0j 0.00802301-0j -0.0241461-0j -0.0901034-0j 
0.000348564-0j 0.00204686-0j -0.00199641-0j -0.00581156-0j -0.000838826-0j 2.52569e-05-0j -0.00165652-0j 3.64552e-06-0j -0.000239098-0j -0.119879-0j 0.000146794-0j 0.011954-0j 1.22328e-05-0j -0.0856454-0j 0.118135-0j -1.46379e-05-0j 0.000104875-0j 0.147934-0j -1.21983e-06-0j -0.00014466-0j 8.73957e-06-0j -0.000181149-0j -1.2055e-05-0j -1.50958e-05-0j 0.000641202-0j -0.0154277-0j 1.25494e-05-0j 6.54424e-05-0j 1.33584e-05-0j -0.0029175-0j 7.8715e-07-0j 0.00284559-0j -0.000301945-0j 8.9657e-06-0j 1.28081e-06-0j 0.0701968-0j -0.000831602-0j 2.61445e-07-0j -0.000297766-0j -0.0684666-0j 1.54058e-08-0j -0.000533765-0j -6.07813e-05-0j 0.000290427-0j -0.00021572-0j 9.15058e-07-0j -3.58157e-06-0j 0.0200088-0j 5.92832e-05-0j 1.86785e-07-0j -8.4875e-05-0j 3.49329e-06-0j 0.0128427-0j -1.7325e-05-0j -5.44772e-05-0j 1.10064e-08-0j -1.11201e-05-0j -1.02089e-06-0j -6.55258e-07-0j 
0.0342918-0j -0.001791-0j -0.00162471-0j -0.00103079-0j -0.000148782-0j 0.00248478-0j -0.00286026-0j 0.000358647-0j -0.000412843-0j -0.311316-0j 0.000381214-0j -0.238391-0j 3.17678e-05-0j 0.0749397-0j 0.0961405-0j 0.000291916-0j -9.17655e-05-0j 0.052879-0j 2.43263e-05-0j -0.000117726-0j -7.64712e-06-0j -6.47516e-05-0j -9.81053e-06-0j -5.39597e-06-0j -0.000561052-0j 0.0134992-0j -0.00366422-0j -5.72621e-05-0j -1.16886e-05-0j -0.000517476-0j -6.88756e-07-0j -0.000469428-0j 0.0881633-0j 0.000882047-0j -0.000373978-0j 0.0124508-0j -0.0014359-0j -7.63379e-05-0j -5.28146e-05-0j 0.0112947-0j -4.49825e-06-0j 0.00152002-0j -1.07807e-05-0j -4.79108e-05-0j -0.0212226-0j 9.00236e-05-0j -6.35261e-07-0j 0.0345486-0j -9.77975e-06-0j 1.8376e-05-0j -0.000146551-0j -5.76277e-07-0j -0.0365726-0j -2.99146e-05-0j 0.000155136-0j 1.08282e-06-0j 3.16671e-05-0j -1.76273e-06-0j 1.866e-06-0j 
-0.000359253-0j 0.00524336-0j 0.0052977-0j 4.13706e-05-0j 0.0813488-0j -2.60314e-05-0j -1.5185e-05-0j -0.0511867-0j -0.0298589-0j 4.40096e-05-0j -0.00111605-0j 3.4022e-05-0j -0.407493-0j -1.0594e-05-0j -1.51374e-05-0j -0.000862769-0j 0.000268654-0j -6.24385e-06-0j -0.315016-0j 0.000383871-0j 0.0980914-0j 0.000158339-0j 0.14016-0j 0.057813-0j -1.145e-05-0j 0.000273757-0j 3.83876e-05-0j -1.16861e-06-0j -0.00324972-0j 2.07688e-05-0j 0.0364964-0j 2.0984e-05-0j -0.000917804-0j -9.24064e-06-0j 3.91792e-06-0j -0.000496557-0j -7.62314e-06-0j 0.0108951-0j 2.1197e-06-0j -0.000501703-0j -0.122358-0j -2.43563e-06-0j 0.00589453-0j 2.14167e-06-0j 0.000220933-0j -9.43118e-07-0j -0.0661993-0j 0.00018226-0j 0.00595562-0j -0.00262265-0j -7.78033e-07-0j -0.0668853-0j 5.82331e-05-0j -0.00216358-0j -2.48585e-07-0j 0.029454-0j -0.000691273-0j 0.0242983-0j 0.00776343-0j 
0.0174228-0j -0.00521697-0j 0.001791-0j -0.00200637-0j -0.000289594-0j -0.00371549-0j 0.000736434-0j -0.000536285-0j 0.000106295-0j -0.103818-0j 0.000127127-0j 0.238197-0j 1.0594e-05-0j -0.0658454-0j 0.311908-0j -0.000291678-0j 8.06292e-05-0j -0.0437148-0j -2.43065e-05-0j -0.000381939-0j 6.7191e-06-0j 5.35299e-05-0j -3.18283e-05-0j 4.46082e-06-0j 0.000555297-0j -0.0133608-0j 0.000627275-0j 5.66748e-05-0j 1.15687e-05-0j 0.00296435-0j 6.81692e-07-0j -0.00101767-0j -0.0150926-0j 0.000397843-0j 6.4021e-05-0j -0.071324-0j -0.00108806-0j 1.30682e-05-0j 0.000302547-0j 0.0244857-0j 7.70053e-07-0j 0.000118122-0j 6.17572e-05-0j -0.000103865-0j -0.00957233-0j 4.06046e-05-0j 3.63908e-06-0j 0.0261793-0j -2.12014e-05-0j 8.28839e-06-0j -0.000111049-0j -1.24931e-06-0j -0.00284208-0j -2.26679e-05-0j 1.20557e-05-0j 4.88398e-07-0j 2.46087e-06-0j -1.33572e-06-0j 1.45008e-07-0j 
-9.2427e-05-0j -0.024863-0j -0.0249607-0j 0.0298649-0j 0.00429696-0j -0.000622064-0j -0.0419947-0j -8.95026e-05-0j -0.0060422-0j 0.000653509-0j 0.520774-0j -4.45083e-06-0j -0.00138104-0j 0.00046298-0j -0.000210812-0j -0.00354681-0j 0.368943-0j 0.000271724-0j 9.40578e-06-0j -0.167994-0j -0.000978399-0j 0.216533-0j 0.000445502-0j -0.000574224-0j -0.000170024-0j 0.00133614-0j 9.8762e-06-0j 0.00333543-0j -0.032274-0j 0.000152355-0j 3.99925e-05-0j 0.000152954-0j -7.76122e-05-0j 6.99681e-06-0j -0.000193745-0j -0.00119728-0j -0.000214234-0j 0.0018747-0j -0.00298879-0j -0.00120199-0j -2.32304e-06-0j 0.000141536-0j 0.0289199-0j -0.00300055-0j -5.49845e-05-0j -0.000137259-0j -3.58363e-05-0j 0.00168356-0j 0.0290336-0j 0.00132814-0j 0.00420271-0j -3.59772e-05-0j -0.00111226-0j -0.040666-0j -0.00277656-0j -1.64576e-06-0j 0.0268663-0j 5.03914e-05-0j -3.32915e-05-0j 
-6.1618e-05-0j 0.017061-0j -0.0166405-0j -0.0982197-0j -0.0141319-0j 0.000426861-0j -0.0279964-0j 6.14168e-05-0j -0.00402813-0j -0.000146794-0j -0.116978-0j 1.46379e-05-0j 0.000310215-0j -0.000104875-0j 0.00014466-0j 0.0116648-0j -0.0835735-0j 0.000181149-0j -3.09338e-05-0j 0.115278-0j 0.000221628-0j 0.144356-0j -0.000305704-0j -0.000382816-0j -0.00011335-0j 0.000890758-0j -2.21844e-06-0j 0.00222362-0j -0.021516-0j 0.000515746-0j 2.66617e-05-0j -0.000503034-0j 1.74336e-05-0j -1.58493e-06-0j 4.35199e-05-0j -0.004053-0j 0.000147008-0j -0.000421104-0j -0.0101176-0j 0.0039531-0j 5.21812e-07-0j 9.43572e-05-0j 0.097899-0j 0.00986821-0j 1.24552e-05-0j 3.10921e-05-0j -0.000121312-0j -0.00115526-0j -0.095486-0j -0.000300851-0j -0.00288391-0j 0.000118322-0j -0.000741507-0j 0.027905-0j -0.00185104-0j 3.72801e-07-0j 0.0179109-0j -3.45786e-05-0j -2.21944e-05-0j 
0.0240323-0j 0.00246076-0j 0.00255757-0j 0.00286684-0j 0.000413792-0j -0.00169181-0j -0.000944774-0j -0.000244191-0j -0.000136366-0j 0.148342-0j -0.000181648-0j 0.328558-0j -1.51374e-05-0j -0.311908-0j 0.147033-0j -0.000402327-0j 0.000381939-0j 0.295223-0j -3.35273e-05-0j -0.000180046-0j 3.18283e-05-0j -0.000361508-0j -1.50038e-05-0j -3.01257e-05-0j -0.000793447-0j 0.0190908-0j 0.000865236-0j -8.09809e-05-0j -1.65302e-05-0j -0.00139823-0j -9.74048e-07-0j -0.00145324-0j -0.0208181-0j -0.00181927-0j 8.83078e-05-0j 0.0336423-0j 0.000460791-0j 1.80257e-05-0j -0.000142706-0j 0.0349659-0j 1.06218e-06-0j -0.00176987-0j -2.91298e-05-0j -0.000148321-0j 0.0437727-0j -0.000185678-0j -1.71649e-06-0j -0.0110869-0j -3.02759e-05-0j -3.79014e-05-0j 4.70293e-05-0j -1.78402e-06-0j 0.0425841-0j 9.59981e-06-0j -0.000180637-0j -2.23336e-06-0j -3.68723e-05-0j 5.65674e-07-0j -2.17272e-06-0j 
-0.00606199-0j -0.0149284-0j -0.0135423-0j -0.0174212-0j -0.00250656-0j 0.0419947-0j -0.0483405-0j 0.0060422-0j -0.00695524-0j -0.000381214-0j -0.303785-0j -0.000291916-0j 0.000805605-0j 9.17655e-05-0j 0.000117726-0j -0.232624-0j 0.0731268-0j 6.47516e-05-0j 0.000616895-0j 0.0938147-0j -0.000193925-0j 0.0515998-0j -0.000248787-0j -0.000136837-0j 9.91809e-05-0j -0.000779414-0j 0.000647748-0j -0.00194567-0j 0.0188265-0j 9.14776e-05-0j -2.3329e-05-0j 8.2984e-05-0j -0.00509033-0j -0.000155925-0j -0.0127071-0j -0.000718877-0j 0.000253834-0j 0.122956-0j -0.00179455-0j -0.00065213-0j -0.000152361-0j -0.000268704-0j 0.0173643-0j -0.00162793-0j 0.00122534-0j 0.00305885-0j -2.1517e-05-0j -0.00199475-0j 0.015752-0j -0.0295978-0j -0.00497955-0j -1.95192e-05-0j 0.00211161-0j 0.0481827-0j 0.00527127-0j 3.66762e-05-0j -0.0510054-0j -5.97058e-05-0j 6.32036e-05-0j 
7.70225e-06-0j 0.00630362-0j 0.00632841-0j 2.60314e-05-0j 0.0511867-0j -5.42217e-07-0j -3.66043e-05-0j -0.00106618-0j -0.0719766-0j -5.44591e-05-0j 0.00138104-0j 3.70903e-07-0j 0.504247-0j -3.85817e-05-0j 1.75677e-05-0j -9.40578e-06-0j 0.000978399-0j -2.26436e-05-0j -0.00343426-0j -0.000445502-0j 0.357235-0j 0.000574224-0j -0.162663-0j 0.209662-0j 1.41687e-05-0j -0.000338757-0j -8.23017e-07-0j 1.44609e-06-0j 0.00402132-0j -1.26962e-05-0j -0.045162-0j -1.27461e-05-0j 1.96774e-05-0j -5.83068e-07-0j -8.39988e-08-0j 0.000303552-0j 1.78529e-05-0j -0.000233586-0j -1.2958e-06-0j 0.000304745-0j 0.00262332-0j -1.17947e-05-0j -0.0036034-0j -1.3009e-06-0j 1.39405e-05-0j -5.95091e-08-0j 0.0404685-0j -0.000426841-0j -0.00361757-0j -0.000165485-0j 1.8221e-06-0j 0.0406276-0j 0.000281997-0j 0.00506695-0j -1.20379e-06-0j 0.0018585-0j -0.00334752-0j -0.056905-0j 0.0375948-0j 
-0.000215663-0j 0.00622399-0j 0.00123522-0j -0.00072888-0j -0.000105205-0j 7.68001e-05-0j 0.00102492-0j 1.10851e-05-0j 0.000147934-0j 0.0741711-0j -9.08242e-05-0j 0.00149926-0j -7.56869e-06-0j 0.661979-0j 0.359221-0j -1.83587e-06-0j -0.000810609-0j -0.0915297-0j -1.5299e-07-0j -0.000439874-0j -6.75508e-05-0j 0.00011208-0j -3.66562e-05-0j 9.34003e-06-0j -0.000396724-0j 0.00954541-0j -7.76453e-06-0j -4.04904e-05-0j -8.26508e-06-0j 0.0017983-0j -4.87024e-07-0j 0.000356892-0j 0.000186819-0j -6.92986e-05-0j -7.92464e-07-0j -0.0432682-0j -0.0025287-0j -1.61761e-07-0j 0.000183538-0j -0.00858702-0j -9.53186e-09-0j 0.00033025-0j 3.74646e-05-0j 3.64251e-05-0j 0.00166737-0j -7.07276e-06-0j 2.20762e-06-0j 0.0608419-0j 7.43524e-06-0j -1.44372e-06-0j -0.000258084-0j 4.38126e-07-0j -0.00794602-0j -5.26812e-05-0j 3.3706e-05-0j -8.50721e-08-0j 6.88021e-06-0j -3.10427e-06-0j 4.0542e-07-0j 
-0.00307995-0j -0.0434845-0j 0.0149284-0j -0.0339091-0j -0.00487885-0j -0.0627946-0j 0.0124463-0j -0.0090349-0j 0.00179077-0j -0.000127127-0j -0.101306-0j 0.000291678-0j 0.000268654-0j -8.06292e-05-0j 0.000381939-0j 0.232434-0j -0.0642525-0j -5.35299e-05-0j -0.000616392-0j 0.304363-0j 0.000170391-0j -0.0426573-0j -0.000807138-0j 0.000113123-0j -9.81636e-05-0j 0.000771419-0j -0.000110888-0j 0.00192571-0j -0.0186334-0j -0.000524028-0j 2.30897e-05-0j 0.0001799-0j 0.000871411-0j -7.03293e-05-0j 0.00217532-0j 0.00411807-0j 0.000192343-0j -0.0210487-0j 0.01028-0j -0.00141375-0j 2.60826e-05-0j -2.08812e-05-0j -0.0994709-0j -0.00352917-0j 0.000552683-0j 0.00137968-0j 0.00012326-0j -0.00151153-0j 0.0341487-0j -0.0133499-0j -0.00377327-0j -4.23155e-05-0j 0.000164095-0j 0.0365106-0j 0.000409633-0j 1.65426e-05-0j -0.00396366-0j -4.52423e-05-0j 4.91159e-06-0j 
-0.0300943-0j 0.00104475-0j 0.00498907-0j -0.00118251-0j -0.000170681-0j -0.00218063-0j 0.000519643-0j -0.000314747-0j 7.5004e-05-0j -0.061188-0j 7.49262e-05-0j -0.411435-0j 6.24385e-06-0j -0.0437148-0j -0.295223-0j 0.000503812-0j 5.35299e-05-0j 0.358456-0j 4.19843e-05-0j 0.000361508-0j 4.46082e-06-0j -0.000438938-0j 3.01257e-05-0j -3.65782e-05-0j 0.00032728-0j -0.00787456-0j -0.00108349-0j 3.34029e-05-0j 6.81834e-06-0j -0.00059364-0j 4.01774e-07-0j -0.00283485-0j 0.0260693-0j -0.000774079-0j -0.000110583-0j 0.0142833-0j 0.00026087-0j -2.25726e-05-0j -6.05882e-05-0j 0.0682082-0j -1.3301e-06-0j -0.0012962-0j -1.23675e-05-0j -0.000289331-0j 0.0186248-0j -7.90042e-05-0j -7.28763e-07-0j -0.00627668-0j -5.90594e-05-0j -1.61267e-05-0j 2.66249e-05-0j -3.48011e-06-0j 0.0311874-0j 5.43478e-06-0j -0.000132293-0j -9.50272e-07-0j -2.70042e-05-0j 3.20248e-07-0j -1.59124e-06-0j 
5.13483e-06-0j -0.00432555-0j 0.00421894-0j -8.56123e-05-0j -0.168343-0j 3.7207e-07-0j -2.44029e-05-0j 0.000731617-0j -0.0479844-0j 1.22328e-05-0j -0.000310215-0j -1.21983e-06-0j -0.113266-0j 8.73957e-06-0j -1.2055e-05-0j 3.09338e-05-0j -0.000221628-0j -1.50958e-05-0j 0.0112946-0j 0.000305704-0j -0.0809213-0j 0.000382816-0j 0.111619-0j 0.139774-0j 9.4458e-06-0j -0.000225838-0j 1.8487e-07-0j 9.64058e-07-0j 0.00268088-0j -4.29789e-05-0j -0.030108-0j 4.19195e-05-0j -4.42002e-06-0j 1.32077e-07-0j 1.88682e-08-0j 0.00102758-0j -1.22507e-05-0j 5.24692e-05-0j -4.38651e-06-0j -0.00100225-0j -0.000589262-0j -7.8631e-06-0j -0.0121981-0j 4.27839e-06-0j -3.15782e-06-0j 1.34801e-08-0j 0.136993-0j 0.000292899-0j 0.0118975-0j 3.74858e-05-0j -1.25033e-06-0j -0.133616-0j 0.000187998-0j -0.00347695-0j -8.02524e-07-0j -0.000420989-0j -0.00223168-0j 0.0390483-0j 0.0250632-0j 
0.000505166-0j 0.00378486-0j 0.00343344-0j -1.5185e-05-0j -0.0298589-0j 3.66043e-05-0j -4.21356e-05-0j 0.0719766-0j -0.0828531-0j 3.17678e-05-0j -0.000805605-0j 2.43263e-05-0j -0.294144-0j -7.64712e-06-0j -9.81053e-06-0j -0.000616895-0j 0.000193925-0j -5.39597e-06-0j -0.225242-0j 0.000248787-0j 0.0708061-0j 0.000136837-0j 0.0908375-0j 0.0499622-0j -8.26508e-06-0j 0.000197608-0j -5.3979e-05-0j -8.43551e-07-0j -0.00234577-0j -7.62314e-06-0j 0.0263445-0j -6.91533e-06-0j 0.00129058-0j 1.29938e-05-0j -5.50921e-06-0j 0.00018226-0j -2.11528e-05-0j -0.0153202-0j -7.78033e-07-0j 0.000165338-0j 0.172055-0j 2.2392e-05-0j -0.00216358-0j -7.05793e-07-0j -0.000310666-0j 1.32617e-06-0j 0.0242983-0j 0.000505739-0j -0.00196269-0j 0.00368786-0j -2.1589e-06-0j 0.0220422-0j -0.000535367-0j -0.00600353-0j 2.28538e-06-0j -0.041417-0j 0.00635524-0j 0.0674234-0j -0.0713733-0j 
-0.00424835-0j 0.0205109-0j 0.0213179-0j 0.0484517-0j 0.00697124-0j -0.0285928-0j -0.0159674-0j -0.00411393-0j -0.00229739-0j 0.000181648-0j 0.144753-0j 0.000402327-0j -0.000383871-0j -0.000381939-0j 0.000180046-0j 0.32061-0j -0.304363-0j 0.000361508-0j -0.000850224-0j 0.143476-0j 0.000807138-0j 0.288081-0j -0.000380484-0j -0.000763962-0j 0.000140263-0j -0.00110226-0j -0.000152954-0j -0.00275159-0j 0.0266247-0j 0.000247175-0j -3.29921e-05-0j 0.0002569-0j 0.00120199-0j 0.000321604-0j 0.00300055-0j -0.00194242-0j -8.14571e-05-0j -0.0290336-0j -0.00484892-0j -0.00201885-0j 3.59772e-05-0j 0.000312872-0j 0.0469187-0j -0.00503969-0j -0.00252733-0j -0.00630903-0j -5.81395e-05-0j 0.000640131-0j 0.0487647-0j 0.0610469-0j 0.00159797-0j -6.0427e-05-0j -0.0024587-0j -0.0154622-0j -0.00613772-0j -7.56466e-05-0j 0.0593893-0j 1.916e-05-0j -7.35925e-05-0j 
0.000256663-0j 0.0110248-0j -0.00378486-0j -2.95566e-05-0j -0.0581184-0j -5.47344e-05-0j 1.08487e-05-0j -0.107627-0j 0.0213323-0j 1.0594e-05-0j -0.000268654-0j -2.43065e-05-0j -0.0980914-0j 6.7191e-06-0j -3.18283e-05-0j 0.000616392-0j -0.000170391-0j 4.46082e-06-0j 0.225058-0j 0.000807138-0j -0.0622134-0j -0.000113123-0j 0.294704-0j -0.0413036-0j 8.1803e-06-0j -0.000195582-0j 9.24064e-06-0j 8.34899e-07-0j 0.00232171-0j 4.3669e-05-0j -0.0260743-0j -1.49917e-05-0j -0.000220933-0j 5.86077e-06-0j 9.43118e-07-0j -0.00104407-0j -1.60286e-05-0j 0.00262265-0j 4.45694e-06-0j 0.000358434-0j -0.029454-0j 1.7401e-06-0j 0.012394-0j -1.53008e-06-0j -0.000140124-0j 5.98163e-07-0j -0.139192-0j 0.000383226-0j -0.0042549-0j 0.00166339-0j -1.63591e-06-0j 0.0477852-0j -4.16037e-05-0j -0.0045492-0j 1.77598e-07-0j -0.0186809-0j 0.000493869-0j 0.0510903-0j -0.00554646-0j 
-0.0244992-0j -0.00376581-0j 0.00116075-0j 0.000736434-0j 0.000106295-0j 0.00522457-0j 0.00204347-0j 0.000754101-0j 0.000294949-0j -0.0749397-0j 9.17655e-05-0j 0.170315-0j 7.64712e-06-0j -0.0475297-0j 0.202148-0j -0.000208555-0j 5.82013e-05-0j -0.0377786-0j -1.73796e-05-0j -0.000247535-0j 4.85011e-06-0j 4.62608e-05-0j -2.06279e-05-0j 3.85506e-06-0j 0.000400835-0j -0.00964433-0j -0.000882047-0j 4.091e-05-0j 8.35073e-06-0j -0.00108806-0j 4.92071e-07-0j 0.000335376-0j 0.0212226-0j -0.000559429-0j -9.00236e-05-0j 0.0261793-0j -0.00301916-0j -1.8376e-05-0j -0.000111049-0j -0.00806934-0j -1.08282e-06-0j -0.00108596-0j -2.26679e-05-0j 3.42291e-05-0j 0.0134602-0j -5.70965e-05-0j -1.33572e-06-0j 0.0726428-0j 6.98699e-06-0j -1.16548e-05-0j -0.000308142-0j 4.11713e-07-0j 0.0261287-0j -6.28992e-05-0j -0.000110835-0j -6.86764e-07-0j -2.26241e-05-0j -3.70637e-06-0j -1.33314e-06-0j 
3.81242e-05-0j 0.0518783-0j 0.0102958-0j -0.0123186-0j -0.0017724-0j 0.00129798-0j 0.0173219-0j 0.000186753-0j 0.00249228-0j 9.08242e-05-0j 0.0723767-0j 1.83587e-06-0j -0.000191936-0j 0.000810609-0j 0.000439874-0j 0.00146299-0j 0.645965-0j -0.00011208-0j -3.87969e-06-0j 0.350531-0j -0.00171303-0j -0.0893154-0j -0.00092957-0j 0.000236855-0j 7.01315e-05-0j -0.000551129-0j 1.37259e-06-0j -0.0013758-0j 0.0133124-0j -0.000317898-0j -1.64961e-05-0j -6.30901e-05-0j -1.07865e-05-0j 1.22504e-05-0j -2.69265e-05-0j 0.0024982-0j 0.000447014-0j 0.000260545-0j 0.00623632-0j 0.000495794-0j -3.22855e-07-0j -5.83805e-05-0j -0.0603434-0j 0.00123766-0j -9.62697e-05-0j -0.00024032-0j 7.47748e-05-0j -0.00351287-0j -0.0119758-0j 0.00232537-0j -0.00876925-0j 1.48398e-05-0j 0.000458784-0j 0.0848523-0j 0.00114527-0j -2.88149e-06-0j -0.0110818-0j -0.000105145-0j 1.37321e-05-0j 
0.00531997-0j 0.00870822-0j 0.0415849-0j -0.0199853-0j -0.00287549-0j -0.0368543-0j 0.00878235-0j -0.0053026-0j 0.00126361-0j -7.49262e-05-0j -0.0597078-0j -0.000503812-0j 0.000158339-0j -5.35299e-05-0j -0.000361508-0j -0.401481-0j -0.0426573-0j 0.000438938-0j 0.00106469-0j -0.288081-0j 0.000113123-0j 0.349785-0j 0.000763962-0j -0.000927592-0j -5.78555e-05-0j 0.000454658-0j 0.000191535-0j 0.00113497-0j -0.0109821-0j 0.000104942-0j 1.36086e-05-0j 0.000501136-0j -0.00150518-0j 0.000136839-0j -0.00375741-0j -0.000824686-0j -4.61157e-05-0j 0.0363572-0j -0.00205868-0j -0.00393818-0j -4.50522e-05-0j 0.000229139-0j 0.0199201-0j -0.00983096-0j -0.00107535-0j -0.00268443-0j -2.4684e-05-0j 0.0003624-0j 0.0951256-0j 0.0259748-0j 0.000904668-0j -0.000117875-0j -0.00180069-0j -0.00875368-0j -0.0044951-0j -3.21868e-05-0j 0.0434951-0j 1.08472e-05-0j -5.38971e-05-0j 
0.000354029-0j -0.00520023-0j -0.00540482-0j 4.22325e-05-0j 0.0830436-0j -2.49227e-05-0j -1.39178e-05-0j -0.0490065-0j -0.0273672-0j -1.51374e-05-0j 0.000383871-0j -3.35273e-05-0j 0.14016-0j 3.18283e-05-0j -1.50038e-05-0j 0.000850224-0j -0.000807138-0j -3.01257e-05-0j 0.310435-0j 0.000380484-0j -0.294704-0j 0.000763962-0j 0.138923-0j 0.278939-0j -1.16886e-05-0j 0.000279461-0j 1.27461e-05-0j -1.19296e-06-0j -0.00331742-0j -2.05979e-05-0j 0.0372567-0j -2.14083e-05-0j -0.000304745-0j -2.68004e-05-0j 1.3009e-06-0j 0.000492472-0j 6.78809e-06-0j 0.00361757-0j -2.10226e-06-0j 0.000511848-0j -0.0406276-0j -2.60727e-05-0j -0.00584604-0j -2.18497e-06-0j 0.000640766-0j -2.7353e-06-0j 0.0656546-0j -0.000162295-0j -0.00607604-0j -0.0076064-0j 6.92807e-07-0j 0.0682378-0j 0.000623367-0j 0.00192658-0j -2.66103e-06-0j 0.0854247-0j -0.00739987-0j -0.0216367-0j 0.0831051-0j 
0.0222383-0j 0.000561705-0j -0.00612559-0j -0.000332756-0j -4.80292e-05-0j -0.00156552-0j 0.0030592-0j -0.000225963-0j 0.000441558-0j 0.0338614-0j -4.1464e-05-0j -0.154597-0j -3.45534e-06-0j -0.0711978-0j -0.352157-0j 0.000189308-0j 8.71834e-05-0j -0.265467-0j 1.57757e-05-0j 0.000431224-0j 7.26528e-06-0j 0.000325071-0j 3.59353e-05-0j 2.70892e-05-0j -0.000181116-0j 0.00435777-0j 0.000800647-0j -1.84851e-05-0j -3.77326e-06-0j 0.000162294-0j -2.22341e-07-0j -0.00176987-0j -0.0192641-0j -0.00168346-0j 8.17157e-05-0j -0.00390489-0j -0.00149205-0j 1.66802e-05-0j 1.6564e-05-0j 0.0425841-0j 9.82888e-07-0j -0.00191631-0j 3.38112e-06-0j -0.000180637-0j 0.0405051-0j -0.000171818-0j 1.99234e-07-0j 0.0358997-0j -3.68723e-05-0j -3.50721e-05-0j -0.000152282-0j -2.17272e-06-0j 0.0461076-0j -3.10844e-05-0j -0.000195583-0j -2.06665e-06-0j -3.99232e-05-0j -1.83167e-06-0j -2.3525e-06-0j 
