-0.502462-0j -0.0509611-0j -0.0514892-0j -0.0292381-0j -0.00422016-0j -0.0361803-0j -0.0211052-0j -0.00522218-0j -0.00304627-0j 0.0620067-0j 0.0109613-0j -0.0239691-0j 0.000913444-0j -0.014678-0j -0.020973-0j -0.00423718-0j -0.00259473-0j -0.00865092-0j -0.000353099-0j -0.00370754-0j -0.000216228-0j -0.00152928-0j -0.000308961-0j -0.00012744-0j -0.0158144-0j -0.00263573-0j 0.053916-0j -0.00161405-0j -0.000329466-0j -0.0145861-0j -1.9414e-05-0j 0.008986-0j -0.0147373-0j -0.0127628-0j 0.00550278-0j -0.00243102-0j -0.0105288-0j 0.00112325-0j -0.00148869-0j -0.00245621-0j -0.003364-0j 6.61881e-05-0j -0.00150411-0j -0.00212714-0j -0.000303877-0j -0.0013026-0j -0.0017548-0j -0.000307026-0j -1.79061e-05-0j -0.000265892-0j -0.00107459-0j -0.000560667-0j -1.80917e-05-0j -0.00021935-0j -0.000343337-0j -1.56679e-05-0j -7.00834e-05-0j -1.29253e-05-0j -4.1297e-06-0j 
-0.0241942-0j -0.00372085-0j 0.00116004-0j 0.000719285-0j 0.00010382-0j 0.0051705-0j 0.00201032-0j 0.000746298-0j 0.000290165-0j -0.0736607-0j 8.93474e-05-0j 0.168205-0j 7.44562e-06-0j -0.0492761-0j 0.204385-0j -0.000204026-0j 5.97699e-05-0j -0.0360902-0j -1.70022e-05-0j -0.000247911-0j 4.98083e-06-0j 4.37759e-05-0j -2.06592e-05-0j 3.64799e-06-0j 0.000389049-0j -0.00945-0j -0.000860188-0j 3.97071e-05-0j 8.10518e-06-0j -0.00106498-0j 4.77602e-07-0j 0.020894-0j 0.000332028-0j -0.000575432-0j -8.77926e-05-0j 0.0258684-0j -0.00297651-0j -1.79206e-05-0j -0.000108694-0j -0.00806497-0j -0.00107226-0j -1.05598e-06-0j 3.38875e-05-0j 0.0139773-0j -2.21871e-05-0j -5.87298e-05-0j 0.0722996-0j 6.91725e-06-0j -1.30739e-06-0j -1.19882e-05-0j -0.000303789-0j 0.0260451-0j 4.07603e-07-0j -6.20107e-05-0j -0.000109437-0j -7.0641e-07-0j -2.23387e-05-0j -3.65402e-06-0j -1.31632e-06-0j 
-0.00420232-0j 0.0204188-0j 0.0209582-0j 0.0483051-0j 0.00692812-0j -0.0286466-0j -0.016009-0j -0.00410862-0j -0.00229607-0j 0.000176862-0j 0.142293-0j 0.000399867-0j -0.00037494-0j -0.000375015-0j 0.000177578-0j 0.321709-0j -0.301715-0j 0.000355579-0j -0.000847701-0j 0.142869-0j 0.000795017-0j 0.286078-0j -0.000376459-0j -0.000753814-0j 0.000136139-0j -0.00107328-0j -0.000149407-0j -0.0026876-0j 0.0260891-0j 0.000246446-0j -3.21233e-05-0j 0.00117789-0j 0.000252957-0j 0.0003168-0j 0.00294954-0j -0.00194292-0j -8.16755e-05-0j -0.0286318-0j -0.00486525-0j -0.00199425-0j 0.000306302-0j 3.52541e-05-0j -0.00499379-0j -0.00249758-0j 0.047228-0j -0.00625416-0j 0.00064391-0j 0.0484757-0j -5.81515e-05-0j 0.0607104-0j 0.00161241-0j -0.00241481-0j -5.96877e-05-0j -0.015652-0j -0.00604691-0j -7.47523e-05-0j 0.0586986-0j 1.92722e-05-0j -7.22751e-05-0j 
3.07839e-05-0j 0.0513798-0j 0.0101849-0j -0.0121084-0j -0.00173664-0j 0.00105609-0j 0.0171074-0j 0.000151469-0j 0.00245361-0j 8.8431e-05-0j 0.0711463-0j 1.4685e-06-0j -0.00018747-0j 0.000803172-0j 0.000434297-0j 0.00118146-0j 0.646184-0j -0.000109588-0j -3.11315e-06-0j 0.349409-0j -0.00170269-0j -0.0881675-0j -0.000920691-0j 0.000232321-0j 6.80693e-05-0j -0.000536642-0j 1.09447e-06-0j -0.0013438-0j 0.0130446-0j -0.000310891-0j -1.60617e-05-0j -8.62857e-06-0j -6.16273e-05-0j 9.94053e-06-0j -2.16067e-05-0j 0.00245099-0j 0.000439243-0j 0.000209741-0j 0.0061375-0j 0.000485854-0j -5.68878e-05-0j -2.58253e-07-0j 0.00121662-0j -7.83687e-05-0j -0.059578-0j -0.000196242-0j -0.00346289-0j -0.01181-0j 7.33579e-05-0j 0.00190497-0j -0.00867139-0j 0.000448489-0j 1.45416e-05-0j 0.084175-0j 0.00112306-0j -2.34557e-06-0j -0.0109018-0j -0.000103644-0j 1.34233e-05-0j 
0.0219437-0j 0.00055739-0j -0.00605374-0j -0.000325007-0j -4.69108e-05-0j -0.00155474-0j 0.00303965-0j -0.000224407-0j 0.000438736-0j 0.0332835-0j -4.03715e-05-0j -0.152559-0j -3.36429e-06-0j -0.0705737-0j -0.35361-0j 0.000185048-0j 8.56029e-05-0j -0.261959-0j 1.54207e-05-0j 0.000428914-0j 7.13358e-06-0j 0.000317746-0j 3.57428e-05-0j 2.64788e-05-0j -0.000175791-0j 0.00426996-0j 0.000780175-0j -1.79416e-05-0j -3.66231e-06-0j 0.000159536-0j -2.15804e-07-0j -0.0189505-0j -0.0017327-0j -0.00165427-0j 7.96263e-05-0j -0.00387514-0j -0.00149208-0j 1.62536e-05-0j 1.62826e-05-0j 0.0420874-0j -0.00190046-0j 9.57755e-07-0j -0.000176843-0j 0.0401822-0j 3.32368e-06-0j -0.000168838-0j 0.0362426-0j -3.6098e-05-0j 1.9585e-07-0j -3.4464e-05-0j -0.000152284-0j 0.0461621-0j -2.1271e-06-0j -3.10849e-05-0j -0.000193964-0j -2.03081e-06-0j -3.95928e-05-0j -1.8317e-06-0j -2.33303e-06-0j 
0.0052509-0j 0.00855961-0j 0.041293-0j -0.0199248-0j -0.0028577-0j -0.0363782-0j 0.00838987-0j -0.00521751-0j 0.00120331-0j -7.29519e-05-0j -0.0586927-0j -0.000499643-0j 0.000154655-0j -5.21193e-05-0j -0.000355579-0j -0.401983-0j -0.0419321-0j 0.000433235-0j 0.00105922-0j -0.286078-0j 0.000110491-0j 0.348555-0j 0.000753814-0j -0.000918441-0j -5.61543e-05-0j 0.000442707-0j 0.000186688-0j 0.00110858-0j -0.0107612-0j 0.000103311-0j 1.32502e-05-0j -0.0014718-0j 0.00049839-0j 0.000133376-0j -0.00368552-0j -0.000814479-0j -4.35017e-05-0j 0.0357761-0j -0.00203953-0j -0.00392919-0j 0.000223273-0j -4.40509e-05-0j -0.00983904-0j -0.0010515-0j 0.0197982-0j -0.00263307-0j 0.000342957-0j 0.0955096-0j -2.43773e-05-0j 0.0255597-0j 0.000858797-0j -0.00176023-0j -0.0001176-0j -0.00833652-0j -0.00440778-0j -3.14715e-05-0j 0.0427872-0j 1.02647e-05-0j -5.26835e-05-0j 
0.000350194-0j -0.00517663-0j -0.00531339-0j 4.18383e-05-0j 0.0827924-0j -2.48116e-05-0j -1.38658e-05-0j -0.0490988-0j -0.0274385-0j -1.47385e-05-0j 0.00037494-0j -3.33222e-05-0j 0.137787-0j 3.12513e-05-0j -1.47982e-05-0j 0.000847701-0j -0.000795017-0j -2.96316e-05-0j 0.311522-0j 0.000376459-0j -0.292161-0j 0.000753814-0j 0.138345-0j 0.277019-0j -1.13449e-05-0j 0.000272103-0j 1.24506e-05-0j -1.15788e-06-0j -0.00324038-0j -2.05372e-05-0j 0.0365073-0j -0.000298622-0j -2.10797e-05-0j -2.64e-05-0j 1.27073e-06-0j 0.000492576-0j 6.80629e-06-0j 0.0035562-0j -2.09607e-06-0j 0.000505589-0j -2.55252e-05-0j -0.0400654-0j -2.15144e-06-0j 0.000633194-0j -0.00586593-0j -2.69444e-06-0j -0.000163246-0j -0.0060209-0j 0.0660875-0j -0.0075405-0j 6.94664e-07-0j 0.000612211-0j 0.0678335-0j 0.00194405-0j -2.60515e-06-0j 0.0849539-0j -0.00729062-0j -0.0219023-0j 0.0821386-0j 
-2.56533e-06-0j -0.013026-0j -0.00258211-0j -1.04874e-05-0j -0.0207531-0j 9.14706e-07-0j 1.48171e-05-0j 0.00181008-0j 0.0293211-0j -7.36925e-06-0j 0.00018747-0j -1.22375e-07-0j 0.0688934-0j -6.6931e-05-0j -3.61914e-05-0j 3.11315e-06-0j 0.00170269-0j 9.13229e-06-0j 0.00114405-0j 0.000920691-0j 0.625722-0j -0.000232321-0j 0.338345-0j -0.0853757-0j -5.67244e-06-0j 0.000136051-0j -9.12062e-08-0j -5.78941e-07-0j -0.00162019-0j 2.59076e-05-0j 0.0182536-0j 2.18754e-06-0j 5.13561e-06-0j -8.28377e-07-0j -9.3087e-09-0j -0.000621383-0j -3.66036e-05-0j -2.60508e-05-0j 2.64418e-06-0j -0.000123175-0j 4.74065e-06-0j 0.000293497-0j 5.24151e-07-0j 1.98683e-05-0j 0.00739985-0j -8.45459e-08-0j 0.000877923-0j 0.00146686-0j -0.0833693-0j -0.000236605-0j -3.73584e-06-0j -0.000113703-0j -0.0165261-0j -0.0104549-0j 4.8384e-07-0j 0.00266568-0j 0.00135405-0j 0.117788-0j -0.0152552-0j 
0.00427697-0j -0.0311137-0j 0.00970027-0j 0.0122339-0j 0.00175463-0j 0.0879419-0j 0.0341924-0j 0.012613-0j 0.00490401-0j -8.93474e-05-0j -0.0718836-0j 0.000204026-0j 0.000189413-0j -5.97699e-05-0j 0.000247911-0j 0.164147-0j -0.0480873-0j -4.37759e-05-0j -0.000432527-0j 0.199454-0j 0.00012671-0j -0.0352195-0j -0.000525561-0j 9.28032e-05-0j -6.87747e-05-0j 0.000542203-0j 0.000152061-0j 0.00135773-0j -0.0131797-0j 0.000188264-0j 1.62281e-05-0j -0.00119881-0j -5.86948e-05-0j 0.000101723-0j -0.00300194-0j -0.00148423-0j 0.000526178-0j 0.0291405-0j -0.00371665-0j 0.000462736-0j 0.00018955-0j -3.58804e-05-0j 0.00115873-0j -0.000801959-0j 0.0360783-0j -0.00200818-0j -0.00414826-0j -0.0112481-0j -4.44229e-05-0j 0.0194938-0j -0.0103876-0j -0.00149437-0j 1.38496e-05-0j 0.100835-0j -0.00374203-0j -2.40026e-05-0j 0.0363247-0j -0.000124157-0j -4.47263e-05-0j 
-0.00726597-0j 0.000124897-0j 0.00353488-0j 7.16574e-05-0j 1.03429e-05-0j -0.000523194-0j -0.00509089-0j -7.55166e-05-0j -0.000734807-0j -0.00733831-0j 8.90107e-06-0j 0.0505152-0j 7.41756e-07-0j -0.00524274-0j -0.209844-0j -6.12728e-05-0j 6.35923e-06-0j -0.639074-0j -5.10607e-06-0j 0.000254533-0j 5.29936e-07-0j 0.00077517-0j 2.1211e-05-0j 6.45975e-05-0j 3.87582e-05-0j -0.000941438-0j -0.00025833-0j 3.95575e-06-0j 8.07463e-07-0j 3.57479e-05-0j 4.75802e-08-0j 0.00627485-0j 0.00101175-0j -0.00018456-0j -2.63657e-05-0j -0.000868318-0j -0.00253971-0j -5.38188e-06-0j 3.64851e-06-0j -0.0245755-0j -0.00013792-0j -3.1713e-07-0j 0.000103262-0j 0.00448297-0j 7.44749e-07-0j -1.88366e-05-0j 0.0616895-0j 2.10782e-05-0j 4.38847e-08-0j -3.845e-06-0j -0.000259208-0j 0.00335007-0j 1.24204e-06-0j -5.29106e-05-0j -1.40764e-05-0j -2.26569e-07-0j -2.87333e-06-0j -3.11779e-06-0j -1.69313e-07-0j 
-0.000437575-0j -0.00217006-0j -0.0104687-0j -1.72574e-05-0j -0.0341501-0j -3.15081e-05-0j 7.26667e-06-0j -0.0623503-0j 0.0143798-0j 6.07932e-06-0j -0.000154655-0j 4.16369e-05-0j -0.0568342-0j 4.34328e-06-0j 2.96316e-05-0j -0.00105922-0j -0.000110491-0j -3.61029e-05-0j -0.389254-0j -0.000753814-0j -0.0406043-0j 0.000918441-0j -0.277019-0j 0.337518-0j 4.67953e-06-0j -0.000112237-0j -1.55573e-05-0j 4.77602e-07-0j 0.00133659-0j -8.60925e-06-0j -0.0150585-0j 0.000373136-0j -4.15325e-05-0j -1.11147e-05-0j -1.58781e-06-0j 0.00020649-0j 3.62515e-06-0j -0.00444355-0j -8.78678e-07-0j 0.00099614-0j -1.86061e-05-0j 0.0500626-0j -4.23889e-06-0j 0.000266581-0j -0.00245902-0j -1.13439e-06-0j -8.69477e-05-0j -0.0118627-0j 0.0277041-0j -0.00317463-0j 3.6999e-07-0j 0.000446259-0j 0.133649-0j 0.00103543-0j -1.89897e-06-0j 0.0357664-0j -0.00531436-0j -0.0116655-0j 0.0598734-0j 
-0.000356414-0j 0.00788805-0j -0.00245924-0j 1.05961e-05-0j 0.0209682-0j 7.61687e-05-0j 2.96149e-05-0j 0.150728-0j 0.0586039-0j 7.44562e-06-0j -0.000189413-0j -1.70022e-05-0j -0.0696074-0j 4.98083e-06-0j -2.06592e-05-0j 0.000432527-0j -0.00012671-0j 3.64799e-06-0j 0.158949-0j 0.000525561-0j -0.0465646-0j -9.28032e-05-0j 0.193138-0j -0.0341043-0j 5.73123e-06-0j -0.000137461-0j -1.26718e-05-0j 5.84941e-07-0j 0.00163698-0j -1.56887e-05-0j -0.0184428-0j 0.000303927-0j 4.89123e-06-0j -8.47691e-06-0j -1.29331e-06-0j 0.000376287-0j -4.38482e-05-0j -0.00361937-0j -1.60122e-06-0j -0.000117314-0j -1.57958e-05-0j 0.0407771-0j 4.9921e-07-0j 0.000203315-0j -0.00448108-0j -8.65171e-07-0j 0.00105168-0j 0.00139706-0j 0.0504854-0j -0.00242122-0j -4.47524e-06-0j 0.000378857-0j -0.0157397-0j -0.0125241-0j -1.61216e-06-0j 0.0272783-0j -0.00451169-0j 0.141101-0j 0.0508302-0j 
-0.00387914-0j 0.00466089-0j -0.0506213-0j -0.00552785-0j -0.000792827-0j -0.0264435-0j 0.0516996-0j -0.00379264-0j 0.00741497-0j 4.03715e-05-0j 0.0324805-0j -0.000185048-0j -8.55859e-05-0j -8.56029e-05-0j -0.000428914-0j -0.148879-0j -0.068871-0j -0.000317746-0j 0.000392294-0j -0.345079-0j 0.000181475-0j -0.255639-0j 0.00090928-0j 0.000673608-0j 3.10757e-05-0j -0.000244993-0j -0.000137917-0j -0.000613486-0j 0.00595524-0j -2.82023e-05-0j -7.33264e-06-0j 0.0010873-0j 0.000306302-0j 0.000292436-0j 0.00272271-0j 0.00022234-0j 0.000263764-0j -0.0264299-0j 0.000556761-0j -0.00241481-0j 0.000335956-0j 3.25429e-05-0j -0.00604691-0j -0.0023055-0j -0.00540459-0j -0.00577318-0j -0.00207945-0j 0.0586986-0j 6.65463e-06-0j 0.0560414-0j -0.00520714-0j -0.0026486-0j -7.22751e-05-0j 0.0505468-0j -0.00663234-0j -6.90034e-05-0j 0.0643815-0j -6.22379e-05-0j -7.92723e-05-0j 
0.000323262-0j -0.00118165-0j 0.0128337-0j -4.78781e-06-0j -0.00947444-0j -2.29034e-05-0j 4.47783e-05-0j -0.0453228-0j 0.0886104-0j -3.36429e-06-0j 8.55859e-05-0j 1.54207e-05-0j 0.031452-0j 7.13358e-06-0j 3.57428e-05-0j -0.000392294-0j -0.000181475-0j 2.64788e-05-0j -0.144164-0j -0.00090928-0j -0.0666902-0j -0.000673608-0j -0.334152-0j -0.247544-0j -2.58964e-06-0j 6.21116e-05-0j 1.14931e-05-0j -2.64304e-07-0j -0.000739667-0j 2.35019e-06-0j 0.00833334-0j -0.000275657-0j -2.55252e-05-0j -2.43697e-05-0j 1.17301e-06-0j -5.63685e-05-0j -2.19804e-05-0j 0.00328271-0j 2.39866e-07-0j 0.000612211-0j -2.79964e-05-0j -0.0369841-0j -2.60515e-06-0j 0.000584498-0j 0.000671274-0j -2.48722e-06-0j 0.00052719-0j -0.00729062-0j -0.0075628-0j -0.00696059-0j -2.24336e-06-0j 0.000671482-0j 0.0821386-0j -0.00627814-0j -2.85737e-06-0j 0.0784204-0j -0.00799646-0j 0.0707317-0j 0.0900908-0j 
0.00128445-0j 0.00104438-0j 0.0295586-0j 0.00121878-0j 0.000174802-0j -0.00889869-0j -0.0865879-0j -0.00127629-0j -0.0124188-0j -8.90107e-06-0j -0.00716127-0j 6.12728e-05-0j 1.88699e-05-0j -6.35923e-06-0j -0.000254533-0j 0.0492964-0j -0.00511626-0j -0.00077517-0j -0.000129896-0j -0.204782-0j 1.34813e-05-0j -0.623655-0j 0.000539599-0j 0.00164333-0j -6.85155e-06-0j 5.4016e-05-0j 4.56668e-05-0j 0.000135261-0j -0.00131301-0j -6.3194e-06-0j 1.61669e-06-0j -0.000360026-0j -0.000178854-0j 3.26259e-05-0j -0.000901538-0j 4.98206e-05-0j 0.000448961-0j 0.00875141-0j 0.000124755-0j 0.00141004-0j 2.4381e-05-0j -1.07755e-05-0j 0.00353088-0j -0.000257215-0j -0.00121103-0j -0.00064409-0j -0.0035395-0j -0.034275-0j 1.49113e-06-0j 0.00625231-0j -0.00886324-0j -0.000192214-0j 4.22025e-05-0j 0.0860373-0j -0.000481321-0j -7.69842e-06-0j 0.00467229-0j -0.000105937-0j -5.75295e-06-0j 
-0.000107038-0j -0.000264776-0j -0.00749379-0j 1.05561e-06-0j 0.00208892-0j -7.70738e-06-0j -7.49959e-05-0j -0.0152519-0j -0.148407-0j 7.41756e-07-0j -1.88699e-05-0j -5.10607e-06-0j -0.00693451-0j 5.29936e-07-0j 2.1211e-05-0j 0.000129896-0j -1.34813e-05-0j 6.45975e-05-0j 0.0477354-0j -0.000539599-0j -0.00495425-0j -0.00164333-0j -0.198297-0j -0.603907-0j 5.70963e-07-0j -1.36943e-05-0j -3.80556e-06-0j 5.82737e-08-0j 0.000163081-0j 5.26617e-07-0j -0.00183733-0j 9.12749e-05-0j 1.49045e-05-0j -2.71883e-06-0j -3.88404e-07-0j -1.26307e-05-0j -3.74134e-05-0j -0.00108696-0j 5.37476e-08-0j -0.000357479-0j -2.03175e-06-0j 0.0122461-0j 1.52119e-06-0j 6.521e-05-0j 0.000150415-0j -2.77489e-07-0j 0.000897346-0j 0.00425711-0j -0.00169463-0j -0.000776565-0j -3.81849e-06-0j 4.87307e-05-0j -0.047962-0j -0.0106862-0j -2.07365e-07-0j 0.00874904-0j -0.000580319-0j 0.120395-0j 0.00653807-0j 
