-0.14492-0j 0.695261-0j 0.702466-0j -0.00843285-0j 0.116368-0j -0.0104351-0j -0.00608715-0j 0.143998-0j 0.0839991-0j -0.00592558-0j 0.0495496-0j -0.00691317-0j 0.012562-0j -0.00423344-0j -0.00604903-0j 0.0578079-0j 0.0353999-0j -0.0024951-0j 0.0146556-0j 0.0505819-0j 0.00897471-0j 0.020864-0j 0.0128237-0j 0.0052895-0j -0.00456118-0j 0.0359593-0j -0.0051524-0j -0.000465524-0j 0.00908484-0j -0.00420692-0j 0.00107626-0j 0.0406203-0j -0.00425052-0j -0.00368105-0j -0.000525865-0j 0.0331663-0j -0.00303672-0j 0.0102624-0j -0.000429367-0j 0.03351-0j -0.000970245-0j 0.00121576-0j -0.000433816-0j 0.0290205-0j 0.00837923-0j -0.000375696-0j 0.0239407-0j 0.00846606-0j 0.000992666-0j 0.00733182-0j -0.000309933-0j 0.00764918-0j 0.00100295-0j 0.00604845-0j -9.90252e-05-0j 0.000868583-0j 0.00193251-0j 0.000716544-0j 0.000228939-0j 
-0.000602221-0j 0.00591415-0j 0.00607039-0j 3.60699e-05-0j 0.023293-0j 4.2668e-05-0j 2.38447e-05-0j 0.0275539-0j 0.0153983-0j -0.00369386-0j -0.000428358-0j 0.00418682-0j 0.00511896-0j 0.00783239-0j -0.00370882-0j 0.000485524-0j 0.000908283-0j -0.00742646-0j -0.00580211-0j -0.000430093-0j -0.0108542-0j -0.000861209-0j 0.0051397-0j 0.0102916-0j 1.95096e-05-0j 0.0453061-0j -2.1411e-05-0j 1.99119e-06-0j 0.00181848-0j -1.77056e-05-0j 0.00066132-0j -0.0497217-0j -1.81734e-05-0j 4.53996e-05-0j -2.18525e-06-0j -0.0411169-0j -1.17046e-05-0j -0.00199571-0j -1.80707e-06-0j -0.0422031-0j 4.38951e-05-0j -0.000725774-0j -1.85481e-06-0j 0.105429-0j -0.00165034-0j 4.63357e-06-0j -0.0271811-0j -0.00169393-0j -0.000600171-0j 0.00423168-0j -1.1946e-06-0j 0.101935-0j -0.000616027-0j -0.00109098-0j 4.48002e-06-0j 0.00153892-0j 0.00409144-0j -0.000396754-0j 0.00148792-0j 
-0.0052134-0j 0.000179662-0j 0.000866721-0j -0.00991757-0j 1.48781e-05-0j 0.0361184-0j -0.00832994-0j -5.41838e-05-0j 1.24963e-05-0j -0.0105561-0j -0.00123193-0j 0.0362451-0j 1.06701e-06-0j -0.00754162-0j -0.051452-0j 0.00422993-0j -0.000880134-0j 0.0626888-0j -3.66365e-06-0j -0.00600463-0j 7.62306e-07-0j 0.007316-0j 5.20076e-06-0j -6.33657e-06-0j 5.57533e-05-0j -0.00135425-0j -0.000185354-0j -0.00110066-0j -0.000111755-0j 5.1423e-05-0j 6.84436e-08-0j 0.00450226-0j 0.000248073-0j -0.000132423-0j 0.0036592-0j -0.00124906-0j 4.3191e-05-0j 0.000371535-0j -0.00101517-0j -0.0060257-0j -0.000221678-0j -2.27544e-07-0j -0.00489737-0j 0.00321657-0j -0.000103075-0j 0.00261426-0j -0.00104911-0j -0.000497252-0j 6.31276e-08-0j 0.000265437-0j -0.000852663-0j 0.00538457-0j 3.04538e-07-0j -8.65746e-05-0j 0.0043763-0j -1.62565e-07-0j 0.000444345-0j 5.3022e-08-0j -2.72136e-07-0j 
1.02914e-06-0j -0.0010553-0j 0.00103588-0j 0.00080745-0j -0.0166071-0j -7.12991e-06-0j 0.000571921-0j 0.000146643-0j -0.0117629-0j 2.95636e-06-0j 0.0072361-0j -9.7927e-08-0j -0.0276383-0j 2.11213e-06-0j -2.93204e-06-0j -0.00023969-0j 0.00516972-0j -3.66365e-06-0j 0.000915497-0j -0.00717656-0j -0.0197458-0j -0.00896728-0j 0.0274109-0j 0.0342506-0j 2.27564e-06-0j -5.45804e-05-0j 3.65897e-08-0j -4.4925e-05-0j -0.0625372-0j -4.18666e-06-0j -0.0073229-0j -8.77588e-07-0j 4.10963e-06-0j 2.61409e-08-0j -7.22341e-07-0j 0.000100415-0j -2.96543e-06-0j -0.00100552-0j 8.26516e-05-0j -9.85677e-05-0j -1.90183e-06-0j -0.000117744-0j -8.11308e-05-0j -6.26979e-07-0j 0.115054-0j -5.16065e-07-0j 7.11247e-05-0j -0.112937-0j 0.0134725-0j -0.000718381-0j 5.85425e-05-0j 4.56146e-05-0j -0.0132246-0j 0.0814934-0j 3.75453e-05-0j -8.41201e-05-0j 0.0522644-0j 0.0095426-0j 0.00611999-0j 
-0.000521538-0j 0.00253411-0j 0.00260106-0j -0.00604219-0j -0.000431058-0j -0.00714746-0j -0.0039943-0j -0.000509909-0j -0.000284959-0j 2.19499e-05-0j 0.0355026-0j -2.48792e-05-0j -4.65328e-05-0j -4.65421e-05-0j 2.20388e-05-0j -0.0402406-0j -0.0752791-0j 4.41299e-05-0j 5.27428e-05-0j 0.0356464-0j 9.86673e-05-0j 0.0713776-0j -4.67213e-05-0j -9.35537e-05-0j 1.68958e-05-0j -0.000133202-0j -1.85425e-05-0j 0.0319246-0j 0.00650935-0j -1.53335e-05-0j -3.98673e-06-0j 0.000146185-0j -1.57386e-05-0j 3.93172e-05-0j -0.0350361-0j 0.000120886-0j -1.01365e-05-0j -0.00714376-0j -0.0289727-0j 0.000124079-0j 3.80143e-05-0j 4.37529e-06-0j -0.0297382-0j -0.000309967-0j -0.00590747-0j 0.0742899-0j 7.99138e-05-0j -0.00606353-0j 3.6181e-06-0j 0.0151475-0j -0.019153-0j -0.000299695-0j 3.71369e-06-0j -0.00390524-0j 0.071828-0j -9.27729e-06-0j 0.0146455-0j 2.39181e-06-0j -8.96986e-06-0j 
4.42762e-05-0j 0.00191797-0j -0.000652931-0j -0.000247888-0j 0.00509839-0j 0.000910395-0j -0.000178935-0j -0.0187244-0j 0.00368022-0j 1.81039e-06-0j 0.00443119-0j 2.11213e-06-0j -0.016925-0j 1.21108e-06-0j -5.48504e-06-0j 0.00516972-0j 0.00296429-0j 7.62306e-07-0j -0.0197458-0j -0.0134254-0j -0.0113221-0j 0.00186585-0j 0.0512784-0j -0.00712663-0j 1.39354e-06-0j -3.34235e-05-0j 1.57417e-06-0j -2.75108e-05-0j -0.0382961-0j -3.81468e-06-0j -0.00448434-0j -3.77559e-05-0j 1.29863e-06-0j 1.05306e-06-0j -3.10768e-05-0j 9.14937e-05-0j -2.75358e-06-0j -0.04326-0j 7.53082e-05-0j -3.1147e-05-0j 2.96431e-07-0j -0.0050656-0j -2.5637e-05-0j -2.52572e-05-0j 0.104832-0j -2.07891e-05-0j 6.60436e-05-0j -0.0356877-0j 0.0122755-0j -0.0289392-0j 5.43603e-05-0j -7.10978e-06-0j -0.00417891-0j 0.0756716-0j -5.85204e-06-0j -0.00338869-0j -0.00814626-0j 0.00886089-0j -0.0009539-0j 
-4.69738e-08-0j 8.05022e-05-0j -7.9021e-05-0j 3.83051e-07-0j 0.00255327-0j -3.3824e-09-0j 2.71317e-07-0j -2.25458e-05-0j 0.00180849-0j -1.34939e-07-0j 5.7372e-06-0j 4.46974e-09-0j 0.0131645-0j -9.64049e-08-0j 1.33829e-07-0j -1.9004e-07-0j 4.09885e-06-0j 1.67222e-07-0j -0.000436062-0j -5.68999e-06-0j 0.00940516-0j -7.10978e-06-0j -0.0130562-0j -0.016314-0j -1.03868e-07-0j 4.16361e-06-0j -1.67008e-09-0j -1.0601e-08-0j -9.99316e-05-0j 1.91094e-07-0j -0.0798795-0j 6.6946e-08-0j -1.87578e-07-0j -1.19316e-09-0j -1.70452e-10-0j -7.66009e-06-0j 1.35353e-07-0j -1.60678e-06-0j 1.95034e-08-0j 7.51914e-06-0j 8.68062e-08-0j -0.00128437-0j -1.91446e-08-0j 4.78285e-08-0j 0.000183851-0j -1.21777e-10-0j -5.42568e-06-0j -0.000180468-0j 0.14696-0j -1.14794e-06-0j 1.38144e-08-0j -3.47967e-06-0j -0.144256-0j 0.000130223-0j 8.85962e-09-0j -0.000917597-0j 8.35161e-05-0j 0.104092-0j 0.0667579-0j 
0.000752489-0j 0.00247923-0j 0.0119602-0j -1.48781e-05-0j -0.00960788-0j 5.41838e-05-0j -1.24963e-05-0j 0.0349905-0j -0.00806983-0j 0.00152364-0j 0.000176689-0j -0.00523153-0j -0.00211147-0j 0.00108854-0j 0.00742646-0j -0.000606674-0j 0.000126232-0j -0.00904834-0j 0.00724987-0j 0.000861209-0j -0.0015085-0j -0.00104929-0j -0.0102916-0j 0.0125392-0j -8.04729e-06-0j -0.0186878-0j 2.67536e-05-0j -8.21323e-07-0j -0.000750085-0j -7.42226e-06-0j -0.00027278-0j 0.0621285-0j -3.58063e-05-0j 1.91137e-05-0j 2.73053e-06-0j -0.0172363-0j -6.23409e-06-0j 0.00249369-0j -7.57532e-07-0j -0.0831511-0j 3.19965e-05-0j 0.000906871-0j -3.65446e-06-0j 0.0443867-0j -0.000691826-0j 1.95078e-06-0j -0.0144771-0j -0.00333749-0j -0.000251594-0j 0.00178158-0j -6.36264e-07-0j 0.0743038-0j -0.00121373-0j -0.000581077-0j 3.26563e-06-0j 0.0006479-0j 0.00298238-0j -0.000211318-0j 0.00108459-0j 
-2.02092e-06-0j -0.00014631-0j 4.98082e-05-0j -1.17597e-07-0j -0.000783855-0j 4.31888e-07-0j -8.4886e-08-0j 0.00287879-0j -0.000565817-0j -8.26328e-08-0j 3.5133e-06-0j -9.64049e-08-0j 0.00806156-0j -5.52781e-08-0j 2.50357e-07-0j 4.09885e-06-0j 2.35026e-06-0j -3.47944e-08-0j 0.00940516-0j -1.06444e-05-0j 0.00539287-0j 1.47935e-06-0j -0.0244245-0j 0.0033945-0j -6.36062e-08-0j 2.54968e-06-0j -7.18508e-08-0j -6.49178e-09-0j -6.11953e-05-0j 1.74116e-07-0j -0.048916-0j 2.88017e-06-0j -5.92739e-08-0j -4.80654e-08-0j -7.33324e-09-0j -6.9795e-06-0j 1.25683e-07-0j -6.91275e-05-0j 1.77706e-08-0j 2.37602e-06-0j -1.35302e-08-0j -0.0552565-0j -6.04962e-09-0j 1.92672e-06-0j 0.000167516-0j -4.90565e-09-0j -5.03807e-06-0j -5.70273e-05-0j 0.133903-0j -4.62436e-05-0j 1.28275e-08-0j 5.42363e-07-0j -0.0455843-0j 0.00012092-0j -1.38092e-09-0j -0.0369645-0j -1.30173e-05-0j 0.0966562-0j -0.0104053-0j 
6.14639e-05-0j -0.000908572-0j -0.000932575-0j 0.000354199-0j -0.00728494-0j 0.000418991-0j 0.00023415-0j -0.00861754-0j -0.00481584-0j -2.58681e-06-0j -0.00633158-0j 2.93204e-06-0j 0.0241835-0j 5.48504e-06-0j -2.59729e-06-0j 0.00717656-0j 0.0134254-0j -5.20076e-06-0j -0.0274109-0j -0.00635723-0j -0.0512784-0j -0.0127296-0j 0.0242815-0j 0.0486207-0j -1.99119e-06-0j 4.77578e-05-0j 2.18525e-06-0j 3.93093e-05-0j 0.0547201-0j 1.80707e-06-0j 0.00640754-0j -5.24124e-05-0j 1.85481e-06-0j -4.63357e-06-0j -4.31405e-05-0j -4.3342e-05-0j 1.1946e-06-0j -0.0600532-0j -3.56746e-05-0j -4.4487e-05-0j -4.48002e-06-0j -0.00703203-0j -3.66171e-05-0j 0.000111134-0j -0.0496604-0j 9.14745e-05-0j -2.8652e-05-0j -0.0509724-0j -0.00581507-0j 0.127336-0j -2.35834e-05-0j 0.000107452-0j -0.0059687-0j -0.0328289-0j 8.84431e-05-0j 0.0149106-0j 0.123116-0j -0.00384416-0j 0.0144165-0j 
0.000651674-0j 0.00106231-0j 0.00512476-0j 0.00249228-0j 0.000177802-0j -0.00907652-0j 0.00209331-0j -0.000647531-0j 0.000149339-0j -9.05385e-06-0j -0.0146441-0j 3.10871e-05-0j 1.91938e-05-0j -6.46838e-06-0j -4.41299e-05-0j 0.0502816-0j -0.0104622-0j 5.37676e-05-0j -6.59034e-05-0j -0.0713776-0j 1.37127e-05-0j 0.086966-0j 9.35537e-05-0j -0.000113985-0j -6.96916e-06-0j 5.49431e-05-0j 2.31693e-05-0j -0.0131682-0j -0.00268497-0j -6.42787e-06-0j 1.64444e-06-0j -0.000182661-0j -3.10091e-05-0j 1.65529e-05-0j 0.0437784-0j 5.06758e-05-0j -5.39888e-06-0j 0.0089263-0j -0.0121455-0j 0.000244468-0j 2.77098e-05-0j -5.46703e-06-0j -0.0585918-0j -0.000130499-0j -0.00247643-0j 0.0312768-0j 4.25635e-05-0j -0.0119467-0j 1.51672e-06-0j 0.00637726-0j -0.0102012-0j -0.000218457-0j 7.31692e-06-0j -0.00208-0j 0.0523577-0j -3.90583e-06-0j 0.0106756-0j 1.27392e-06-0j -6.53841e-06-0j 
-7.68006e-05-0j -0.000380876-0j -0.00183741-0j -0.0001461-0j 0.00300488-0j 0.000532074-0j -0.000122712-0j -0.0109434-0j 0.00252385-0j 1.06701e-06-0j 0.00261164-0j -3.66365e-06-0j -0.0099752-0j 7.62306e-07-0j 5.20076e-06-0j -0.00896728-0j 0.00186585-0j -6.33657e-06-0j 0.0342506-0j 0.0127296-0j -0.00712663-0j -0.0155096-0j -0.0486207-0j 0.0592392-0j 8.21323e-07-0j -1.96991e-05-0j -2.73053e-06-0j -1.62143e-05-0j -0.0225709-0j 7.57532e-07-0j -0.00264298-0j 6.54906e-05-0j 3.65446e-06-0j -1.95078e-06-0j 5.39051e-05-0j -1.81691e-05-0j 6.36264e-07-0j 0.0750379-0j -1.49549e-05-0j -8.76508e-05-0j -3.26563e-06-0j 0.00878669-0j -7.21451e-05-0j 4.67887e-05-0j -0.0208178-0j 3.85117e-05-0j -1.52605e-05-0j -0.100429-0j -0.0024377-0j 0.0536097-0j -1.25609e-05-0j 7.83248e-05-0j -0.0117599-0j -0.0174852-0j 6.44689e-05-0j 0.00627751-0j 0.0897431-0j -0.00204747-0j 0.0105086-0j 
-2.80543e-06-0j 6.93095e-05-0j 7.11406e-05-0j 1.68031e-07-0j 0.00112003-0j 1.98768e-07-0j 1.1108e-07-0j 0.00132491-0j 0.000740414-0j 1.18071e-07-0j -5.02005e-06-0j -1.33829e-07-0j -0.0115189-0j -2.50357e-07-0j 1.1855e-07-0j 5.68999e-06-0j 1.06444e-05-0j 2.37381e-07-0j 0.0130562-0j -5.04038e-06-0j 0.0244245-0j -1.00928e-05-0j -0.0115656-0j -0.0231587-0j 9.08849e-08-0j -3.64316e-06-0j -9.97427e-08-0j 9.2759e-09-0j 8.74401e-05-0j -8.24813e-08-0j 0.0698946-0j 3.99823e-06-0j -8.46603e-08-0j 2.11493e-07-0j -1.018e-08-0j 3.3063e-06-0j -5.45258e-08-0j -9.59622e-05-0j -8.41821e-09-0j 3.39365e-06-0j 2.04484e-07-0j -0.0767067-0j -8.64061e-09-0j -8.47778e-06-0j -7.9355e-05-0j 2.15854e-08-0j 2.18569e-06-0j -8.14515e-05-0j -0.0634318-0j 0.000203477-0j -5.56501e-09-0j -8.19684e-06-0j -0.0651076-0j -5.24591e-05-0j 2.08701e-08-0j 0.162648-0j 0.000196734-0j -0.0419328-0j 0.157258-0j 
3.50545e-06-0j 2.90548e-05-0j 0.000140165-0j -6.93091e-08-0j -0.000461987-0j 2.52414e-07-0j -5.82139e-08-0j 0.00168249-0j -0.000388031-0j -4.8702e-08-0j 2.07066e-06-0j 1.67222e-07-0j 0.00475131-0j -3.47944e-08-0j -2.37381e-07-0j -7.10978e-06-0j 1.47935e-06-0j 2.89224e-07-0j -0.016314-0j 1.00928e-05-0j 0.0033945-0j -1.22969e-05-0j 0.0231587-0j -0.0282163-0j -3.74881e-08-0j 1.50273e-06-0j 1.24631e-07-0j -3.82611e-09-0j -3.60672e-05-0j -3.45764e-08-0j -0.0288301-0j -4.99588e-06-0j -1.66803e-07-0j 8.90406e-08-0j 1.27201e-08-0j 1.38601e-06-0j -2.90414e-08-0j 0.000119907-0j -3.52894e-09-0j 6.68636e-06-0j 1.49055e-07-0j 0.0958468-0j -1.70242e-08-0j -3.56923e-06-0j -3.32659e-05-0j 9.08767e-09-0j 1.16414e-06-0j -0.00016048-0j -0.0265908-0j 8.56657e-05-0j -2.96402e-09-0j -5.97493e-06-0j -0.128279-0j -2.79406e-05-0j 1.52129e-08-0j 0.0684763-0j 0.000143405-0j -0.0223341-0j 0.11463-0j 
