-0.145376-0j 0.697403-0j 0.70463-0j -0.0085127-0j 0.117098-0j -0.0105339-0j 0.144901-0j -0.00614479-0j 0.0845257-0j -0.00600051-0j 0.0500155-0j -0.00700059-0j 0.0126807-0j -0.00428697-0j 0.0583514-0j -0.00612552-0j 0.0357328-0j 0.0147941-0j -0.00252665-0j 0.0090595-0j 0.0510575-0j 0.0210601-0j 0.0129448-0j 0.00533947-0j -0.00463339-0j 0.0364116-0j -0.00523398-0j -0.000472894-0j 0.00919942-0j -0.00427352-0j 0.00108985-0j 0.0411312-0j -0.00431781-0j -0.00053419-0j -0.00373933-0j 0.0335835-0j 0.0103918-0j -0.00308479-0j -0.000436165-0j 0.0339315-0j 0.00123112-0j -0.000985606-0j 0.00848491-0j 0.0293856-0j -0.000440685-0j -0.000381644-0j 0.00857284-0j 0.0242419-0j 0.0010052-0j 0.0074243-0j -0.00031484-0j 0.00774539-0j 0.00101562-0j -0.000100593-0j 0.000879552-0j 0.00612473-0j 0.00195688-0j 0.000725593-0j 0.000231831-0j 
-0.00527368-0j 0.000183081-0j 0.000874278-0j -0.0100739-0j 1.52089e-05-0j 0.0365336-0j -5.51558e-05-0j -0.00870594-0j 1.31436e-05-0j -0.0107225-0j -0.00125529-0j 0.0366618-0j 1.09416e-06-0j -0.00766052-0j 0.00429202-0j -0.0517345-0j -0.000896823-0j -3.7411e-06-0j 0.0628154-0j 7.81708e-07-0j -0.0060566-0j 0.00735384-0j 5.27918e-06-0j -6.40991e-06-0j 5.73521e-05-0j -0.00137993-0j -0.000189868-0j -0.0011251-0j -0.000114232-0j 5.28977e-05-0j 7.04064e-08-0j 0.00456835-0j 0.000252606-0j 0.00372472-0j -0.000135649-0j -0.00127275-0j 0.000378175-0j 4.57144e-05-0j -0.00103771-0j -0.00607785-0j -2.33086e-07-0j -0.000227145-0j -0.00010536-0j 0.00326379-0j -0.00495546-0j 0.00266107-0j -0.000503133-0j -0.00109992-0j 6.4938e-08-0j 0.000270181-0j -0.000896797-0j 0.00546524-0j 3.10103e-07-0j 0.00445599-0j -1.66524e-07-0j -9.10527e-05-0j 0.000452421-0j 5.61198e-08-0j -2.78847e-07-0j 
1.27254e-06-0j -0.00107198-0j 0.00104556-0j 0.000808629-0j -0.0166314-0j -8.81556e-06-0j 0.000181313-0j 0.000578185-0j -0.0118917-0j 3.0316e-06-0j 0.00735002-0j -1.20512e-07-0j -0.0280702-0j 2.16588e-06-0j -0.000292177-0j -2.98752e-06-0j 0.0052511-0j 0.00111584-0j -3.7411e-06-0j -0.0200543-0j -0.00724314-0j -0.00907018-0j 0.027662-0j 0.0346396-0j 2.3409e-06-0j -5.59683e-05-0j 4.58153e-08-0j -4.59224e-05-0j -0.0635189-0j -4.24607e-06-0j -0.0074615-0j -1.09539e-06-0j 4.14141e-06-0j -8.98775e-07-0j 3.2732e-08-0j 0.000101519-0j -0.00124317-0j -3.03602e-06-0j 8.32967e-05-0j -9.90164e-05-0j -0.000146034-0j -1.94867e-06-0j 0.115214-0j -7.82585e-07-0j -8.12436e-05-0j -6.42116e-07-0j -0.112375-0j 7.25877e-05-0j 0.0135341-0j -0.000888163-0j 5.95587e-05-0j 4.65905e-05-0j -0.0132005-0j 3.82278e-05-0j -0.000104332-0j 0.0823804-0j 0.052876-0j 0.00967714-0j 0.00621128-0j 
-0.000607861-0j 0.00593171-0j 0.00616509-0j 3.68719e-05-0j 0.0236586-0j 4.27917e-05-0j 0.027457-0j 2.38967e-05-0j 0.0153331-0j -0.00375209-0j -0.000437868-0j 0.00422576-0j 0.00521603-0j 0.00788925-0j 0.000493144-0j -0.00371899-0j 0.000920673-0j -0.00587449-0j -0.00746723-0j -0.0109674-0j -0.000434005-0j -0.000871424-0j 0.00517001-0j 0.0103807-0j 2.00691e-05-0j 0.0460189-0j -2.18849e-05-0j 2.04829e-06-0j 0.00185866-0j -1.79834e-05-0j 0.000675994-0j -0.0501825-0j -1.86909e-05-0j -2.23361e-06-0j 4.60157e-05-0j -0.0412363-0j -0.00202683-0j -1.1655e-05-0j -1.83542e-06-0j -0.0428587-0j -0.000737156-0j 4.47662e-05-0j -0.0016655-0j 0.105515-0j -1.90763e-06-0j 4.69646e-06-0j -0.00173103-0j -0.0267252-0j -0.000605741-0j 0.00426167-0j -1.18954e-06-0j 0.10265-0j -0.000629574-0j 4.56893e-06-0j 0.00154996-0j -0.00107941-0j 0.00414595-0j -0.000392581-0j 0.00150788-0j 
-0.000526423-0j 0.00254155-0j 0.00264155-0j -0.00613765-0j -0.000439246-0j -0.00712306-0j -0.000509767-0j -0.00397781-0j -0.000284675-0j 2.25085e-05-0j 0.0360611-0j -2.535e-05-0j -4.75664e-05-0j -4.7327e-05-0j -0.0406135-0j 2.23099e-05-0j -0.0758231-0j 5.35712e-05-0j 4.47953e-05-0j 0.000100014-0j 0.035743-0j 0.0717671-0j -4.71467e-05-0j -9.46643e-05-0j 1.73803e-05-0j -0.000136583-0j -1.89528e-05-0j 0.0324258-0j 0.00663278-0j -1.55741e-05-0j -4.08814e-06-0j 0.000148941-0j -1.61868e-05-0j -0.0353596-0j 3.98508e-05-0j 0.000122389-0j -0.00723289-0j -1.00935e-05-0j -0.0290559-0j 0.000127204-0j 4.45802e-06-0j 3.87687e-05-0j -0.00594346-0j -0.000313167-0j -0.0301991-0j 0.074348-0j -0.0061773-0j 7.93202e-05-0j 3.66327e-06-0j 0.0152081-0j -0.0188311-0j -0.000304664-0j 3.8074e-06-0j 0.0723292-0j -9.37355e-06-0j -0.00385195-0j 0.0147951-0j 2.37417e-06-0j -9.11903e-06-0j 
4.49772e-05-0j 0.00193198-0j -0.000663254-0j -0.000251796-0j 0.00517877-0j 0.000917004-0j -0.0188603-0j -0.000181756-0j 0.00373823-0j 1.85647e-06-0j 0.00450095-0j 2.16588e-06-0j -0.0171894-0j 1.17745e-06-0j 0.0052511-0j -5.57754e-06-0j 0.00285468-0j -0.0200543-0j 7.81708e-07-0j -0.0109022-0j -0.0135225-0j 0.00189522-0j 0.0516435-0j -0.00723798-0j 1.4335e-06-0j -3.42735e-05-0j 1.61932e-06-0j -2.81216e-05-0j -0.0388972-0j -3.89122e-06-0j -0.00456922-0j -3.8716e-05-0j 1.33587e-06-0j -3.17667e-05-0j 1.02703e-06-0j 9.30346e-05-0j -0.0439391-0j -2.80883e-06-0j 7.63355e-05-0j -3.19391e-05-0j -0.00516148-0j 3.04932e-07-0j 0.105586-0j -2.45552e-05-0j -2.62062e-05-0j -2.01477e-05-0j -0.0362479-0j 6.71559e-05-0j 0.0124031-0j -0.0278679-0j 5.51019e-05-0j -7.29058e-06-0j -0.004258-0j -5.98197e-06-0j -0.00327361-0j 0.0762159-0j -0.00827414-0j 0.008953-0j -0.000971955-0j 
0.00076119-0j 0.0025184-0j 0.0120263-0j -1.52089e-05-0j -0.00975868-0j 5.51558e-05-0j 0.0353904-0j -1.31436e-05-0j -0.0084335-0j 0.00154766-0j 0.000180611-0j -0.00529167-0j -0.0021515-0j 0.0011057-0j -0.000617537-0j 0.00746723-0j 0.000129035-0j 0.00735629-0j -0.00906662-0j -0.00153711-0j 0.000871424-0j -0.00105807-0j -0.0103807-0j 0.0126041-0j -8.27807e-06-0j -0.0189818-0j 2.74052e-05-0j -8.44877e-07-0j -0.000766659-0j -7.63512e-06-0j -0.000278833-0j 0.0628407-0j -3.64605e-05-0j 2.79703e-06-0j 1.95792e-05-0j -0.0175075-0j 0.00253808-0j -6.59831e-06-0j -7.79256e-07-0j -0.0836048-0j 0.000923099-0j 3.27855e-05-0j -0.000707114-0j 0.0448956-0j -3.72123e-06-0j 1.99829e-06-0j -0.00337673-0j -0.0151301-0j -0.000257177-0j 0.00181329-0j -6.73437e-07-0j 0.0751781-0j -0.00122811-0j 3.34616e-06-0j 0.000659494-0j -0.000611091-0j 0.00303638-0j -0.000222253-0j 0.00110433-0j 
-5.80832e-08-0j 8.17757e-05-0j -7.97601e-05-0j 3.86054e-07-0j 0.00255708-0j -4.20871e-09-0j -2.7877e-05-0j 2.76035e-07-0j 0.00182836-0j -1.38373e-07-0j 5.86468e-06-0j 5.5006e-09-0j 0.013372-0j -9.88585e-08-0j -2.33132e-07-0j 1.36361e-07-0j 4.18993e-06-0j -0.000531563-0j 1.70757e-07-0j 0.00955343-0j -5.77941e-06-0j -7.23723e-06-0j -0.0131776-0j -0.0165015-0j -1.06847e-07-0j 4.26953e-06-0j -2.09117e-09-0j -1.0905e-08-0j -0.00010215-0j 1.93806e-07-0j -0.0811334-0j 8.35616e-08-0j -1.89029e-07-0j -2.13429e-10-0j -1.49401e-09-0j -7.74432e-06-0j -1.99924e-06-0j 1.38575e-07-0j 1.97802e-08-0j 7.55344e-06-0j -0.00158791-0j 8.89443e-08-0j 0.000185286-0j 5.96993e-08-0j -1.92927e-08-0j -1.52481e-10-0j -0.000180719-0j -5.53733e-06-0j 0.147165-0j -1.42833e-06-0j 1.41432e-08-0j -3.55414e-06-0j -0.143537-0j 9.07784e-09-0j -0.00113446-0j 0.000132483-0j 8.50343e-05-0j 0.105225-0j 0.067539-0j 
6.20396e-05-0j -0.00091128-0j -0.000947134-0j 0.000359783-0j -0.00739978-0j 0.000417547-0j -0.00858783-0j 0.000233175-0j -0.0047958-0j -2.65265e-06-0j -0.00643126-0j 2.98752e-06-0j 0.0245614-0j 5.57754e-06-0j 0.00724314-0j -2.62925e-06-0j 0.0135225-0j -0.027662-0j -5.27918e-06-0j -0.0516435-0j -0.00637452-0j -0.0127992-0j 0.0243447-0j 0.0488809-0j -2.04829e-06-0j 4.89723e-05-0j 2.23361e-06-0j 4.01821e-05-0j 0.0555791-0j 1.83542e-06-0j 0.00652881-0j -5.34031e-05-0j 1.90763e-06-0j -4.38176e-05-0j -4.69646e-06-0j -4.38828e-05-0j -0.0606077-0j 1.18954e-06-0j -3.60061e-05-0j -4.56093e-05-0j -0.00711952-0j -4.56893e-06-0j -0.049803-0j 0.000112287-0j -3.74228e-05-0j 9.21321e-05-0j -0.0517624-0j -2.84404e-05-0j -0.0058503-0j 0.127435-0j -2.33356e-05-0j 0.000109238-0j -0.00608048-0j 8.96305e-05-0j 0.0149697-0j -0.0322773-0j 0.123975-0j -0.00379158-0j 0.0145632-0j 
-2.05292e-06-0j -0.00014738-0j 5.05961e-05-0j -1.20212e-07-0j -0.000796239-0j 4.37794e-07-0j 0.00289979-0j -8.67734e-08-0j -0.000574756-0j -8.47359e-08-0j 3.59137e-06-0j -9.88585e-08-0j 0.00818865-0j -5.37428e-08-0j 4.18993e-06-0j 2.54579e-07-0j 2.27779e-06-0j 0.00955343-0j -3.56799e-08-0j 0.00519357-0j -1.07898e-05-0j 1.51223e-06-0j -0.0246018-0j 0.00344802-0j -6.54302e-08-0j 2.61454e-06-0j -7.39113e-08-0j -6.67795e-09-0j -6.25539e-05-0j 1.77609e-07-0j -0.0496839-0j 2.95344e-06-0j -6.09737e-08-0j -7.54354e-09-0j -4.68775e-08-0j -7.09712e-06-0j -7.06622e-05-0j 1.28205e-07-0j 1.81272e-08-0j 2.43646e-06-0j -0.0561239-0j -1.39182e-08-0j 0.000169801-0j 1.87319e-06-0j -6.22311e-09-0j -4.78441e-09-0j -5.82933e-05-0j -5.12297e-06-0j 0.134866-0j -4.48167e-05-0j 1.30849e-08-0j 5.56159e-07-0j -0.0462998-0j -1.42052e-09-0j -0.035596-0j 0.000122569-0j -1.33063e-05-0j 0.0973513-0j -0.0105686-0j 
0.00065921-0j 0.00107906-0j 0.00515289-0j 0.00253165-0j 0.00018118-0j -0.00918117-0j -0.000657057-0j 0.00218787-0j 0.000156576-0j -9.28428e-06-0j -0.0148745-0j 3.17443e-05-0j 1.96201e-05-0j -6.63301e-06-0j 0.0508579-0j -4.47953e-05-0j -0.0106268-0j -6.70841e-05-0j 5.43899e-05-0j 1.40173e-05-0j -0.0717671-0j 0.0871386-0j 9.46643e-05-0j -0.00011494-0j -7.16902e-06-0j 5.63378e-05-0j 2.37336e-05-0j -0.013375-0j -0.00273588-0j -6.61221e-06-0j 1.68627e-06-0j -0.00018651-0j -3.15757e-05-0j 0.0442788-0j 1.69561e-05-0j 5.19621e-05-0j 0.00905733-0j -5.7143e-06-0j -0.0123361-0j 0.000248138-0j -5.58252e-06-0j 2.83931e-05-0j -0.00252339-0j -0.000133249-0j -0.0589096-0j 0.0316343-0j -0.0120501-0j 4.49059e-05-0j 1.5553e-06-0j 0.00647087-0j -0.0106609-0j -0.000223127-0j 7.42712e-06-0j 0.0529719-0j -3.98835e-06-0j -0.00218072-0j 0.0108355-0j 1.3441e-06-0j -6.67852e-06-0j 
-2.83171e-06-0j 6.95167e-05-0j 7.22518e-05-0j 1.71767e-07-0j 0.00113772-0j 1.99344e-07-0j 0.00132038-0j 1.11322e-07-0j 0.000737357-0j 1.21076e-07-0j -5.1316e-06-0j -1.36361e-07-0j -0.0117005-0j -2.54579e-07-0j 5.77941e-06-0j 1.20008e-07-0j 1.07898e-05-0j 0.0131776-0j 2.4096e-07-0j 0.0246018-0j -5.08632e-06-0j -1.02127e-05-0j -0.0115973-0j -0.0232858-0j 9.34913e-08-0j -3.73584e-06-0j -1.0195e-07-0j 9.54191e-09-0j 8.93814e-05-0j -8.37751e-08-0j 0.0709917-0j 4.07384e-06-0j -8.70712e-08-0j -1.04052e-08-0j 2.14363e-07-0j 3.34759e-06-0j -9.74683e-05-0j -5.42946e-08-0j -8.55026e-09-0j 3.47929e-06-0j -0.0774148-0j 2.08542e-07-0j -8.00924e-05-0j -8.56577e-06-0j -8.88666e-09-0j 2.18783e-08-0j -8.32435e-05-0j 2.16957e-06-0j -0.0636139-0j 0.00020494-0j -5.54142e-09-0j -8.33319e-06-0j -0.0661167-0j 2.12843e-08-0j 0.162775-0j -5.19078e-05-0j 0.000199375-0j -0.0412281-0j 0.158355-0j 
-7.76886e-05-0j -0.000386898-0j -0.00184758-0j -0.000148403-0j 0.00305226-0j 0.000538191-0j -0.0110692-0j -0.000128251-0j 0.00263777-0j 1.09416e-06-0j 0.00265276-0j -3.7411e-06-0j -0.0101311-0j 7.81708e-07-0j -0.00907018-0j 5.27918e-06-0j 0.00189522-0j 0.0346396-0j -6.40991e-06-0j -0.00723798-0j 0.0127992-0j -0.0155406-0j -0.0488809-0j 0.0593506-0j 8.44877e-07-0j -2.02e-05-0j -2.79703e-06-0j -1.65743e-05-0j -0.0229252-0j 7.79256e-07-0j -0.002693-0j 6.68737e-05-0j 3.72123e-06-0j 5.48703e-05-0j -1.99829e-06-0j -1.86311e-05-0j 0.0758956-0j 6.73437e-07-0j -1.5287e-05-0j -8.89704e-05-0j 0.00891537-0j -3.34616e-06-0j -0.0211446-0j 4.77769e-05-0j -7.30008e-05-0j 3.92012e-05-0j -0.100973-0j -1.61011e-05-0j -0.00248384-0j 0.0542224-0j -1.32111e-05-0j 8.00028e-05-0j -0.0118612-0j 6.56429e-05-0j 0.00636945-0j -0.0182733-0j 0.090796-0j -0.00214654-0j 0.0106657-0j 
3.54598e-06-0j 2.95144e-05-0j 0.000140942-0j -7.08502e-08-0j -0.000469286-0j 2.56942e-07-0j 0.00170189-0j -6.12291e-08-0j -0.000405559-0j -4.99415e-08-0j 2.11668e-06-0j 1.70757e-07-0j 0.00482622-0j -3.56799e-08-0j -7.23723e-06-0j -2.4096e-07-0j 1.51223e-06-0j -0.0165015-0j 2.92571e-07-0j 0.00344802-0j 1.02127e-05-0j -1.24001e-05-0j 0.0232858-0j -0.0282733-0j -3.85632e-08-0j 1.54095e-06-0j 1.27666e-07-0j -3.93584e-09-0j -3.68679e-05-0j -3.5568e-08-0j -0.0292826-0j -5.10144e-06-0j -1.6985e-07-0j 1.30299e-08-0j 9.12092e-08-0j 1.42127e-06-0j 0.000122054-0j -3.07381e-08-0j -3.63014e-09-0j 6.78708e-06-0j 0.0969422-0j 1.52731e-07-0j -3.40044e-05-0j -3.64464e-06-0j -1.73353e-08-0j 9.309e-09-0j -0.000162384-0j 1.22827e-06-0j -0.0270082-0j 8.71996e-05-0j -3.13719e-09-0j -6.10299e-06-0j -0.128974-0j 1.5588e-08-0j 0.0692588-0j -2.93868e-05-0j 0.000146017-0j -0.0233407-0j 0.115975-0j 
