-0.0836695-0j -0.0147908-0j -0.00123257-0j -0.00126446-0j -0.000210744-0j -0.000129054-0j -2.63429e-05-0j -1.55227e-06-0j -0.0460126-0j 0.0448785-0j -0.00742525-0j 0.00724223-0j -0.00606269-0j 0.00591326-0j -0.000875074-0j -0.000757836-0j 0.000853505-0j 0.000739157-0j -8.93119e-05-0j 8.71105e-05-0j -4.07651e-06-0j 3.97603e-06-0j -0.0341882-0j -0.000732982-0j 0.048074-0j -0.00540563-0j -0.000115895-0j -0.00427352-0j 0.00760116-0j -0.00284902-0j -0.00061683-0j -9.16228e-05-0j -6.10819e-05-0j -0.000712254-0j 0.00600924-0j -1.32246e-05-0j -0.00025182-0j 0.00400616-0j -5.93545e-05-0j 0.00086736-0j -6.29549e-05-0j -1.52705e-05-0j -5.39893e-06-0j 0.00100154-0j -1.27254e-06-0j -5.24625e-06-0j 0.000354098-0j -1.34973e-06-0j 8.34617e-05-0j -1.95516e-07-0j -1.12478e-07-0j 8.85245e-05-0j -4.19179e-09-0j 7.37704e-06-0j 2.74926e-07-0j 
4.48361e-05-0j 0.0722165-0j 0.00899812-0j 6.77589e-07-0j -1.07626e-05-0j -1.32925e-05-0j -0.00599958-0j 2.28235e-05-0j -7.25666e-05-0j -2.40491e-05-0j 0.00111602-0j 0.000369858-0j 0.000914127-0j 0.000302948-0j -0.00613508-0j -0.0218935-0j -0.00203321-0j -0.00725565-0j 0.183455-0j 0.0607984-0j -0.00029503-0j -9.7775e-05-0j 1.83205e-05-0j -1.15599e-06-0j -2.57615e-05-0j -0.000276063-0j 1.74191e-05-0j -0.000218941-0j 0.000388189-0j 1.52671e-06-0j 0.0014694-0j 1.38148e-05-0j -9.63325e-08-0j 0.00347759-0j 0.000307866-0j -9.27167e-05-0j -3.89736e-05-0j -2.14679e-06-0j 0.000433305-0j -0.00206621-0j -0.0288258-0j -0.00021943-0j 2.45917e-06-0j -0.00489004-0j -2.73408e-05-0j -0.00737468-0j 5.4803e-05-0j 0.00181886-0j -0.000609295-0j 7.22701e-06-0j 0.00046533-0j 0.0405336-0j -4.56012e-07-0j 0.01037-0j -1.01623e-05-0j 
0.000181203-0j -0.00615697-0j 2.66937e-06-0j -0.000307895-0j -5.13159e-05-0j -0.574428-0j 0.00123293-0j -3.77977e-07-0j -9.68126e-05-0j 9.0397e-05-0j -1.56231e-05-0j 1.45877e-05-0j 0.00245187-0j -0.00228939-0j -1.8412e-06-0j -0.0291473-0j 1.71918e-06-0j 0.0272158-0j 3.61194e-05-0j -3.37258e-05-0j -8.57717e-09-0j 8.00877e-09-0j 7.40413e-05-0j 0.0001734-0j 0.000205451-0j 1.1707e-05-0j 2.74169e-05-0j -0.00177894-0j 3.24847e-05-0j 6.17011e-06-0j 1.33587e-06-0j -0.00416615-0j 1.445e-05-0j -0.000296489-0j -0.00493622-0j 3.12851e-06-0j 0.0302223-0j 1.71209e-05-0j 1.28544e-07-0j 3.70679e-06-0j 0.00249228-0j -0.000694358-0j 0.0707786-0j -0.000822704-0j 3.01041e-07-0j -2.18385e-06-0j 0.0838614-0j 0.00583674-0j 3.56686e-07-0j 4.23429e-10-0j -5.11443e-06-0j 0.00691561-0j 9.91641e-10-0j -6.05979e-06-0j 1.17494e-09-0j 
-3.05071e-06-0j 0.000103331-0j 0.116688-0j 2.56879e-06-0j -8.20318e-05-0j 2.62176e-07-0j 0.00146839-0j 0.373568-0j -1.67768e-06-0j 1.69405e-06-0j 5.1874e-05-0j -5.23801e-05-0j -2.21054e-07-0j 2.23211e-07-0j -0.000875451-0j 5.29437e-06-0j 0.000883992-0j -5.34602e-06-0j 0.00845518-0j -0.00853768-0j -0.0919383-0j 0.0928353-0j 2.45147e-06-0j 1.48908e-06-0j -8.07888e-07-0j -7.4268e-05-0j -4.5112e-05-0j 3.06434e-07-0j 2.44752e-05-0j 2.04289e-07-0j 0.00121358-0j 1.86134e-07-0j 1.2409e-07-0j -9.78566e-06-0j -1.00986e-07-0j 0.000737156-0j 1.80568e-08-0j -6.7324e-08-0j -0.0110506-0j -0.000399939-0j 0.000123861-0j -5.94402e-06-0j 1.09681e-08-0j 3.22489e-06-0j -0.00671235-0j 0.0445633-0j -5.95066e-09-0j 7.52357e-05-0j 0.00364174-0j 0.0263851-0j 0.0270687-0j -4.08186e-05-0j 0.0160269-0j -0.014686-0j -0.00869527-0j 
0.0136485-0j 0.000788031-0j 0.000199793-0j 0.000322717-0j 0.366117-0j 3.29372e-05-0j -0.000640742-0j -7.59083e-05-0j -5.1992e-05-0j -0.00055085-0j 0.000395605-0j 0.0041914-0j 0.000988969-0j 0.010478-0j -0.0136039-0j 4.03763e-05-0j -0.144132-0j 0.000427783-0j 1.4477e-05-0j 0.000153382-0j 1.10437e-06-0j 1.17007e-05-0j -3.8631e-05-0j 0.000187072-0j 0.000355155-0j 0.000288003-0j -0.00139467-0j -4.82887e-06-0j -0.00264776-0j 0.000932704-0j 6.64244e-05-0j 2.33841e-05-0j -0.00451666-0j -0.00547827-0j 4.43944e-05-0j -0.000321663-0j -2.84544e-07-0j -0.00857484-0j -0.00138893-0j -0.000610674-0j 6.77941e-06-0j 0.0265288-0j 1.37792e-06-0j 0.0503646-0j 0.00672597-0j 1.13583e-06-0j 2.61596e-06-0j -3.28296e-05-0j 0.0127692-0j 6.36053e-08-0j -5.50031e-06-0j -6.23267e-05-0j -3.08012e-07-0j -1.04423e-05-0j -5.84757e-07-0j 
-3.69879e-05-0j -0.0595755-0j -0.00742307-0j 6.28489e-05-0j -0.000998271-0j -0.00123293-0j -0.556483-0j 0.00211696-0j 1.97618e-05-0j -1.84522e-05-0j -0.000303923-0j 0.000283782-0j -0.000248941-0j 0.000232444-0j 0.00167074-0j 0.00596216-0j -0.00156002-0j -0.00556706-0j -0.0499597-0j 0.0466489-0j 8.03444e-05-0j -7.50201e-05-0j -1.51136e-05-0j -3.53951e-05-0j -4.19375e-05-0j 0.000227741-0j 0.000533353-0j 0.000180617-0j 0.000631939-0j -1.25947e-06-0j -0.0012122-0j 0.000422993-0j -2.94959e-06-0j -0.00286887-0j 0.00050118-0j -0.00283888-0j 3.21516e-05-0j -3.49479e-06-0j -0.000357459-0j -0.00336362-0j 0.0237801-0j -0.00671869-0j 7.52968e-05-0j -0.00796058-0j -0.000837144-0j 0.0060838-0j 8.92147e-05-0j 0.0556913-0j -0.000991882-0j -5.96198e-06-0j 0.0142479-0j 0.0659854-0j -1.39626e-05-0j 0.0168814-0j -1.65434e-05-0j 
-5.78952e-05-0j 0.00196718-0j -8.52877e-07-0j 0.000197623-0j 3.29372e-05-0j 0.368697-0j -0.000791357-0j 2.42605e-07-0j -3.18385e-05-0j -0.000337325-0j -5.13791e-06-0j -5.44356e-05-0j 0.000806338-0j 0.00854307-0j -6.05508e-07-0j -0.00958559-0j -6.4153e-06-0j -0.101558-0j 1.18785e-05-0j 0.000125851-0j -2.82075e-09-0j -2.98855e-08-0j -2.36566e-05-0j 0.000114558-0j 0.000217487-0j -3.74043e-06-0j 1.81132e-05-0j 0.000568379-0j 3.43877e-05-0j -1.97138e-06-0j -4.26816e-07-0j -0.0027524-0j 9.5465e-06-0j 9.47298e-05-0j -0.0052254-0j 2.06688e-06-0j -0.00965618-0j 1.81239e-05-0j -4.10704e-08-0j 3.92395e-06-0j -0.000796294-0j -0.000458734-0j 0.0467605-0j -0.000870901-0j 1.98885e-07-0j 6.97751e-07-0j 0.0887743-0j 0.00385609-0j 3.77582e-07-0j -1.35288e-10-0j -3.37889e-06-0j 0.00732075-0j 6.55136e-10-0j -6.41479e-06-0j 1.24377e-09-0j 
-2.64199e-06-0j 8.94873e-05-0j 0.101055-0j -3.99273e-08-0j 1.27504e-06-0j -4.07506e-09-0j -2.28235e-05-0j -0.00580645-0j 4.27603e-06-0j 1.41711e-06-0j -0.000132215-0j -4.38169e-05-0j 5.63416e-07-0j 1.8672e-07-0j 0.00223132-0j -1.34941e-05-0j 0.000739476-0j -4.47204e-06-0j -0.0215503-0j -0.00714192-0j 0.234329-0j 0.0776584-0j -1.07954e-06-0j 6.81173e-08-0j 1.51801e-06-0j 3.27051e-05-0j -2.06363e-06-0j -1.34943e-07-0j -4.59885e-05-0j -8.9962e-08-0j -0.00053442-0j 8.51467e-09-0j 5.67644e-09-0j 4.30927e-06-0j 1.89751e-07-0j 3.3721e-05-0j -7.95159e-09-0j 1.26501e-07-0j 0.00486629-0j 0.000751479-0j -5.45441e-05-0j -2.71908e-07-0j 5.01732e-10-0j -6.05951e-06-0j -0.000307054-0j -0.0196242-0j 1.11812e-08-0j 3.44163e-06-0j -0.00684277-0j -0.0116191-0j 0.00123825-0j 7.66975e-05-0j 0.000733144-0j 0.0275947-0j 0.0163383-0j 
1.18178e-05-0j 0.0190347-0j 0.00237171-0j -4.03396e-05-0j 0.000640742-0j 0.000791357-0j 0.357179-0j -0.00135878-0j 6.499e-06-0j 6.88562e-05-0j -9.99501e-05-0j -0.00105896-0j -8.18684e-05-0j -0.000867387-0j 0.000549451-0j 0.00196076-0j 0.00582138-0j 0.020774-0j -0.0164301-0j -0.174075-0j 2.64226e-05-0j 0.000279945-0j 4.82887e-06-0j -2.33841e-05-0j -4.43944e-05-0j -7.27643e-05-0j 0.000352365-0j -5.77081e-05-0j 0.00066896-0j 4.02406e-07-0j 0.000387302-0j 0.000279454-0j -1.94867e-06-0j 0.000916617-0j 0.000530541-0j -0.00187553-0j -1.02726e-05-0j -3.69953e-06-0j 0.00011421-0j -0.00356067-0j -0.00759785-0j -0.00443876-0j 4.97455e-05-0j -0.00842694-0j -0.000553066-0j -0.0019438-0j 9.44413e-05-0j 0.036793-0j -0.00104999-0j 1.90488e-06-0j 0.00941297-0j 0.069851-0j -9.22448e-06-0j 0.0178704-0j -1.75126e-05-0j 
2.17953e-06-0j -7.38233e-05-0j -0.0833657-0j -3.7034e-06-0j 0.000118265-0j -3.77977e-07-0j -0.00211696-0j -0.53857-0j -1.16447e-06-0j 1.08731e-06-0j 3.60055e-05-0j -3.36195e-05-0j -1.53433e-07-0j 1.43265e-07-0j -0.000607647-0j 3.6748e-06-0j 0.000567379-0j -3.43128e-06-0j 0.00586871-0j -0.0054798-0j -0.063814-0j 0.0595852-0j 8.90578e-07-0j 2.08567e-06-0j 2.47119e-06-0j -2.69803e-05-0j -6.31861e-05-0j 1.11322e-07-0j -7.48654e-05-0j 7.42149e-08-0j 0.000440874-0j 2.60709e-07-0j 1.73806e-07-0j -3.55497e-06-0j 3.08899e-07-0j 0.0010325-0j 6.55973e-09-0j 2.05933e-07-0j -0.00401449-0j 0.00122335-0j 4.49966e-05-0j -8.32549e-06-0j 1.53624e-08-0j -9.86439e-06-0j -0.00940165-0j 0.0161891-0j 1.8202e-08-0j 0.000105379-0j -0.0111395-0j 0.00958526-0j 0.0379138-0j 0.000124857-0j 0.022448-0j 0.0449218-0j 0.0265973-0j 
-6.96371e-07-0j 2.35869e-05-0j 0.0266357-0j 2.37703e-06-0j -7.59083e-05-0j 2.42605e-07-0j 0.00135878-0j 0.345682-0j -3.82957e-07-0j -4.05739e-06-0j 1.1841e-05-0j 0.000125454-0j -5.0459e-08-0j -5.34608e-07-0j -0.000199835-0j 1.20852e-06-0j -0.00211723-0j 1.28041e-05-0j 0.00193002-0j 0.0204484-0j -0.0209863-0j -0.222348-0j -2.84544e-07-0j 1.37792e-06-0j 2.61596e-06-0j 8.62034e-06-0j -4.17444e-05-0j -3.5568e-08-0j -7.92513e-05-0j -2.3712e-08-0j -0.000140861-0j 1.7224e-07-0j 1.14827e-07-0j 1.13583e-06-0j 3.26995e-07-0j 0.000682129-0j -2.09587e-09-0j 2.17997e-07-0j 0.00128265-0j 0.00129501-0j -1.43766e-05-0j -5.50031e-06-0j 1.01493e-08-0j -1.04423e-05-0j -0.00621128-0j -0.0051725-0j 1.92684e-08-0j 6.96195e-05-0j -0.0117921-0j -0.00306254-0j 0.0250481-0j 0.000132172-0j 0.0148305-0j 0.0475535-0j 0.0281555-0j 
