-0.0118779-0j 0.0993231-0j 0.0251807-0j -0.0103281-0j 0.0814241-0j -0.00105411-0j 0.0205712-0j 0.00243702-0j -0.00649114-0j -0.00655841-0j 0.0495496-0j 0.0500631-0j -0.000855283-0j -0.000864146-0j 0.0118024-0j 0.00505713-0j 0.0119247-0j 0.00510954-0j 0.00181317-0j 0.00183196-0j 0.000138316-0j 0.000139749-0j -0.00480791-0j -0.00594948-0j -0.00347053-0j 0.0359593-0j 0.0444973-0j -0.000600989-0j 0.0259568-0j -0.000400659-0j 0.00829328-0j -0.000743685-0j -0.00049579-0j 0.00473805-0j -0.000433816-0j 0.0102624-0j -3.54136e-05-0j -0.000289211-0j 0.00120121-0j 0.00598641-0j 0.00084643-0j 0.00586303-0j -4.38221e-05-0j 0.0034201-0j 0.00148642-0j 0.000141809-0j -2.55629e-05-0j 0.0010474-0j 0.000867076-0j 7.94113e-06-0j 0.00017548-0j 0.000610985-0j 9.82665e-06-0j 0.000102363-0j 5.73221e-06-0j 
5.92608e-06-0j 0.0145049-0j -0.0554015-0j 7.33446e-08-0j -1.75914e-06-0j -1.44794e-06-0j -0.00201559-0j -0.000236019-0j 3.23853e-06-0j -3.17894e-06-0j -7.52084e-05-0j 7.38245e-05-0j -4.10558e-05-0j 4.03004e-05-0j 0.00084441-0j 0.00148474-0j -0.000828873-0j -0.00145742-0j 0.383822-0j -0.376759-0j -0.00190013-0j 0.00186517-0j -4.78475e-06-0j 4.22501e-08-0j -3.38906e-06-0j 0.000108871-0j -9.6135e-07-0j 5.7545e-05-0j 7.71141e-05-0j -3.98729e-07-0j -0.00118355-0j -5.08131e-07-0j 3.52084e-09-0j -0.00138019-0j 4.07594e-05-0j 1.04509e-05-0j 1.02431e-05-0j -2.82422e-07-0j 0.00527166-0j -0.000838314-0j 0.0233652-0j 1.21873e-05-0j -9.04482e-08-0j -0.000977599-0j -4.65496e-05-0j -0.185177-0j 7.25524e-06-0j -0.000206318-0j 0.00373395-0j 0.000364325-0j 0.00163514-0j 0.0165497-0j -3.21705e-06-0j -0.131162-0j 0.000258053-0j 
4.39989e-05-0j 0.0711656-0j -9.32759e-05-0j -3.71688e-05-0j 0.00029303-0j -0.0702305-0j -0.0143198-0j 8.77035e-06-0j -2.36591e-05-0j -2.42842e-05-0j 0.0001806-0j 0.000185371-0j 0.000602986-0j 0.000618916-0j 4.30178e-05-0j 0.341244-0j 4.41543e-05-0j 0.350259-0j -0.00127831-0j -0.00131208-0j 5.04138e-07-0j 5.17456e-07-0j 1.78097e-05-0j 2.10676e-05-0j 1.17734e-05-0j -0.000133202-0j -0.000157568-0j -0.000430612-0j -8.80558e-05-0j 1.48414e-06-0j -3.07205e-05-0j -0.000509382-0j 1.75563e-06-0j 0.00339484-0j -0.000284664-0j -3.634e-05-0j 0.00736202-0j 9.81121e-07-0j -4.44957e-06-0j -2.03083e-05-0j -0.0580463-0j 0.00401585-0j 0.00870872-0j 0.00224422-0j -5.26351e-06-0j 0.000101607-0j 0.0048668-0j -0.0686645-0j -2.94147e-06-0j -2.9416e-08-0j 0.000120194-0j -0.0383726-0j -3.47969e-08-0j 6.71695e-05-0j -1.9446e-08-0j 
3.62897e-06-0j 0.00888239-0j -0.0339264-0j 3.15546e-06-0j -7.56824e-05-0j -6.2294e-05-0j -0.0867155-0j -0.0101541-0j -5.88593e-06-0j 2.00374e-06-0j 0.000136689-0j -4.65328e-05-0j 7.46178e-05-0j -2.5402e-05-0j -0.00153469-0j -0.00269847-0j 0.000522452-0j 0.000918635-0j -0.697585-0j 0.237477-0j 0.00345343-0j -0.00117564-0j 1.46892e-06-0j -5.39478e-06-0j 1.06032e-06-0j -3.34235e-05-0j 0.000122752-0j -1.76663e-05-0j -2.41264e-05-0j 1.2241e-07-0j 0.00036335-0j 6.48816e-05-0j -4.49565e-07-0j 0.00042372-0j -1.27522e-05-0j -0.00133444-0j -3.14464e-06-0j 8.83603e-08-0j -0.0016184-0j 0.00026228-0j -0.00717313-0j -0.00155616-0j 1.1549e-05-0j 0.000305858-0j 0.00594377-0j 0.0568494-0j -2.26992e-06-0j 0.0263441-0j -0.00116823-0j -0.000111848-0j -0.208786-0j -0.00517784-0j 0.000410774-0j 0.0410361-0j -8.07361e-05-0j 
-2.70487e-07-0j 1.15003e-05-0j 0.0263884-0j -3.34771e-09-0j 1.34194e-07-0j -3.41674e-10-0j -3.22082e-06-0j -0.00257454-0j -1.47818e-07-0j 1.45098e-07-0j 5.7372e-06-0j -5.63163e-06-0j -1.94767e-08-0j 1.91184e-08-0j -0.000129824-0j 5.8555e-07-0j 0.000127436-0j -5.74776e-07-0j 0.00190013-0j -0.00186517-0j 0.371316-0j -0.364484-0j 2.18393e-07-0j -1.92844e-09-0j 1.54689e-07-0j -8.30514e-06-0j 7.33356e-08-0j 2.72991e-08-0j -5.88257e-06-0j 1.81994e-08-0j 0.000181965-0j -2.41056e-10-0j -1.60704e-10-0j -1.0943e-06-0j 1.93361e-08-0j -1.60678e-06-0j 1.60862e-09-0j 1.28907e-08-0j -0.00251096-0j 0.000128887-0j 1.85718e-05-0j 9.66282e-09-0j -1.42043e-11-0j -7.75097e-07-0j 2.21721e-05-0j 0.0209943-0j 1.13939e-09-0j -1.63991e-07-0j -0.00177852-0j -0.224374-0j -0.000185383-0j 1.31545e-05-0j 0.00198126-0j 0.0148704-0j -0.158925-0j 
0.00305416-0j 0.000354176-0j -0.00423247-0j 5.3628e-05-0j 0.124538-0j 5.47339e-06-0j 0.00499865-0j 0.00181784-0j -1.14523e-05-0j -5.52479e-05-0j 0.000176689-0j 0.000852376-0j 0.000219918-0j 0.00106092-0j 0.142018-0j 1.80332e-05-0j 0.685117-0j 8.69953e-05-0j -0.000304764-0j -0.00147023-0j -4.6856e-05-0j -0.000226042-0j -8.48259e-06-0j 3.08924e-05-0j -7.12467e-06-0j 0.000128227-0j -0.000466984-0j -1.06032e-06-0j 0.0001077-0j 0.000206749-0j -0.00068473-0j 3.86155e-06-0j -0.00075295-0j -0.00246233-0j -8.90584e-07-0j 0.00249369-0j -6.24802e-08-0j 0.000173652-0j 0.0294254-0j -0.000575117-0j -6.9885e-05-0j 0.00896747-0j 2.27544e-07-0j -0.00206816-0j -0.107163-0j -3.5942e-05-0j -5.24782e-08-0j 0.000254511-0j 0.0247149-0j -3.36737e-06-0j 0.000130896-0j -5.86976e-05-0j 1.22635e-05-0j -3.01883e-05-0j -2.82831e-06-0j 
-1.65639e-07-0j 7.04248e-06-0j 0.0161596-0j -1.44026e-07-0j 5.77336e-06-0j -1.46996e-08-0j -0.000138567-0j -0.110763-0j 2.68655e-07-0j -9.14577e-08-0j -1.04272e-05-0j 3.54971e-06-0j 3.53984e-08-0j -1.20506e-08-0j 0.000235952-0j -1.06422e-06-0j -8.03247e-05-0j 3.62291e-07-0j -0.00345343-0j 0.00117564-0j -0.674856-0j 0.22974-0j -6.70468e-08-0j 2.46237e-07-0j -4.83969e-08-0j 2.54968e-06-0j -9.36399e-06-0j -8.38085e-09-0j 1.84046e-06-0j -5.58723e-09-0j -5.58634e-05-0j 3.07796e-08-0j 2.05197e-08-0j 3.3595e-07-0j -6.04962e-09-0j 0.000205165-0j -4.93846e-10-0j -4.03308e-09-0j 0.000770865-0j -4.03244e-05-0j -5.70154e-06-0j -1.23381e-06-0j 1.8137e-09-0j 2.42502e-07-0j -0.00283109-0j -0.00644525-0j -3.56477e-10-0j 2.09395e-05-0j 0.00055644-0j 0.0688829-0j 0.0236709-0j -4.11559e-06-0j -0.25298-0j -0.00465243-0j 0.0497223-0j 
-5.18532e-06-0j -0.0126918-0j 0.0484763-0j 4.38038e-06-0j -0.000105062-0j -8.6476e-05-0j -0.120378-0j -0.0140958-0j 2.78826e-06-0j 2.86192e-06-0j -6.47517e-05-0j -6.64623e-05-0j -3.53476e-05-0j -3.62814e-05-0j 0.000727007-0j 0.00127831-0j 0.000746213-0j 0.00131208-0j 0.330457-0j 0.339187-0j -0.00163594-0j -0.00167916-0j -2.0989e-06-0j -2.48284e-06-0j -1.38751e-06-0j 4.77578e-05-0j 5.6494e-05-0j 2.52429e-05-0j 3.15712e-05-0j -1.74908e-07-0j -0.00051918-0j 2.98605e-05-0j -2.06903e-07-0j -0.000605441-0j 1.66873e-05-0j -0.000614151-0j 4.49328e-06-0j -1.15626e-07-0j 0.00231249-0j -0.000343213-0j 0.0102495-0j -0.000716191-0j 5.31521e-06-0j -0.000400238-0j 0.0027355-0j -0.0812303-0j 2.97036e-06-0j 0.0121244-0j 0.00152871-0j 0.000159816-0j -0.0960894-0j 0.0067756-0j 0.00018905-0j -0.0536988-0j 0.000105649-0j 
-1.81486e-05-0j -0.0293543-0j 3.84743e-05-0j 4.64432e-05-0j -0.000366147-0j 0.0877546-0j 0.0178929-0j -1.09588e-05-0j -9.918e-06-0j -4.78461e-05-0j 7.57082e-05-0j 0.000365229-0j 0.000252774-0j 0.00121942-0j 1.80332e-05-0j 0.143051-0j 8.69953e-05-0j 0.690101-0j -0.00053587-0j -0.00258513-0j 2.11336e-07-0j 1.01952e-06-0j -7.34614e-06-0j 2.67536e-05-0j -6.17015e-06-0j 5.49431e-05-0j -0.000200095-0j 0.000177619-0j 4.61477e-05-0j -6.12178e-07-0j 1.26715e-05-0j -0.000646861-0j 2.22946e-06-0j -0.0014003-0j 0.000149185-0j -4.61479e-05-0j -0.00303668-0j -5.14179e-07-0j 1.83536e-06-0j 1.0643e-05-0j 0.0239429-0j 0.0050997-0j 0.0110591-0j -0.00117614-0j -6.6841e-06-0j -4.19109e-05-0j -0.00255056-0j -0.0871966-0j 1.54155e-06-0j 1.21335e-08-0j 0.000152634-0j 0.0201101-0j -4.41884e-08-0j -3.52017e-05-0j 1.01911e-08-0j 
2.13883e-06-0j 0.00523509-0j -0.0199955-0j -5.47339e-06-0j 0.000131277-0j 0.000108054-0j 0.150415-0j 0.0176131-0j 1.16885e-06-0j 5.63872e-06-0j -2.71441e-05-0j -0.000130948-0j -1.48178e-05-0j -7.14837e-05-0j 0.000304764-0j 0.00053587-0j 0.00147023-0j 0.00258513-0j 0.138529-0j 0.668285-0j -0.000685793-0j -0.00330838-0j 8.6575e-07-0j -3.15294e-06-0j 7.27159e-07-0j -1.96991e-05-0j 7.17413e-05-0j -1.04122e-05-0j -1.65456e-05-0j 7.21459e-08-0j 0.000214151-0j 3.79196e-05-0j -2.62745e-07-0j 0.000249732-0j -8.74536e-06-0j -0.000779906-0j -1.85338e-06-0j 6.05966e-08-0j -0.000953852-0j 0.000179869-0j -0.00422769-0j -0.000909487-0j 6.74975e-06-0j 0.000209754-0j 0.00347379-0j 0.0335058-0j -1.55669e-06-0j 0.0153966-0j -0.000801157-0j -6.59208e-05-0j -0.122023-0j -0.00355091-0j 0.000240074-0j 0.0281421-0j -5.5368e-05-0j 
2.36676e-07-0j -1.00628e-05-0j -0.0230899-0j -1.99936e-07-0j 8.01453e-06-0j -2.04059e-08-0j -0.000192358-0j -0.15376-0j -1.27266e-07-0j -1.30628e-07-0j 4.93952e-06-0j 5.07001e-06-0j -1.67688e-08-0j -1.72118e-08-0j -0.000111774-0j 5.04138e-07-0j -0.000114727-0j 5.17456e-07-0j 0.00163594-0j 0.00167916-0j 0.31969-0j 0.328135-0j 9.58011e-08-0j 1.13325e-07-0j 6.33311e-08-0j -3.64316e-06-0j -4.30959e-06-0j 1.19751e-08-0j -2.40838e-06-0j 7.98342e-09-0j 7.98215e-05-0j 1.41657e-08-0j 9.44379e-09-0j -4.80029e-07-0j 7.91638e-09-0j 9.44229e-05-0j 7.05641e-10-0j 5.27759e-09-0j -0.00110147-0j 5.27675e-05-0j 8.14675e-06-0j -5.67838e-07-0j 8.34721e-10-0j -3.17332e-07-0j -0.00130295-0j 0.00920942-0j 4.66477e-10-0j 9.637e-06-0j -0.000728144-0j -0.0984247-0j 0.0108941-0j 5.38556e-06-0j -0.116429-0j 0.00608806-0j -0.0650655-0j 
-9.7624e-08-0j 4.15068e-06-0j 0.00952409-0j 2.49825e-07-0j -1.00143e-05-0j 2.54976e-08-0j 0.000240356-0j 0.192127-0j -5.33503e-08-0j -2.57371e-07-0j 2.07066e-06-0j 9.98923e-06-0j -7.02952e-09-0j -3.39116e-08-0j -4.6856e-05-0j 2.11336e-07-0j -0.000226042-0j 1.01952e-06-0j 0.000685793-0j 0.00330838-0j 0.134015-0j 0.646511-0j -3.95159e-08-0j 1.43911e-07-0j -3.31901e-08-0j 1.50273e-06-0j -5.47272e-06-0j -4.93949e-09-0j 1.26217e-06-0j -3.29299e-09-0j -3.29247e-05-0j 1.79889e-08-0j 1.19926e-08-0j 1.98002e-07-0j -4.14876e-09-0j 0.000119907-0j -2.91062e-10-0j -2.76584e-09-0j 0.000454331-0j -2.7654e-05-0j -3.36036e-06-0j -7.21094e-07-0j 1.06001e-09-0j 1.66305e-07-0j -0.00165461-0j -0.00379869-0j -2.44468e-10-0j 1.2238e-05-0j 0.000381601-0j 0.0405981-0j 0.0138343-0j -2.82243e-06-0j -0.147852-0j -0.00319059-0j 0.0340991-0j 
